Index,Data available as of 15 Jauary 2014?,Data.Downloaded,CatalogID,LocID,iso.code,CountryName.UN,CountryName.DHS,StartYear,EndYear,Type,Phase,Recode,SurveyName,ShortName,Survey code,Name for labels,StartDate,EndDate,RefDate,ImplementingOrg,OfficialName,Births.Recode,Births.Raw,Couples.Recode,HH.Recode,HH.Raw,Height/WeightScores,Individual.Recode,Individual.Raw,Childrens.Recode,Childrens.Raw,Male.Recode,Male.Raw,HHMember.Recode,HHMember.Raw,Verbal.Autopsy,HIVTestData,Other Biomarkers,Wealth.Index,Service.Availability,Other,Download notes,Sample.Type.Female,Sample.Type.Male,Sample.Size.HH,Sample.Size.Female,Sample.Size.Male,Sample.Age.Female,Sample.Age.Male,Deaths.HH,Deaths.Causes,Verbal.Autopsy,Sibling.Female,Sibling.Male,Orphanhood.Female,Orphanhood.Male,Pregnancy.History,Health.Expenditures,Maternal.Mortality,Micronutrients,Migration,AIDS.Test,Geography,Availability,Child mort processed,Child mort indirect only,Siblings processed,PregRelCode,PregRelCode notes,Status,Survey Characteristics,Updated by,Updated on,Notes,Report citation
10,Yes,Y,5045,4,AFG,Afghanistan,Afghanistan,2010,2010,Special,DHS-VI,,Afghanistan 2010 Mortality Survey,2010 Special,af65,Afghanistan 2010 Special,20/04/2010,31/12/2010,25/08/2010,Indian Institute for Health Management Research (IIHMR),,NA,NA,NA,NA,afhh66,NA,NA,afiq66,NA,afch66,NA,NA,NA,afpq66,afva66,NA,,NA,NA,,,Ever Married,None,22351,47848,NA,12 to 49,NA,Y,Y,Y,Y,NA,Y,,Y,Y,Y,Y,Y,N,N,pregnancy history,N - SPECIAL,,N - Special,1;2;9,Special,,,VGT,"Feb 25, 2016",Provided the coded for the column PregRelCode,
20,Yes,Y,5689,4,AFG,Afghanistan,Afghanistan,2015,2016,Standard DHS,DHS-VII,DHS-VII,Afghanistan 2015 Demographic and Health Survey,2015 DHS,af70,Afghanistan 2015 DHS,15/06/2015,23/02/2016,19/10/2015,Central Statistics Organization and the Ministry of Public Health,2015 Afghanistan Demographic and Health Survey,afbr70,NA,afcr70,afhr70,NA,NA,afir70,NA,afkr70,NA,afmr70,NA,afpr70,NA,NA,NA,,NA,NA,,,Ever Married,None,24395,29461,10760,15 to 49,15 to 49,Y,Y,Y,YY,NA,Y,,Y,Y,Y,Y,Y,N,N,pregnancy history,N - SPECIAL,,N - Special,1;2;9,Special,,,SK,"Feb 15, 2017",Provided the coded for the column PregRelCode,"Central Statistics Organization (CSO), Ministry of Public Health (MoPH), and ICF. 2017. Afghanistan Demographic and Health Survey 2015. Kabul, Afghanistan: Central Statistics Organization."
30,Yes,Y,4483,8,ALB,Albania,Albania,2008,2009,Standard DHS,DHS-V,DHS-V,Albania 2008-2009 Demographic and Health Survey,2008-2009 DHS,al50,Albania 2008-2009 DHS,19/10/2008,26/04/2009,21/01/2009,Institute of Statistics (INSTAT) and Institute of Public Health,,albr50,NA,alcr50,alhr50,NA,NA,alir50,NA,alkr50,NA,almr50,NA,alpr50,NA,NA,NA,,NA,NA,,,All Women,All Men,7999,7584,3013,15 to 49,15 to 49,,,N,N,N,N,N,,,N,,,N,Y,,Y,,NA,,Special,,,,,,
40,Yes,Y,2272,24,AGO,Angola,Angola,2006,2007,MIS,DHS-V,DHS-V,Angola 2006 Malaria Indicator Survey,2006 MIS,ao50,Angola 2006 MIS,15/11/2006,15/04/2007,29/01/2007,"COSEP, CONSAUDE",,,NA,NA,aohr51,NA,NA,aoir51,NA,alkr51,NA,NA,NA,aopr51,NA,NA,NA,,NA,NA,,,All Women,None,2599,2973,NA,15 to 49,NA,,Y,N,N,N,N,,,,N,,,,Y,,Y,,NA,,Special,,,,,,
50,Yes,Y,5077,24,AGO,Angola,Angola,2011,2011,MIS,DHS-VI,DHS-V,Angola 2011 Malaria Indicator Survey,2010 MIS,ao60,Angola 2011 MIS,15/01/2011,15/04/2011,01/03/2011,CONSAÚDE and COSEP,,aobr61,NA,NA,aohr61,NA,NA,aoir61,NA,aokr61,NA,NA,NA,aopr61,NA,NA,NA,,NA,NA,,,All Women,None,8030,8589,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
60,Yes,Y,5805,24,AGO,Angola,Angola,2015,2016,Standard DHS,DHS-VII,DHS-VII,Angola 2015-2016 Demographic and Health Survey,2015-2016 DHS,ao71,Angola 2015-2016 DHS,19/10/2015,15/03/2016,01/01/2016,Instituto Nacional de Estatistica (INE),,aobr71,NA,aocr71,aohr71,NA,NA,aoir71,NA,aokr71,NA,aomr71,NA,aopr71,NA,NA,NA,,NA,NA,,,All Women,All Men,16109,14379,5684,15 to 49,15 to 54 ,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,SK,"July 13, 2017",,"Instituto Nacional de Estatística (INE), Ministério da Saúde (MINSA), Ministério do Planeamento e do Desenvolvimento Territorial (MINPLAN) e ICF. 2017. Inquérito de Indicadores Múltiplos e de Saúde em Angola 2015-2016. Luanda, Angola e Rockville, Maryland, EUA: INE, MINSA, MINPLAN e ICF."
70,Yes,Y,1848,51,ARM,Armenia,Armenia,2000,2000,Standard DHS,DHS-IV,DHS-IV,Armenia 2000 Demographic and Health Survey,2000 DHS,am42,Armenia 2000 DHS,02/10/2000,03/12/2000,02/11/2000,National Statistical Service/MOH,,ambr42,NA,amcr42,amhr42,NA,amhw41,amir42,NA,amkr42,NA,ammr41,NA,ampr42,NA,NA,NA,,amwi42,NA,,,All Women,All Men,5980,6430,1719,15 to 49,15 to 54 ,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
80,Yes,Y,1843,51,ARM,Armenia,Armenia,2005,2005,Standard DHS,DHS-V,DHS-IV,Armenia 2005 Demographic and Health Survey,2005 DHS,am52,Armenia 2005 DHS,03/09/2005,29/11/2005,17/10/2005,National Statistic Service (NSS) MOH Center for He,,ambr54,NA,amcr52,amhr54,NA,amhw52,amir54,NA,amkr54,NA,ammr52,NA,ampr54,NA,NA,NA,,NA,NA,,,All Women,All Men,6707,6566,1447,15 to 49,15 to 49,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
90,Yes,Y,5046,51,ARM,Armenia,Armenia,2010,2010,Standard DHS,DHS-VI,DHS-VI,Armenia 2010 Demographic and Health Survey,2010 DHS,am61,Armenia 2010 DHS,04/10/2010,26/12/2010,15/11/2010,The National Statistical Service of The Republic of Armenia and the Ministry of Health - See more at: http://dhsprogram.com/what-we-do/survey/survey-display-354.cfm#sthash.0XUgd7p2.dpuf,,ambr61,NA,amcr61,amhr61,NA,NA,amir61,NA,amkr61,NA,ammr61,NA,ampr61,NA,NA,NA,,NA,NA,,,All Women,All Men,6700,5922,1584,15 to 49,15 to 49,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
100,Yes,Y,179,31,AZE,Azerbaijan,Azerbaijan,2006,2006,Standard DHS,DHS-V,DHS-V,Azerbaijan 2006 Demographic and Health Survey,2006 DHS,az50,Azerbaijan 2006 DHS,24/07/2006,04/11/2006,14/09/2006,State Statistical Committee of Azerbaijan,,azbr52,NA,azcr52,azhr52,NA,NA,azir52,NA,azkr52,NA,azmr52,NA,azpr52,NA,NA,NA,,NA,NA,,,All Women,All Men,7180,8444,2558,15 to 49,15 to 59,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
110,Yes,Y,1814,50,BGD,Bangladesh,Bangladesh,1993,1994,Standard DHS,DHS-III,DHS-III,Bangladesh 1993-1994 Demographic and Health Survey,1993-1994 DHS,bd31,Bangladesh 1993-1994 DHS,17/11/1993,12/03/1994,13/01/1994,Mitra & Associates/ NIPORT,,bdbr31,NA,bdcr31,bdhr31,NA,NA,bdir31,NA,bdkr31,NA,bdmr31,NA,bdpr31,NA,NA,NA,,bdwi31,bdsq35,,,Ever Married,Husbands,9174,9640,3284,10 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
120,Yes,Y,1815,50,BGD,Bangladesh,Bangladesh,1996,1997,Standard DHS,DHS-III,DHS-III,Bangladesh 1996-1997 Demographic and Health Survey,1996-1997 DHS,bd3a,Bangladesh 1996-1997 DHS,02/11/1996,11/03/1997,05/01/1997,Mitra & Associates/ NIPORT,,bdbr3a,NA,bdcr3a,bdhr3a,NA,bdhw3a,bdir3a,NA,bdkr3a,NA,bdmr3a,NA,bdpr3a,NA,NA,NA,,bdwi3a,bdsq3a,,,Ever Married,Currently Married,8682,9127,3346,10 to 49,15 to 59,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
