Index,Data.available.as.of.24.May.2017,Data.Downloaded,CatalogID,LocID,iso.code,CountryName.UN,CountryName.MICS,StartYear,EndYear,Type,Phase,Recode,SurveyName,ShortName,Survey.code,Name.for.labels,StartDate,EndDate,RefDate,ImplementingOrg,OfficialName,Births.Recode,Births.Raw,Couples.Recode,HH.Recode,HH.Raw,Height.WeightScores,Individual.Recode,Individual.Raw,Childrens.Recode,Childrens.Raw,Male.Recode,Male.Raw,HHMember.Recode,HHMember.Raw,Verbal.Autopsy,HIVTestData,Other.Biomarkers,Wealth.Index,Service.Availability,Other,Download.notes,Sample.Type.Female.x,Sample.Type.Male,Sample.Size.HH,Sample.Size.Female,Sample.Size.Male,Sample.Age.Female,Sample.Age.Male,Deaths.HH,Deaths.Causes,Verbal.Autopsy.1,Sibling.Female,Sibling.Male,Orphanhood.Female,Orphanhood.Male,Pregnancy.History,Health.Expenditures,Maternal.Mortality,Genital.Mutilation,Abortion,Micronutrients,Migration,AIDS.Test,Geography,Availability,Child.mort.processed,Child.mort.indirect.only,Siblings.processed,PregRelCode,PregRelCode.notes,MosquitoNets,Functioning.Disability.Children.5.17,Global.Adults.Tobacco,Status,Reports,Updated.by,Updated.on,Notes,Sample.Type.Female,FieldWorkStart,FieldWorkEnd,FieldWorkMiddle
10,N,N,5250,4,AFG,Afghanistan,Afghanistan,1997,1997,NA,MICS1,MICS,Afghanistan 1997 Multiple Indicator Cluster Survey,1997 MICS,af1,Afghanistan 1997 MICS,1997,1997,1997.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,1997-01-01,1997-04-30,1997.160034
1420,N,N,NA,434,LBY,Libya,Libya,2003,2003,NA,MICS2,MICS,Libya 2003 Multiple Indicator Cluster Survey,,,Libya 2003 MICS,2003,2003,NA,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Preliminary,,,,NA,,,
500,N,N,5643,140,CAF,Central African Republic,Central African Republic,2015,2015,NA,MICS5,MICS,Central African Republic 2015 Multiple Indicator Cluster Survey,2015 MICS,cf5,Central African Republic 2015 MICS,2015,2015,2015.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Survey design,,,,,NA,0,0,2017.5
870,N,N,5676,324,GIN,Guinea,Guinea,2015,2015,NA,MICS5,MICS,Guinea 2015 Multiple Indicator Cluster Survey,2015 MICS,,Guinea 2015 MICS,2015,2015,2015.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Data processing / analysis,,AD,16-Jan-17,,NA,0,0,2016.5
70,N,N,713,12,DZA,Algeria,Algeria,1995,1995,NA,MICS1,MICS,"Algeria 1995 Enqu?te nationale sur les objectifs de la Mi-d?cennie ""MDC Alg?rie 1995""",1995 MICS,,Algeria 1995 Enquete nationale sur les objectifs de la MDG,1995,1995,1995.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,1995-10-01,1995-10-31,1995.791992
80,N,N,1933,12,DZA,Algeria,Algeria,2000,2000,NA,MICS2,MICS,Algeria 2000 Multiple Indicator Cluster Survey,2000 MICS,,Algeria 2000 MICS,2000,2000,2000.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,2000-05-03,2000-05-10,2000.348022
90,N,N,1913,12,DZA,Algeria,Algeria,2006,2006,NA,MICS3,MICS,Algeria 2006 Multiple Indicator Cluster Survey,2006 MICS,,Algeria 2006 MICS,2006,2006,2006.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,2006-03-25,2006-06-10,2006.333984
550,N,N,5642,178,COG,Congo,Congo,2014,2015,NA,MICS5,MICS,Congo 2014-2015 Multiple Indicator Cluster Survey,2014-2015 MICS,,Congo 2014-2015 MICS,2014,2015,2015,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Report writing,Key findings,AD,17-Aug-16,,NA,2014-11-01,2015-02-28,2015
110,N,N,1908,24,AGO,Angola,Angola,1996,1996,NA,MICS1,MICS,Angola 1996 Multiple Indicator Cluster Survey,1996 MICS,ao1,Angola 1996 MICS,1996,1996,1996.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Completed,Final,,,,NA,1996-08-01,1996-12-31,1996.795044
590,N,N,5762,188,CRI,Costa Rica,Costa Rica,2016,2016,NA,MICS5,MICS,Costa Rica 2016 Multiple Indicator Cluster Survey,2015 MICS,,Costa Rica 2016 MICS,2016,2016,2015.5,NA,NA,,NA,NA,,NA,,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Survey design,,,,,NA,0,0,2016
