Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,10,Never married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 = No, never married {1282}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = SINGLE {10973},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Unconsummated marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,Married,"1 = Yes, currently married {13454}",,"1 = Yes, currently married {3306}",,,,"1 = Oui, actuellement mariÃ©e {18907}",,,,,,,"1 = Yes, currently married {54830}","1 = Yes, currently married {42389}","1 = Yes, currently married {336}","1 = Yes, currently married {3891}","1 = Yes, currently married {3897}",,"1 = Yes, currently married {1312}",,,"1 = Yes, currently married {9288}",,,,"1 = Yes, currently married {3730}","1 = Yes, currently married {3178}",,,"1 = Oui, actuellement mariee {4939}",,,"1 = Oui, actuellement mariee {3836}",,"1 = Oui, actuellement mariee {4560}","1 = Oui, actuellement mariÃ©e {3863}",,,"1 = Oui, actuellement mariee {3383}","1 = Oui, actuellement mariée {4542}",,,"1 = Oui, actuellement mariée {11796}",,,,"1 = Sí, actualmente casada {1590}",,,,"1 = Oui, actuellement marié {5167}",,,,,"1 = Sí, actualmente casada {3910}","1 = SÃ­, actualmente casada {2941}",,,,,"1 = Oui, actuellement mariÃ©e {6568}","1 = Oui, actuellement mariee {2730}",,"1 = SÃ­, actualmente casada {3940}",,"1 = Si, actualmente casada {3470}",,,,,,1 = Yes {4257},"1 = Yes, currently married {6695}",,,"1 = Yes, currently married {6103}",,"1 = Yes, currently married {3069}","1 = Yes, currently married {5366}",,,,,"1 = Oui, actuellement mariee {4501}",,"1 = Sim, actualmente casada {4235}",,"1 = Yes, currently married {1823}","1 = Yes, currently married {1815}",,,,,,,,,,"1 = Yes, currently married {15797}","1 = Yes, currently married {34222}",,"1 = Yes, currently married {701}","1 = Yes, currently married {762}","1 = Yes, currently married {8058}","1 = Yes, currently married {8067}","1 = Yes, currently married {7896}",,,"1 = Yes, currently married {3941}","1 = Yes, currently married {4838}",,,,"1 = Yes, currently married {16127}",,,,,,,,,"1 = Yes, currently married {18240}","1 = Yes, currently married {15080}",,,,,,,"1 = Oui, actuellement mariee {7424}","1 = Oui, actuellement mariee {7688}",,"1 = SÃ­, actualmente casada {4828}",,,"1 = Yes, officially married {3789}","1 = Yes, currently married {5269}","1 = Yes, currently married {7450}","1 = Yes, currently married {1440}","1 = Yes, currently married {2039}",,"1 = Sim, está casada {1330}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 = Yes, currently married {5544}","1 = Yes, currently married {3211}",,,,,,,,,,,"1 = Yes, currently married {10634}",,,,,"1 = Yes, currently married {15892}","1 = Yes, currently married {20451}",,,,,,"1 = SÃ­, actualmente casada {1611}",,,,,,"1 = Yes, currently married {3548}",,"1 = Yes, currently married {207}",,,,"1 = Sim, actualmente casada {115}",,,,"1 = Yes, currently married {3693}","1 = Yes, currently married {3077}",,,"1 = Yes, currently married {5667}","1 = Yes, currently married {8025}",,,"1 = Yes, currently married {4400}",,,"1 = Yes, currently married {6037}",,,"1 = Yes, currently married {7900}",,,"1 = Yes, currently married {11182}","1 = Yes, currently married {12023}",,"1 = Yes, currently married {1565}","1 = Yes, currently married {1574}",,,,"1 = Yes, currently married {1482}","1 = Yes, currently married {1581}",,,"2 = Yes, currently married {13617}",,"1 = Yes, currently married {5980}",,"1 = Yes, currently married {5105}","1 = Yes, currently married {2636}","1 = Yes, currently married {14869}","1 = Yes, currently married {8392}",,,,"1 = Oui, actuellement mariee {3298}","1 = Oui, actuellement mariée {3091}",,"1 = Yes, currently married {1523}",,,,"1 = Oui, actuellement mariée {4777}",,,"1 = Yes, currently married {3843}","1 = Yes, currently married {4800}",,"1 = Yes, currently married {4007}","1 = Yes, currently married {5216}",,,"1 = SÃ­, actualmente casada {876}",,"1 = Yes, currently married {8756}","1 = Yes, currently married {1347}",,,,"1 = Yes, currently married {6208}","1 = Yes, currently married {7934}","1 = Yes, currently married {6715}",,1 = Married/Separated {3519},,,"1 = yes, currently married {6431}","1 = Yes, currently married {8598}",,,,,,,
,21,Married,"2 = Yes, living with a man {1067}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,Living together,,,"2 = Yes, living with a man {29}",,,,,,,,,,,,,"2 = Yes, living with a man {188}","2 = Yes, living with a man {282}","2 = Yes, living with a man {405}",,"2 = Yes, living with a man {1082}",,,"2 = Yes, living with a man {763}",,,,"2 = Yes, living with a man {63}","2 = Yes, living with a man {59}",,,"2 = Oui, vit avec un homme {680}",,,"2 = Oui, vit avec un homme {1365}",,"2 = Oui, vit avec un homme {861}","2 = Oui, vit avec un homme {1768}",,,"2 = Oui, vit avec un homme {5837}","2 = Oui, vit avec un homme {4381}",,,"2 = Oui, vit avec un homme {654}",,,,"2 = Sí, actualmente en unión libre {1352}",,,,"2 = Oui, vit en union avec un homme {2757}",,,,,"2 = Sí, viviendo con un hombre {2432}","2 = SÃ­, viviendo con un hombre {2910}",,,,,"2 = Oui, vit avec un homme {1818}",,,"2 = Si, viviendo con un hombre {12951}",,"2 = Si, acompañada {4202}",,,,,,,"2 = Yes, living with a man {209}",,,"2 = Yes, living with a man {80}",,"2 = Yes, living with a man {558}","2 = Yes, living with a man {1560}",,,,,"2 = Oui, vit avec un homme {654}",,"2 = Sim, vivo com um homem {1667}",,"2 = Yes, living with a man {1219}","2 = Yes, living with a partner {1221}",,,,,,,,,,,,,"2 = Yes, living with a man {726}","2 = Yes, living with a man {977}","2 = Yes, living with a man {312}","2 = Yes, living with a man {359}","2 = Yes, living with a man {401}",,,"2 = Yes, living with a man {215}","2 = Yes, living with a man {51}",,,,"2 = Yes, living with a man {423}",,,,,,,,,"2 = Yes, living with a man {522}","2 = Yes, living with a man {918}",,,,,,,,,,"2 = SÃ­, viviendo con una pareja {3059}",,,"2 = Yes, unofficially married {746}","2 = Yes, living with a partner {603}","2 = Yes, living with a man {1325}","2 = Yes, living with a man {52}","2 = Yes, living with a man {128}",,"2 = Sim, vive em união marital {8296)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 = Yes, living with a man {9}",,,,,,,,,,,"2 = Yes, living with a man {54}",,,,,"2 = Yes, living with a man {1762}","2 = Yes, living with a man {1690}",,,,,,,,,,,,"2 = Yes, living with a man {461}",,"2 = Yes, living with a man {275}",,,,"2 = Sim, vivo com um homem {1556}",,,,"2 = Yes, living with a man {362}","2 = Yes, living with a man {359}",,,"2 = Yes, living with a man {382}","2 = Yes, living with a man {887}",,,,,,"2 = Yes, living with a man {1303}",,,,,,,,,"2 = Yes, living with a man {1334}","2 = Yes, living with a man {1896}",,,,"2 = Yes, living with a man {369}","2 = Yes, living with a man {338}",,,,,"2 = Yes, living with a man {27}",,"2 = Yes, living with a man {68}","2 = Yes, living with a man {39}","2 = Yes, living with a man {9514}","2 = Yes, living with a man {7449}",,,,"2 = Oui, vit avec un homme {992}","2 = Oui, vit avec un homme {1219}",,,,,,,,,"2 = Yes, living with a man {90}","2 = Yes, living with a man {61}",,"2 = Yes, living with a man {162}","2 = Yes, living with a man {331}",,,"2 = SÃ­, actualmente viviendo en pareja {890}",,"2 = Yes, living with a man {99}","2 = Yes, living with a man {574}",,,,,"2 = Yes, living with a man {260}","2 = Yes, living with a man {257}",,,,,"2 = yes, living with a man {204}","2 = Yes, living with a man {531}",,,,,,,
,23,Visiting relationship,,,,,,,,,,,,,,,,"0 = Yes, in a visiting relationship {475}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 = Yes, have a visiting partner {722}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0 = Yes, in a visiting relationship {242}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,Formerly in union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2 = No, widowed, divorced, separated {437}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 = LAT {10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,Widowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = widow {281},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Widowed {116},,,,,,,,,,,
,32,Divorced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Divorced {107},,,,,,,,,,,
,33,Separated/not living together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 = Separate {24},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
