Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,10,Never married,,5 = never married {1691},,,,,,,,,5 = Never married {2270},,,1 = Unmarried {11110},,,,,,,,,,,5 = Never married {1379},5 = Never married {2345},,,,,,,,,,,,,5 = Jamais marié {2468},,,,5 = Jamais mari‚(e) {919},,,5 = Jamais marié(e) {1233},,,,,5 = Never married {3696},,,,,,,,,,,5 = Jamais marie {548},,,5 = Nunca casada {1451},,,,,5 = Never married {1695},,,,,,,,,,,,,,,5 = Nunca casou {1824},,,,5 = Never married {1196},,,,,,,,,,,5 = Never married {9969},,,,,,,,,,,,,,,,,,,5 = Never married {1968},,,,5 = Jamais mari‚ {1478},,,,,,,,,,,,,,,5 = Never married {2237},,,,,,,,,5 = Never married {14999},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 = Jamais mari‚(e) {993},,,,,,,,,,,,,1 = Never married {3828},,5 = Never married {1735},,5 = Jamais marrie(e) {23},,,5 = Nunca casa /vive em uniao {593},,,,5 = Jamais marie {2847},,,,,5 = Never married {921},,,,,,,5 = Never married {2},,,1 = Single {},,,5 = Never married {},,,5 = Never married {1666},,,,,5 = Never married {2395},,,,,,5 = Never married {1884},,,,,,,,,5 = Jamais marié(e) {1043},,,0 = Never married {1448},,,,,,,,,,,,,,,,5 = Never married {2162},,,5 = Soltero {1780},,5 = Never married {2914},,,,,,,5 = Never Married {3060},,,,,,,,,
,11,Unconsummated marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,Married,,"1 = married, in union {3622}",,,,,,,1 = Casado/em União {4098},,1 = Currently married/In union {4223},,,,,,,,,,,,,,"1 = Married, in union {2853}","1 = Married, in union {5736}",,,,,,,,,,,,,1 = Marié/En union {11413},,,,1 = Mari‚ {4362},,,1 = Marié(e)/en union {3227},,,,,1 = Currently married/In union {7033},,,,,,,,,,,"1 = Marriee, en union {5074}",,,1 = Actualmente casada/unida {2310},,,,,1 = Currently married/In union {1977},,,,,,,,,,,,,,,1 = Casado {4774},2 = Mariee {12},,,1 = Currently married/In union {3036},,,,,,,,,,,1 = Currently married/In union {11942},,,,,,,,,,,,,,2 = Currently married {3406},,,,,1 = Currently Married/In union {3902},,,,"1 = Mari‚, en union {4599}",,,,,,,,,,,,,,,"1 = Married, in union {4962}",,,,,,,,,1 = Currently married/In union {19966},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Mari‚(e)/en union {4292},,,,,,,,,,,,,2 = Married/in union {5446},,1 = Currently married/In union {5209},,1 = Marrie(e)/en Union {650},,,1 = Casado /em uniao {1668},,,,"1 = Marriee, en union {8289}",,,,,1 = Currently married/In union {3692},,,,,,,1 = Currently married/In union {1358},,,3 = Married {11730},,,1 = Currently married/In union {21103},,,1 = Currently married/In union {2467},,,,,1 = Currently married/In union {2303},,,,,,1 = Currently married/in union {3921},,,,,,,,,1 = Marié(e)/en union {3265},,,1 = Currently married/in union {1391},,,,,,,,,,,,,,,,"1 = Married, in union {5088}",,,1 = Casado o unido {2569},,1 = Currently married/In union {5931},,,,,,,1 = Currently married {4833},,,,,,,,,
,22,Living together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,Visiting relationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 = Visiting {32},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,Common L aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 = Common law {453},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,Formerly in union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 = No longer with partner {123},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,Widowed,1 = Widowed {326},2 = widowed {95},,,,,1 = Veuve {431},,2 = Viuvo(a) {295},,2 = Widowed {229},,,5 = Widow {2432},1 = Widowed {1165},1 = Widowed {3},1 = Widowed {156},1 = Widowed {106},,1 = Widowed {43},,1 = Veuve {275},1 = Widowed {223},,2 = Widowed {66},2 = Widowed {417},1 = Widowed {115},1 = Widowed {83},,,1 = Veuve {153},,,1 = Veuve {583},,1 = Veuve {342},1 = Veuve {312},,2 = Veuf {562},1 = Veuve {359},1 = Veuve {404},,2 = Veuf(ve) {235},1 = Veuve {442},,2 = Veuf(ve) {54},,1 = Viuda {45},,,2 = Widowed {298},,,,,,1 = Viuda {42},1 = Viuda {47},,,,2 = Veuf {1324},1 = Veuve {356},1 = Veuve {151},2 = Viuda {58},1 = Viuda {264},,1 = Viuda {178},,2 = Widowed {96},,,,,1 = Widowed {140},,,1 = Widowed {300},,1 = Widowed {133},1 = Widowed {270},,,,2 = Viúvo {238},3 = Veuve {197},,1 = ViÃºva {292},2 = Widowed {82},1 = Widowed {77},1 = Widowed {52},,,,,,,,,2 = Widowed {673},1 = Widowed {635},1 = Widowed {1277},,1 = Widowed {12},1 = Widowed {34},1 = Widowed {492},1 = Widowed {421},1 = Widowed {380},,,1 = Widowed {176},1 = Widowed {156},,3 = Widowed {53},,1 = Widowed {398},,,2 = Widowed {448},,,,2 = veuf {145},,1 = Widowed {1002},1 = Widowed {874},,,,1 = Veuve {409},1 = Veuve {198},,1 = Veuve {238},1 = Veuve {215},,1 = Viuda {131},,2 = Widowed {268},1 = Widowed {279},1 = Widowed {285},1 = Widowed {382},1 = Widowed {37},1 = Widowed {37},,1 = Viúva {602},,2 = Widowed {1318},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Widowed {177},1 = Widowed {70},,,,,,,,,,,1 = Widowed {271},,2 = Veuf(ve) {101},,,1 = Widowed {395},1 = Widowed {640},,,,,,1 = Viuda {83},1 = Viuda {50},,3 = Widowed {177},,2 = Widowed {228},1 = Widowed {125},2 = Veuf(ve) {47},1 = Widowed {2},,2 = Viuvo {16},,1 = ViÃƒÂºva {14},,2 = Veuf {217},,1 = Widowed {50},1 = Widowed {45},,2 = Widowed {137},1 = Widowed {152},1 = Widowed {383},,,1 = Widowed {200},,2 = Widowed {142},,,5 = Widow/widower {313},1 = Widowed {128},,2 = Widowed {904},1 = Widowed {312},1 = Widowed {287},2 = Widowed {91},1 = Widowed {79},1 = Widowed {78},,,2 = Widowed {168},1 = Widowed {220},1 = Widowed {210},,,,2 = Widowed {195},1 = Widowed {236},,1 = Widowed {85},1 = Widowed {38},1 = Widowed {827},1 = Widowed {388},,,2 = Veuf/(ve) {144},1 = Veuve {167},1 = Veuve {176},2 = Widowed {54},1 = Widowed {66},,,,1 = Veuve {104},,,1 = Widowed {173},1 = Widowed {146},,1 = Widowed {183},1 = Widowed {176},,,1 = Viuda {12},2 = Widowed {170},1 = Widowed {251},1 = Widowed {3},3 = Viudo {73},,2 = Widowed {189},1 = Widowed {168},1 = Widowed {231},1 = Widowed {207},,,,2 = Widowed {413},1 = widowed {796},1 = Widowed {774},,,,,,,
,32,Divorced,2 = Divorced {11},3 = divorced {34},,,,,2 = DivorcÃ©e {946},,3 = Divorciado(a) {87},,3 = Divorced {151},,,3 = Divorced {576},2 = Divorced {545},2 = Divorced {29},2 = Divorced {439},2 = Divorced {408},,2 = Divorced {29},,2 = Divorcée {116},2 = Divorced {708},,3 = Divorced {59},3 = Divorced {204},2 = Divorced {71},2 = Divorced {91},,,2 = Divrocee {39},,,2 = Divrocee {62},,2 = Divrocee {128},2 = DivorcÃ©e {94},,3 = Divorcé {983},2 = Divorcee {314},2 = Divorcée {168},,3 = Divorc‚(e) {218},2 = Divorcée {327},,3 = Divorcé(e) {199},,2 = Divorciada {155},,,3 = Divorced {164},,,,,,2 = Divorciada {523},2 = Divorciada {480},,,,3 = Divorcee {391},2 = DivorcÃ©e {224},2 = Divrocee {143},3 = Divorciada {58},2 = Divorciada {291},,2 = Divorciada {91},,3 = Divorced {72},,,,,2 = Divorced {260},,,2 = Divorced {163},,2 = Divorced {190},2 = Divorced {254},,,,3 = Divorciado {58},4 = Divorcee/Separaree {193},,2 = Divorciada {50},3 = Divorced {56},2 = Divorced {44},2 = Divorced {32},,,,,,,,,3 = Divorced {225},2 = Divorced {266},2 = Divorced {670},,2 = Divorced {21},2 = Divorced {48},2 = Divorced {930},2 = Divorced {885},2 = Divorced {929},,,2 = Divoced {430},2 = Divorced {387},,4 = Divorced {104},,2 = Divorced {545},,,3 = Divorced {80},,,,3 = Divorc‚ {739},,2 = Divorced {1356},2 = Divorced {1468},,,,2 = Divorcée {347},2 = Divorcée {182},,2 = Divrocee {1385},2 = Divorcee {1391},,2 = Divorciada {123},,3 = Divorced {474},2 = Divorced {400},2 = Divorced {327},2 = Divorced {605},2 = Divorced {42},2 = Divorced {103},,2 = Divorciada {94},,3 = Divorced {438},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Divorced {92},2 = Divorced {43},,,,,,,,,,,2 = Divorced {15},,3 = Divorc‚(e) {195},,,2 = Divorced {145},2 = Divorced {235},,,,,,2 = Divorciada {63},2 = Divorciada {33},,4 = Divorced {5},,3 = Divorced {594},2 = Divorced {312},3 = Divorce(e) {13},2 = Divorced {10},,3 = Divorciado {7},,2 = Divorciada {4},,3 = Divorcee {302},,2 = Divorced {160},2 = Divorced {159},,3 = Divorced {34},2 = Divorced {41},2 = Divorced {81},,,2 = Divorced {442},,3 = Divorced {36},,,4 = Divorced {264},2 = Divorced {178},,3 = Divorced {779},2 = Divorced {646},2 = Divorced {588},3 = Divorced {93},2 = Divorced {139},2 = Divorced {134},,,3 = Divorced {40},2 = Divorced {35},2 = Divorced {26},,,,3 = Divorced {168},2 = Divorced {264},,2 = Divorced {117},2 = Divorced {43},2 = Divorced {790},2 = Divorced {478},,,3 = Divorcé(e) {74},2 = Divrocee {74},2 = Divorcée {74},3 = Divorced {73},2 = Divorced {81},,,,2 = Divorcée {130},,,2 = Divorced {284},2 = Divorced {319},,2 = Divorced {464},2 = Divorced {738},,,2 = Divorciada {96},3 = Divorced {286},2 = Divorced {434},2 = Divorced {5},2 = Divorciado {189},,3 = Divorced {127},2 = Divorced {135},2 = Divorced {174},2 = Divorced {193},,,,3 = Divorced {525},2 = divorced {584},2 = Divorced {644},,,,,,,
,33,Separated/not living together,3 = Separated {10},4 = separated {14},,,,,3 = SÃ©parÃ©e {58},,4 = Separado(a) {597},,4 = Separated {85},,,4 = Separated {912},3 = Separated {224},3 = Separated {36},3 = Separated {203},3 = Separated {109},,3 = Separated {410},,3 = Séparée {508},3 = Separated {110},,4 = Separated {152},4 = Separated {23},3 = Separated {34},3 = Separated {49},,,3 = Separee {83},,,3 = Separee {262},,3 = Separee {505},3 = SÃ©parÃ©e {694},,4 = Séparé {1474},3 = Separee {648},3 = Séparée {827},,4 = S‚parar‚(e) {171},3 = Séparée {479},,4 = Separé(e) {148},,3 = Separada {565},,,4 = Separated {131},,,,,,3 = Separada {1167},3 = Separada {1377},,,,4 = Depar e{373},3 = SÃ©parÃ©e {730},3 = Separee {28},4 = Separada {586},3 = Separada {6064},,3 = Separada {1882},,4 = Separated {54},,,,,3 = Separated {50},,,3 = Separated {208},,3 = Separated {250},3 = Separated {278},,,,4 = Separado {165},,,3 = Separada {320},4 = Separated {431},3 = Separated {305},3 = Separated {222},,,,,,,,,4 = Separated {174},3 = Separated {80},3 = Separated {164},,3 = Separated {53},3 = Separated {813},3 = Separated {435},3 = Separated {318},3 = Separated {294},,,3 = Separated {92},3 = Separated {23},,5 = Separated {12},,3 = Separated {119},,,4 = Separated {336},,,,4 = Separ‚ {133},,3 = Separated {963},3 = Separated {982},,,,3 = Séparée {166},3 = Séparée {113},,,,,3 = Separada {1124},,4 = Separated {298},3 = Separated {118},3 = Separated {208},3 = Separated {169},3 = Separated {19},3 = Separated {33},,3 = Separada {1517},,4 = Separated {401},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Separated {34},3 = Separated {41},,,,,,,,,,,3 = Separated {36},,4 = Separ‚(e) {54},,,3 = Separated {363},3 = Separated {464},,,,,,3 = Separada {1110},3 = Separada {736},,5 = Separed {147},,4 = Separated {106},3 = Separated {226},4 = Separe(e) {15},3 = Separated {88},,4 = Separado {453},,3 = Separada {513},,4 = Deparee {31},,3 = Separated {92},3 = Separated {98},,4 = Separated {67},3 = Separated {260},3 = Separated {632},,,,,4 = Separated {48},,,6 = Separated {15},3 = Separated {6},,4 = Separated {160},3 = Separated {37},3 = Separated {45},4 = Separated {144},3 = Separated {529},3 = Separated {750},,,4 = Separated {78},3 = Separated {189},3 = Separated {196},,,,4 = Seperated {23},3 = Separated {64},,3 = Separated {50},3 = Separated {21},3 = Separated {983},3 = Separated {742},,,4 = Séparé(e) {142},3 = Separee {240},3 = Séparée {229},4 = Separated {101},3 = Separated {323},,,,3 = Séparée {9},,,3 = Separated {70},3 = Separated {62},,3 = Separated {165},3 = Separated {274},,,3 = Separada {345},4 = Separated {50},3 = Separated {104},3 = Separated {83},4 = Separado {282},,4 = Separated {88},3 = Separated {64},3 = Separated {105},3 = Separated {107},,,,4 = Separated {247},3 = separated {302},3 = Separated {496},,,,,,,
