Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,10,Never married,3 = No {6411},,3 = No {1653},,,,3 = Non {18205},,,,,,,,3 = No {7468},3 = No {277},3 = No {924},3 = No {821},,3 = No {1219},,,3 = No {2925},,,,3 = No {877},3 = No {986},,,3 = Non {1422},,,3 = Non {3195},,3 = Non {2604},3 = Non {3114},,,3 = Non {1036},3 = Non {1188},,,3 = Non {2234},,,,3 = No {1377},,,,,,,,,3 = No {999},3 = No {1240},,,,,3 = Non {3155},3 = Non {2968},,3 = No {5534},,3 = No {3527},,,,,,,3 = No {2618},,,3 = No {2993},,3 = No {1689},3 = No {2899},,,,,3 = Non {2352},,3 = N√£o {3670},,3 = No {1567},3 = No {877},,,,,,,,,,2 = No {10408},3 = No {18861},,3 = No {1683},3 = No {2398},3 = No {4333},3 = No {3964},3 = No {2770},,,3 = No {2119},3 = No {1399},,,,3 = No {4864},,,,,,,,,3 = No {4176},3 = No {4908},,,,,,,2 = Non {3502},2 = Non {3459},,3 = No {2829},,,3 = No {2127},3 = No {2070},3 = No {2899},3 = No {668},3 = No {1153},,3 = N„o {2488},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = No {1877},,,,,,,,,,,3 = No {3152},,,,,3 = No {6008},3 = No {7292},,,,,,3 = No {2059},,,,,,3 = No {1328},,3 = No {331},,,,3 = N√É¬£o {733},,,,3 = No {1028},3 = No {975},,,3 = No {1152},3 = No {3351},,,3 = No {1722},,,3 = No {1013},,,3 = No {5155},,,3 = No {4997},2 = No {5359},,3 = No {1632},3 = No {1825},,,,3 = No {2393},3 = No {2411},,,,,3 = No {3672},,3 = No {1981},3 = No {1053},3 = No {9976},3 = No {4532},,,,3 = Non {1439},3 = Non {1587},,3 = No {1899},,,,3 = Non {5195},,,3 = No {2700},3 = No {2230},,3 = No {1183},3 = No {1271},,,3 = No {534},,3 = No {4275},3 = No {680},,,,2 = No {2896},3 = No {2959},3 = No {2348},,,,,3 = no {3018},3 = No {3366},,,,,,,
,11,Unconsummated marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,Living together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,Visiting relationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,Formerly in union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,Widowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,Divorced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,Separated/not living together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,Formerly married,"1 = Yes, formerly married {309}",,"1 = Yes, formerly married {94}",,,,"1 = Oui, a √©t√© mari√©e {1431}",,,,,,,,"1 = Yes, formerly married {1934}","1 = Yes, formerly married {39}","1 = Yes, formerly married {634}","1 = Yes, formerly married {530}",,"1 = Yes, formerly married {141}",,,"1 = Yes, formerly married {864}",,,,"1 = Yes, formerly married {190}","1 = Yes, formerly married {189}",,,"1 = Oui, a ete mariee {229}",,,"1 = Oui, a ete mariee {491}",,"1 = Oui, a ete mariee {622}","1 = Oui, a √©t√© mari√©e {519}",,,"1 = Oui, a ete mariee {445}","1 = Oui, a ÈtÈ mariÈe {575}",,,"1 = Oui, a ÈtÈ mariÈe {940}",,,,"1 = SÌ, casada en el pasado {324}",,,,,,,,,"1 = SÌ, casada en el pasado {983}","1 = S√≠, casada en el pasado {953}",,,,,"1 = Oui, a √©t√© mari√©e {742}","1 = Oui, a ete mariee {322}",,"1 = S√≠, casada en el pasado {1250}",,"1 = Si, casada en el pasado {494}",,,,,,,"1 = Yes, formerly married {365}",,,"1 = Yes, formerly married {611}",,"1 = Yes, formerly married {315}","1 = Yes, formerly married {513}",,,,,"1 = Oui, a ete mariee {338}",,"1 = Sim, j√° foi casada {530}",,"1 = Yes, formerly married {182}","1 = Yes, formerly married {125}",,,,,,,,,,"1 = Yes, formerly married {981}","1 = Yes, formerly married {2111}",,"1 = Yes, formerly married {87}","1 = Yes, formerly married {139}","1 = Yes, formerly married {1484}","1 = Yes, formerly married {1260}","1 = Yes, formerly married {1362}",,,"1 = Yes, formerly married {564}","1 = Yes, formerly married {508}",,,,"1 = Yes, formerly married {920}",,,,,,,,,"1 = Yes, formerly married {2926}","1 = Yes, formerly married {2939}",,,,,,,1 = Oui {1623},1 = Oui {1606},,"1 = S√≠, casada en el pasado {694}",,,"1 = Yes, formerly married {466}","1 = Yes, formerly marreid {604}","1 = Yes, formerly married {853}","1 = Yes, formerly married {84}","1 = Yes, formerly married {140}",,"1 = Sim, casada {227}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 = Yes, formerly married {145}",,,,,,,,,,,"1 = Yes, formerly married {317}",,,,,"1 = Yes, formerly married {605}","1 = Yes, formerly married {929}",,,,,,"1 = S√≠, casada en el pasado {329}",,,,,,"1 = Yes, formerly married {490}",,"1 = Yes, formerly married {32}",,,,"1 = Sim, j√É¬° foi casada {31}",,,,"1 = Yes, formerly married {223}","1 = Yes, formerly married {233}",,,"1 = Yes, formerly married {274}","1 = Yes, formerly married {717}",,,"1 = Yes, formerly married {642}",,,"1 = Yes, formerly married {472}",,,"1 = Yes, formerly married {312}",,,"1 = Yes, formerly married {991}","1 = Yes, formerly married {919}",,"1 = Yes, formerly married {171}","1 = Yes, formerly married {166}",,,,"1 = Yes, formerly married {286}","1 = Yes, formerly married {251}",,,,,"1 = Yes, formerly married {534}",,"1 = Yes, formerly married {191}","1 = Yes, formerly married {92}","1 = Yes, formerly married {2107}","1 = Yes, formerly married {1037}",,,,"1 = Oui, a ete mariee {263}","1 = Oui, a ÈtÈ mariÈe {278}",,"1 = Yes, formerly married {245}",,,,"1 = Oui, a ÈtÈ mariÈe {243}",,,"1 = Yes, formerly married {482}","1 = Yes, formerly married {483}",,"1 = Yes, formerly married {655}","1 = Yes, formerly married {926}",,,"1 = S√≠, casada en el pasado {173}",,"1 = Yes, formerly married {717}","1 = Yes, formerly married {8}",,,,"1 = Yes, formerly married {367}","1 = Yes, formerly married {449}","1 = Yes, formerly married {438}",,,,,"1 = yes, formerly married {1466}","1 = Yes, formerly married {1676}",,,,,,,
