Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,2 = No {833},,,,,,2 = Non {932},,,,,,,,2 = No {1532},2 = No {85},,2 = No {37},,2 = No {251},,2 = Non {1919},2 = No {399},,,,,2 = No {62},,,,,,,,,,,,,2 = Non {1298},,,2 = Non {1939},,,,2 = No {414},,,,,,,,,2 = No {843},2 = No {387},,,,,2 = Non {1550},,,2 = No {3044},,2 = No {977},,,,,,,,,,,,,2 = No {969},,,,,,,2 = Não {551},,,2 = No {540},,,,,,,,,,,2 = No {1527},,,2 = No {379},,2 = No {138},2 = No {78},,,,2 = No {49},,,,2 = No {468},,,,,,,,,,2 = No {3319},,,,2 = Non {1254},2 = Non {1528},,,2 = Non {843},,2 = No {1224},,,,2 = No {69},2 = No {473},,2 = No {34},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No {655},2 = No {112},,,,,,,,,,,2 = No {239},,,,,,2 = No {1577},,,,,,2 = No {1164},2 = No {580},,,,,2 = No {70},,2 = No {59},,,,2 = NÃ£o {403},,,,2 = No {99},2 = No {99},,,,2 = No {757},,,,,,2 = No {415},,2 = No {1308},2 = No {754},,,2 = No {888},2 = No {1055},,,2 = No {425},,,,2 = No {663},2 = No {637},,,,,,,,2 = No {50},,2 = No {738},,,,,2 = Non {772},,,,,,2 = Non {192},,,,2 = No {4},,,2 = No {59},,,,,,,,,,,2 = No {240},2 = No {263},,,,,,2 = No {1240},,,,,,,
,2,Later,1 = Later {494},,2 = later {43},,,,1 = Plus tard {559},,,,,,,,1 = Later {794},1 = Later {52},2 = later {87},1 = Later {25},2 = later {63},1 = Later {156},,,1 = Later {149},,,,,1 = Later {43},,,2 = Plutard {424},,,2 = Plutard {634},,,,,,2 = Plutard {1477},1 = Plus tard {1044},,,1 = Plus tard {1729},,,,1 = M�s adelante {240},,,,,,,,,1 = M�s tarde {616},1 = Más adelante {255},,,,,1 = Plus tard {1288},2 = Plutard {221},,1 = Más adelante {2257},,1 = Más adelante {761},,,,,,,2 = later {570},,,2 = later {33},,2 = later {481},1 = Later {729},,,,,2 = Plutard {324},,1 = Mais tarde {430},,2 = later {279},1 = Later {322},,,,,,,,,,2 = Later {567},1 = Later {720},,2 = later {226},1 = Later {240},2 = later {94},1 = Later {121},1 = Later {60},,,2 = Later {46},1 = Later {41},,,,1 = Later {175},,,,,,,,,,1 = Later {2538},,,,,,,2 = Plutard {668},1 = Plus tard {635},,1 = Más adelante {867},,,2 = Later {57},1 = Later {34},1 = Later {298},,1 = Later {24},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Later {252},1 = Later {81},,,,,,,,,,,1 = Later {96},,,,,2 = later {1074},1 = Later {1041},,,,,,1 = Más adelante {659},,,,,,1 = Later {60},,1 = Later {37},,,,1 = Mais tarde {257},,,2 = Later {37},1 = Later {69},1 = Later {70},,,2 = later {249},1 = Later {518},,,,,,1 = Later {303},,1 = Later {759},1 = Later {471},,,1 = Later {675},1 = Later {796},,2 = later {200},1 = Later {310},,,,1 = Later {450},1 = Later {417},,,2 = NO OTHER TIME {479},,2 = later {77},,,1 = Later {41},2 = later {287},1 = Later {225},,,,2 = Plutard {646},1 = Plus tard {559},,2 = later {127},,,,1 = Plus tard {92},,,2 = later {18},1 = Later {2},,2 = later {202},1 = Later {38},,,,,2 = later {71},2 = later {73},,,,2 = later {163},1 = Later {160},1 = Later {172},,,,,2 = later {760},1 = Later {975},,,,,,,
,3,No more,2 = No more {343},,3 = No more {20},,,,2 = Ne pas (ne plus) avoir d'enfant {351},,,,,,,,2 = No more {738},2 = No more {33},3 = No more {51},2 = No more {12},3 = No more {51},2 = No more {95},,,2 = No more {250},,,,,2 = No more {19},,,3 = Ne plus/ne pas avoir d'enfant {64},,,3 = Ne plus/ne pas avoir d'enfant {187},,,2 = Non {727},,,3 = Ne plus/ne pas avoir d'enfant {222},2 = Ne pas (ne plus) avoir d'enfant {252},,,2 = Ne pas (ne plus) avoir d'enfant {205},,,,2 = No m�s {174},,,,,,,,,2 = No m�s {227},2 = No más {132},,,,,2 = Ne pas (ne plus) avoir d'enfant {261},3 = Ne plus/ne pas avoir d'enfant {28},,2 = No más {783},,2 = No mas {215},,,,,,,3 = No more {72},,,3 = No more {12},,3 = No more {71},2 = No more {240},,,,,3 = Ne plus/ne pas avoir d'enfant {34},,2 = Não queria engravidar {121},,3 = No more {131},2 = No more {218},,,,,,,,,,3 = No more {304},2 = No more {807},,3 = No more {143},2 = No more {137},3 = No more {29},2 = No more {17},2 = No more {17},,,3 = No more {28},2 = No more {8},,,,2 = No more {292},,,,,,,,,,2 = No more {780},,,,,,,3 = Ne plus/ne pas avoir d'enfant {236},2 = Ne pas (ne plus) avoir d'enfant {201},,2 = No más {501},,,3 = No more {148},2 = No more {34},2 = No more {175},,2 = No more {10},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No more {403},2 = No more {31},,,,,,,,,,,2 = No more {143},,,,,3 = No more {211},2 = No more {529},,,,,,2 = No más {505},,,,,,2 = No more {10},,2 = No more {22},,,,2 = NÃ£o queria engravidar {146},,,3 = No more {45},2 = No more {30},2 = No more {29},,,3 = No more {109},2 = No more {236},,,,,,2 = No more {112},,2 = No more {550},2 = No more {283},,,2 = No more {207},2 = No more {258},,3 = No more {111},2 = No more {113},,,,2 = No more {213},2 = No more {220},,,,,3 = No more {55},,,2 = No more {9},3 = No more {537},2 = No more {513},,,,3 = Ne plus/ne pas avoir d'enfant {59},2 = Ne pas (ne plus) avoir d'enfant {211},,3 = No more {64},,,,2 = Ne pas (ne plus) avoir d'enfant {100},,,3 = No more {11},2 = No more {1},,3 = No more {131},2 = No more {19},,,,,3 = No more {55},3 = No more {79},,,,3 = No more {113},2 = No more {80},2 = No more {91},,,,,3 = no more {215},2 = No more {263},,,,,,,
,1,Then,1 = Yes {4038},,1 = Then {332},,,,1 = Oui {4961},,,,,,,,1 = Yes {6273},1 = Yes {62},1 = Then {1022},1 = Yes {1287},1 = Then {196},1 = Yes {448},,1 = Oui {3131},1 = Yes {2066},,,,,1 = Yes {656},,,1 = A ce moment-la {1843},,,1 = A ce moment-la {2049},,,1 = Oui {2129},,,1 = A ce moment-la {2344},1 = Oui {3262},,,1 = Oui {4168},,,,1 = S� {439},,,,,,,,,1 = Si {3564},1 = Sí {1802},,,,,1 = Oui {3258},1 = A ce moment-la {572},,1 = Si {4479},,1 = Si {1852},,,,,,,1 = Then {2434},,,1 = Then {706},,1 = Then {896},1 = Yes {1904},,,,,1 = A ce moment-la {2054},,1 = Sim {2645},,1 = Then {459},1 = Yes {713},,,,,,,,,,1 = Then {5661},1 = Yes {12463},,1 = Then {143},1 = Yes {251},1 = Then {1661},1 = Yes {1889},1 = Yes {2014},,,1 = Then {1078},1 = Yes {1696},,,,1 = Yes {3913},,,,,,,,,,1 = Yes {4183},,,,1 = Oui {9256},1 = Oui {5008},,1 = A ce moment-la {2587},1 = Oui {2686},,1 = Sí {1805},,,1 = Then {1255},1 = Yes {1617},1 = Yes {1902},,1 = Yes {457},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Yes {2963},1 = Yes {521},,,,,,,,,,,1 = Yes {1818},,,,,1 = Then {5023},1 = Yes {8274},,,,,,1 = Si {1113},1 = Si {1223},,,,,1 = Yes {654},,1 = Yes {39},,,,1 = Sim {348},,,1 = Then {392},1 = Yes {1086},1 = Yes {855},,,1 = Then {1998},1 = Yes {2623},,,,,,1 = Yes {3032},,1 = Yes {3027},1 = Yes {2133},,,1 = Yes {4792},1 = Yes {4572},,1 = Then {438},1 = Yes {822},,,,1 = Yes {326},1 = Yes {346},,,1 = YES IN HTAT TIME {3112},,1 = Then {1490},,,1 = Yes {449},1 = Then {2541},1 = Yes {2024},,,,1 = A ce moment-la {1032},1 = Oui {1159},,1 = Then {221},,,,1 = Oui {943},,,1 = Then {817},1 = Yes {1463},,1 = Then {795},1 = Yes {1494},,,,,1 = Then {1964},1 = Then {440},,,,1 = Then {712},1 = Yes {1121},1 = Yes {1212},,,,,1 = then {1851},1 = Yes {2669},,,,,,,
,7,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Missing,9 = Missing {91},,,,,,9 = Manquant {85},,,,,,,,9 = Missing {61},,9 = Missing {19},,9 = Missing {2},9 = Missing {3},,9 = Non d�clar�/Pas de r�ponse {2},,,,,,,,,9 = Manquant {53},,,9 = Manquant {31},,,9 = Manquant {43},,,9 = Manquant {86},9 = Manquant {70},,,9 = Manquant {46},,,,9 = Missing {1},,,,,,,,,,9 = Omitido {4},,,,,9 = Manquant {1},9 = Manquant {23},,9 = Omitido {43},,9 = Omitido {3},,,,,,,9 = Missing {17},,,9 = Missing {9},,9 = Missing {11},,,,,,9 = Manquant {43},,,,9 = Missing {48},9 = Missing {5},,,,,,,,,,9 = Missing {3},9 = Missing {4},,9 = Missing {26},,,,9 = Missing {14},,,,9 = Missing {21},,,,9 = Missing {63},,,,,,,,,,9 = Missing {74},,,,9 = Manquant {88},9 = Manquant {40},,9 = Manquant {48},9 = Manquant {100},,9 = No responde {3},,,,9 = Missing {4},,,9 = Missing {3},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {2},9 = Missing {4},,,,,,,,,,,9 = Missing {29},,,,,,9 = Missing {186},,,,,,9 = Missing {1},,,,,,,,,,,,9 = Em falta {7},,,9 = Missing {14},9 = Missing {2},9 = Missing {5},,,,9 = Missing {35},,,,,,9 = Missing {69},,,9 = Missing {4},,,9 = Missing {49},9 = Missing {57},,9 = Missing {49},9 = Missing {18},,,,9 = Missing {29},9 = Missing {4},,,,,,,,9 = Missing {4},,,,,,9 = Manquant {14},9 = Manquant {30},,9 = Missing {3},,,,,,,,,,,9 = Missing {11},,,,,9 = Missing {5},9 = Missing {88},,,,,9 = Missing {2},9 = Missing {9},,,,,9 = missing {24},9 = Missing {4},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = NA {17091},,NA = NA {4733},,,,NA = NA {35206},,,,,,,,NA = NA {51733},NA = NA {1769},NA = NA {4727},NA = NA {4587},NA = NA {1363},NA = NA {3783},,NA = NA {11296},NA = NA {14358},,,,,NA = NA {3927},,,NA = NA {5775},,,NA = NA {6713},,,NA = NA {7548},,,NA = NA {8307},NA = NA {7877},,,NA = NA {11935},,,,NA = NA {4886},,,,,,,,,NA = NA {5033},NA = NA {7039},,,,,NA = NA {8426},NA = NA {6527},,NA = NA {22666},,NA = NA {12033},,,,,,,NA = NA {7159},,,NA = NA {10148},,NA = NA {4781},NA = NA {8090},,,,,NA = NA {7449},,NA = NA {7548},,NA = NA {4336},NA = NA {4551},,,,,,,,,,NA = NA {21029},NA = NA {42451},,NA = NA {3239},NA = NA {4513},NA = NA {12935},NA = NA {12201},NA = NA {10804},,,NA = NA {5821},NA = NA {5229},,,,NA = NA {19493},,,,,,,,,,NA = NA {17854},,,,NA = NA {18248},NA = NA {12862},,NA = NA {9877},NA = NA {10028},,NA = NA {9905},,,NA = NA {6597},NA = NA {7909},NA = NA {11082},,NA = NA {3112},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {2239},NA = NA {5278},,,,,,,,,,,NA = NA {12850},,,,,NA = NA {20785},NA = NA {23662},,,,,,NA = NA {7567},NA = NA {6050},,,,,NA = NA {5994},,NA = NA {1243},,,,NA = NA {2343},,,NA = NA {7407},NA = NA {4610},NA = NA {4038},,,NA = NA {6901},NA = NA {10651},,,,,,NA = NA {8052},,NA = NA {7987},NA = NA {11073},,,NA = NA {12885},NA = NA {14643},,NA = NA {5161},NA = NA {5972},,,,NA = NA {3938},NA = NA {4014},,,NA = NA {21617},,NA = NA {9004},,,NA = NA {3521},NA = NA {33822},NA = NA {19494},,,,NA = NA {4459},NA = NA {5055},,NA = NA {4411},,,,NA = NA {9379},,,NA = NA {6331},NA = NA {6226},,NA = NA {5046},NA = NA {6675},,,,,NA = NA {12110},NA = NA {2581},,,,NA = NA {8483},NA = NA {10752},NA = NA {8706},,,,,NA = NA {9638},NA = NA {11463},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
