Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,1,Yes,1 = Yes {3337},1 = yes {2087},1 = Yes {2064},,,,1 = Oui {10573},,1 = Sim {446},1 = Si {11435},1 = Yes {2355},,,,1 = Yes {26615},1 = Yes {753},1 = Yes {3708},1 = Yes {3455},1 = Yes {568},1 = Yes {1628},,1 = Oui {2558},1 = Yes {6786},,1 = Yes {1568},1 = Yes {1834},1 = Yes {1536},1 = Yes {1724},,,1 = Oui {1033},,1 = Oui {455},1 = Oui {563},1 = Oui {834},1 = Oui {2923},1 = Oui {4104},,1 = Yes {3506},1 = Oui {1708},1 = Oui {1368},,1 = Oui {418},1 = Oui {779},,1 = Oui {876},,1 = Sí {3060},,,,1 = Oui {2198},,,,1 = Si {6309},1 = Si {7030},1 = SÃ­ {6931},,,,1 = Oui {3597},1 = Oui {2250},1 = Oui {387},1 = Sí {1510},1 = Si {16876},,1 = Si {7083},,1 = Yes {235},,,,1 = Yes {477},,,,1 = Yes {1992},,1 = Yes {756},1 = Yes {2635},,,,1 = Sim {406},1 = Oui {1376},,1 = Sim {2708},1 = Yes {1212},1 = Yes {1217},1 = Yes {1525},,,,,,,,,1 = Yes {4763},1 = Yes {7833},1 = Yes {17260},,,,1 = Yes {4925},1 = Yes {5239},1 = Yes {5379},,,1 = Yes {2176},1 = Yes {2178},,,,1 = Yes {8490},,,1 = Yes {1614},,,,1 = Oui {1161},,1 = Yes {8309},1 = Yes {10847},,,,1 = Oui {2361},1 = Oui {2666},,,1 = Oui {863},,1 = SÃ­ {6647},,1 = Yes {3760},1 = Yes {3575},1 = Yes {3778},1 = Yes {5450},1 = Yes {720},1 = Yes {684},,1 = Sim {2945},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Yes {2231},,,,,,,,,,,1 = Yes {5495},,1 = Oui {820},,,1 = Yes {2893},1 = Yes {5299},,,,,,1 = SÃ­ {4536},1 = Si {4229},,,,1 = Yes {3253},1 = Yes {2792},,1 = Yes {550},,1 = Sim {523},,1 = Sim {960},,,1 = Yes {2623},,1 = Yes {2456},,1 = Yes {352},1 = Yes {633},1 = Yes {2037},,,1 = Yes {632},,,1 = Yes {280},,1 = Yes {5726},1 = Yes {4532},,,1 = Yes {997},1 = Yes {1446},1 = Yes {1351},1 = Yes {1756},1 = Yes {2138},,,1 = Yes {750},1 = Yes {2335},1 = Yes {2363},,,1 = Yes {7938},1 = Yes {1338},1 = Yes {2268},,1 = Yes {691},1 = Yes {1280},1 = Yes {19053},1 = Yes {13175},,,1 = Oui {765},1 = Oui {1185},1 = Oui {955},1 = Yes {936},1 = Yes {1402},,,,1 = Oui {2897},,,1 = Yes {1942},1 = Yes {2511},,1 = Yes {3350},1 = Yes {4441},,,,1 = Yes {3420},1 = Yes {5794},1 = Yes {847},,,1 = Yes {4339},1 = Yes {4651},1 = Yes {6409},1 = Yes {5261},,1 = Yes {970},,1 = Yes {1583},1 = then {4829},1 = Yes {7127},,,,,,,
,2,No,2 = No {14738},2 = no {1344},2 = No {2765},,,,2 = Non {5995},,2 = Não {5664},2 = No {9409},2 = No {1669},,,,2 = No {13559},2 = No {737},2 = No {2087},2 = No {2092},2 = No {1027},2 = No {2228},,2 = Non {11818},2 = No {6617},,2 = No {1030},2 = No {3519},2 = No {3202},2 = No {2585},,,2 = Non {5602},,2 = Non {4164},2 = Non {7864},2 = Non {1822},2 = Non {4215},2 = Non {4884},,2 = No {9074},2 = Non {7221},2 = Non {8521},,2 = Non {3254},2 = Non {12768},,2 = Non {2154},,2 = No {1837},,,,2 = Non {9630},,,,2 = No {1937},2 = No {1847},2 = No {1816},,,,2 = Non {5733},2 = Non {8983},2 = Non {2022},2 = No {634},2 = No {10758},,2 = No {5764},,2 = No {2019},,,,2 = No {3162},,,,2 = No {7605},,2 = No {4745},2 = No {7066},,,,2 = Não {3951},2 = Non {5951},,2 = NÃ£o {6678},2 = No {1899},2 = No {3485},2 = No {3206},,,,,,,,,2 = No {5023},2 = No {5689},2 = No {11926},,,,2 = No {9081},2 = No {8244},2 = No {6635},,,2 = No {4461},2 = No {4137},,,,2 = No {12812},,,2 = No {4702},,,,2 = Non {2844},,2 = No {14834},2 = No {11422},,,,2 = Non {21187},2 = Non {13614},,,2 = Non {5670},,2 = No {5026},,2 = No {4004},2 = No {2286},2 = No {4558},2 = No {6652},2 = No {1428},2 = No {2679},,2 = Não {8997},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = No {2795},,,,,,,,,,,2 = No {8083},,2 = Non {4121},,,2 = No {18975},2 = No {21747},,,,,,2 = No {4403},2 = No {2768},,,,2 = No {1783},2 = No {3010},,2 = No {674},,2 = Nao {1008},,2 = NÃƒÂ£o {1736},,,2 = No {4542},,2 = No {2096},,2 = No {2462},2 = No {6058},2 = No {9941},,,2 = No {2973},,,2 = No {5739},,2 = No {4295},2 = No {2332},,,2 = No {8475},2 = No {9580},2 = No {2901},2 = No {3278},2 = No {3828},,,2 = No {1484},2 = No {2142},2 = No {2156},,,2 = No {4160},2 = No {2068},2 = No {7497},,2 = No {4473},2 = No {2421},2 = No {7065},2 = No {8279},,,2 = Non {2114},2 = Non {4190},2 = Non {4909},2 = No {2777},2 = No {3056},,,,2 = Non {1469},,,2 = No {2247},2 = No {2503},,2 = No {2683},2 = No {3374},,,,2 = No {1260},2 = No {7383},2 = No {1612},,,2 = No {1256},2 = No {1248},2 = No {4851},2 = No {4206},,2 = No {1964},,2 = No {6060},2 = later {5690},2 = No {6243},,,,,,,
,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = {2333},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = N'a jamais eu d'activite sexuelle {351},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = DK {8},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = DK {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Missing,9 = Missing {40},,,,,,9 = Manquant {44},,7 = Missing {45},9 = Missing {22},,,,,9 = Missing {27},9 = Missing {1},,,9 = Missing {4},9 = Missing {2},,9 = Non déclaré/Pas de réponse {2},9 = Missing {1},,,7 = Missing {7},,9 = Missing {6},,,9 = Manquant {14},,,9 = Manquant {57},7 = Manquant {12},9 = Manquant {11},9 = Manquant {5},,7 = Missing {4},9 = Manquant {362},9 = Manquant {40},,,9 = Manquant {75},,7 = {2},,9 = Missing {4},,,,9 = Manquant {18},,,,,,9 = Omitido {2},,,,,9 = Manquant {1},9 = Manquant {61},,9 = Omitido {28},,,,,,,,,,,,9 = Missing {3},,9 = Missing {2},,,,,7 = Missing {1},9 = Manquant {42},,,,9 = Missing {36},9 = Missing {29},,,,,,,,,,,9 = Missing {2},,,,,,9 = Missing {2},,,,9 = Missing {1},,,,9 = Missing {4},,,,,,,7 = Manquant {8},,9 = Missing {44},9 = Missing {36},,,,9 = Manquant {25},9 = Manquant {28},,,9 = Manquant {150},,9 = No responde {9},,,,,,9 = Missing {35},9 = Missing {2},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {1},,,,,,,,,,,9 = Missing {2},,,,,9 = Missing {1},9 = Missing {40},,,,,,9 = Missing {},9 = No reportado {2},,,,,9 = Missing {5},,9 = Missing {1},,,,9 = Em falta {4},,,9 = Missing {33},,9 = Missing {2},,,,9 = Missing {22},,,9 = Missing {193},,,9 = Missing {435},,,9 = Missing {2},,,9 = Missing {150},9 = Missing {997},7 = Missing {95},9 = Missing {11},9 = Missing {9},,,7 = Missing {24},9 = Missing {1},9 = Missing {3},,,9 = Missing {2},,,,9 = Missing {37},9 = Missing {5},9 = Missing {2},,,,9 = NSP {2},,9 = Manquant {15},7 = Missing {30},,,,,9 = Manquant {7},,,9 = Missing {2},9 = Missing {3},,,9 = Missing {2},,,,,9 = Missing {5},9 = Missing {40},,,,9 = Missing {1},9 = Missing {6},9 = Missing {3},,9 = Missing {16},,7 = Missing {44},9 = missing {12},9 = Missing {37},,,,,,,
,9,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Not Started {204},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),NA = NA {3938},NA = NA {2025},NA = NA {299},,,,NA = NA {24572},,NA = NA {935},NA = NA {2912},NA = NA {2997},,,,NA = NA {19398},NA = NA {425},NA = NA {111},NA = NA {364},NA = NA {76},NA = NA {627},,NA = NA {1970},NA = NA {3419},,NA = NA {1911},NA = NA {3366},NA = NA {239},NA = NA {330},,,NA = NA {1510},,NA = NA {71},NA = NA {1130},NA = NA {2401},NA = NA {2259},NA = NA {1454},,NA = NA {4380},NA = NA {3145},NA = NA {2578},,NA = NA {2233},NA = NA {4466},,NA = NA {2210},,NA = NA {839},,,,NA = NA {1174},,,,NA = NA {435},NA = NA {563},NA = NA {483},,,,NA = NA {3079},NA = NA {2001},NA = NA {4901},NA = NA {2340},NA = NA {2570},,NA = NA {2018},,NA = NA {1987},,,,NA = NA {4},,,,NA = NA {1308},,NA = NA {737},NA = NA {1254},,,,NA = NA {3614},NA = NA {2535},,NA = NA {1358},NA = NA {1690},NA = NA {515},NA = NA {1049},,,,,,,,,NA = NA {13211},NA = NA {14042},NA = NA {27257},,,,NA = NA {713},NA = NA {745},NA = NA {894},,,NA = NA {336},NA = NA {679},,,,NA = NA {2631},,,NA = NA {425},,,,NA = NA {3084},,NA = NA {3886},NA = NA {3125},,,,NA = NA {5273},NA = NA {3130},,,NA = NA {6974},,NA = NA {1255},,NA = NA {492},NA = NA {2196},NA = NA {1262},NA = NA {1355},NA = NA {202},NA = NA {241},,NA = NA {3118},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {888},,,,,,,,,,,NA = NA {1356},,NA = NA {723},,,NA = NA {5224},NA = NA {6613},,,,,,NA = NA {906},NA = NA {854},,,,NA = NA {2843},NA = NA {911},,NA = NA {116},,NA = NA {1343},,NA = NA {401},,,NA = NA {697},,NA = NA {443},,NA = NA {2092},NA = NA {2566},NA = NA {2066},,,NA = NA {3479},,,NA = NA {5114},,NA = NA {2301},NA = NA {7098},,,NA = NA {8992},NA = NA {8304},NA = NA {208},NA = NA {914},NA = NA {1262},,,NA = NA {3013},NA = NA {478},NA = NA {479},,,NA = NA {13463},NA = NA {2800},NA = NA {861},,NA = NA {2338},NA = NA {318},NA = NA {11067},NA = NA {802},,,NA = NA {1793},NA = NA {484},NA = NA {1137},NA = NA {131},NA = NA {368},,,,NA = NA {6141},,,NA = NA {2986},NA = NA {2676},,NA = NA {141},NA = NA {422},,,,NA = NA {3111},NA = NA {1023},NA = NA {762},,,NA = NA {3657},NA = NA {3571},NA = NA {849},NA = NA {720},,NA = NA {962},,NA = NA {2146},NA = NA {1957},NA = NA {1969},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
