Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,0 = no {3431},,,,,,,0 = No {NA},,0 = No {2354},,,,,,,,,,,,,,0 = No {1568},0 = No {2713},,,,,,,,,,,,,0 = No {3368},,,,,,,0 = No {1093},,,,,,,,,,,,,,,,0 = NA {3588},,,0 = No {1439},,,,,0 = No {206},,,,0 = No {5966},,,,,,,,,,,0 = Não {764},,,,0 = No {3},,,,,,,,,,,0 = No {4379},,,,,,,,,,,,,,,,,,,0 = No {731},,,,,,,,,,,,,,,,,,,0 = No {3729},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {817},,,,,,,,,,,,,,,0 = No {3251},,,,,0 = Nao {245},,,,,,,,,0 = No {281},,,,,,,,,,,,,,,,0 = No {1350},,,,,0 = No {593},,,,,,0 = No {1338},,,,,,,,,2 = Non {760},,,,,,,,,,,,,,,,,,,0 = No {3416},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,H = Female condom {76},8 = female condom {NA},,,,,H = Condom fÃ©minin {3},,8 = Preservativo feminino {10},H = Preservativo femenino {48},8 = Female condom {1},,,,H = Female condom {67},H = Female condom {16},H = Female condom {16},H = Female condom {13},H = Female condom {1},H = Female condom {18},,H = préservatif féminin {12},H = Female condom {5},,8 = Female condom {NA},8 = Female condom {10},H = Female condom {4},H = Female condom {14},,,H = Condom feminin {1},,8 = Condom féminin {NA},H = Condom feminin {NA},,H = Condom feminin {18},H = Condom féminin {55},,8 = Female condom {5},H = Condom feminin {29},H = Condom féminin {48},,,H = Condom féminin {2},,8 = Female condom {4},,H = Condón femenino {1},,,,H = Condom féminin {29},,,,H = Condón femenino {15},H = Condón femenino {42},H = CondÃ³n femenino {91},,,,8 = Condom feminin {9},H = Condom féminin {46},H = Condom feminin {2},8 = Condón femenino {NA},H = CondÃ³n femenino {28},,H = Condón femenino {2},,8 = Female condom {8},,,,8 = {6},,,,H = Female condom {9},,H = Female condom {22},H = Female condom {12},,,,8 = Preservativo feminino {7},H = Condom feminin {11},,H = Preservativo feminino {56},8 = Female condom {3},H = Female condom {3},H = Female condom {22},,,,,,,,,8 = Female condom {3},H = Female condom {5},H = Female condom {23},,,,H = Female condom {9},H = Female condom {27},H = Female condom {2},,,H = Female condom {11},H = Female condom {10},,,,H = Female condom {9},,,8 = Female condom {1},,,,,,H = Female condom {3},H = Female condom {96},,,,H = Condom feminin {4},H = Condom feminin {4},,,H = Condom feminin {1},,H = Condón femenino {26},,8 = Female condom {30},H = Female condom {35},H = What methods are you using to delay or avoid getting pregnant: H - Female condom {11},H = Female condom {19},H = Female condom {5},H = Female condom {1},,H = Preservativo feminino {18},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H = Female condom {4},,8 = Condom feminin {3},,,H = Female condom {17},H = Female condom {58},,,,,,H = CondÃ³n femenino {3},H = Condón femenino {14},,,,8 = Female condom {2},H = Female condom {NA},,H = Female condom {5},,8 = Preservativo feminino {1},,H = Preservativo feminino {16},,,H = Female condom {9},H = Female condom {13},H = Female condom {6},,8 = Female condom {10},H = Female condom {1},H = Female condom {13},,,,,,H = Female condom {5},,H = 1 {28},H = Female condom {3},,,H = Female condom {NA},H = Female condom {3},8 = Female condom {1},H = Female condom {NA},H = Female condom {33},,,8 = Female condom {3},H = Female condom {56},H = Female condom {38},,,H = Female condom {NA},8 = Female condom {NA},H = Female condom {1},,H = Female condom {8},H = {6},,H = Female condom {15},,,1 = Oui {6},H = Condom feminin {14},H = Condom féminin {14},,H = Female condom {2},,,,H = Condom féminin {6},,,H = Female condom {8},H = Female condom {NA},,H = Female condom {43},H = Female condom {21},,,,8 = Female condom {4},H = Female condom {12},H = Female condom {8},,,8 = Female condom {7},H = {21},H = Female condom {7},H = Female condom {13},,H = Female condom {1},,,H = {78},H = Female condom {124},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},97 = missing {NA},,,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,? = Non déclaré/Pas de réponse {},? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,,? = Manquant {4},,97 = Missing {6},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {NA},,97 = Missing {NA},,,,97 = Missing {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},? = Missing {11},,,,? = Manquant {5},? = Manquant {1},,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},? = No reportado {},,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {16},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {25},? = Missing {NA},? = Missing {1},,,,,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},? = Missing {59},97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},,? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,? = Missing {NA},? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {21977},NA = NA {2025},,,,,NA = NA {41178},,NA = NA {7080},NA = NA {23730},NA = NA {4666},,,,NA = NA {59502},NA = 0 {1900},NA = NA {5889},NA = 0 {5898},NA = 0 {1674},NA = NA {4467},,NA = NA {16336},NA = 0 {16818},,NA = NA {2941},NA = NA {6003},NA = 0 {4973},NA = 0 {4631},,,NA = 0 {8158},,NA = NA {4690},NA = 0 {9614},,NA = 0 {9390},NA = NA {10388},,NA = NA {13588},NA = 0 {12407},NA = 0 {12459},,,NA = 0 {18082},,NA = NA {4139},,NA = 0 {5739},,,,NA = 0 {12986},,,,NA = 0 {8666},NA = 0 {9398},NA = NA {9141},,,,NA = NA {8812},NA = 0 {13189},NA = 0 {7369},NA = NA {3044},NA = NA {30160},,NA = NA {14863},,NA = NA {4027},,,,NA = NA {4},,,,NA = 0 {10899},,NA = 0 {6218},NA = NA {10951},,,,NA = NA {7199},NA = 0 {9893},,NA = {10688},NA = NA {4795},NA = 0 {5238},NA = {5780},,,,,,,,,NA = NA {18614},NA = 0 {27559},NA = NA {56422},,,,NA = 0 {14710},NA = 0 {14201},NA = NA {12907},,,NA = NA {6962},NA = NA {6983},,,,NA = NA {23906},,,NA = NA {6009},,,,,,NA = 0 {27070},NA = NA {25323},,,,NA = NA {28837},NA = NA {19433},,,NA = 0 {13656},,NA = NA {12911},,NA = NA {4496},NA = NA {8022},NA = 0 {9588},NA = NA {13438},NA = 0 {2359},NA = NA {3604},,NA = NA {15042},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {14924},,NA = NA {4844},,,NA = 0 {27076},NA = NA {33639},,,,,,NA = NA {9842},NA = NA {7839},,,,NA = NA {4626},NA = 0 {6717},,NA = 0 {1336},,NA = NA {2628},,NA = NA {3084},,,NA = NA {7880},NA = 0 {5784},NA = NA {4990},,NA = NA {4590},NA = 0 {9256},NA = 0 {14052},,,,,,NA = 0 {11556},,NA = 2 {12294},NA = NA {13361},,,NA = 0 {18614},NA = NA {20265},NA = NA {3204},NA = 0 {5958},NA = 0 {7203},,,NA = NA {4675},NA = 0 {4898},NA = {4962},,,NA = 0 {25563},NA = NA {4868},NA = 0 {10625},,NA = NA {7531},NA = {4017},,NA = NA {22241},,,NA = NA {3908},NA = NA {6194},NA = 0 {7002},,NA = 0 {4824},,,,NA = 0 {10508},,,NA = 0 {7169},NA = NA {7693},,NA = 0 {6131},NA = 0 {8218},,,,NA = NA {4371},NA = NA {14193},NA = 0 {3251},,,NA = NA {9244},NA = {9450},NA = 0 {12108},NA = NA {10177},,NA = 0 {3911},,,NA = {12410},NA = NA {15249},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
