Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,,,,,,,,0 = No {NA},,0 = No {2354},,,,,,,,,,,,,,0 = No {1566},0 = No {2713},,,,,,,,,,,,,0 = No {3370},,,,0 = Non {412},,,0 = No {1097},,,,,,,,,,,,,,,,0 = NA {3597},,,0 = No {1439},,,,,0 = No {207},,,,0 = No {5966},,,,,,,,,,,0 = Não {769},,,,0 = No {4},,,,,,,,,,,0 = No {4378},,,,,,,,,,,,,,,,,,,0 = No {727},,,,,,,,,,,,,,,,,,,0 = No {3755},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {819},,,,,,,,,,,,,,,0 = No {3252},,,,,0 = Nao {245},,,,,,,,,0 = No {284},,,,,,,,,,,,,,,,0 = No {1351},,,,,0 = No {595},,,,,,0 = No {1338},,,,,,,,,2 = Non {762},,,0 = No {941},,,,,,,,,,,,,,,,0 = No {3419},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,I = Diaphragm {20},,I = Diaphragm {1},,,,I = Diaphragme {4},,9 = Diafragma {4},I = Diafragma {9},9 = Diaphragm {1},,,,I = Diaphragm {18},I = Diaphragm {3},I = Diaphragm {NA},I = Diaphragm {2},I = Diaphragm {1},I = Diaphragm {1},,,,,9 = Diaphragm {2},9 = Diaphragm {10},I = Diaphragm {NA},I = Diaphragm {2},,,I = Diaphragme {2},,9 = Diaphragme {1},I = Diaphragme {2},,I = Diaphragme {1},I = Diaphragme {6},,9 = Diaphragm {2},I = Diaphragme {2},I = Diaphragme {3},,9 = Diaphragme {6},I = Diaphragme {NA},,9 = Diaphragm {1},,I = Diafragma {12},,,,I = Diaphragme {2},,,,I = Diafragma {7},I = Diafragma {8},I = Diafragma {6},,,,9 = Diaphragme {NA},I = Diaphragme {1},I = Diaphragme {2},9 = Diafragma {NA},I = Diafragma {14},,I = Diafragma {2},,9 = Diaphragm {6},,,,9 = Diaphragm {6},,,,I = Diaphragm {NA},,I = Diaphragm {1},I = Diaphragm {4},,,,9 = Diafragama {NA},I = Diaphragme {1},,I = Diafragma {40},9 = Diaphragm {5},I = Diaphragm {18},I = Diaphragm {4},,,,,,,,,9 = Diaphragm {5},I = Diaphragm {31},I = Diaphragm {70},,,,I = Diaphragm {2},I = Diaphragm {2},I = Diaphragm {6},,,I = Diaphragm {NA},I = Diaphragm {NA},,,,I = Diaphragm {NA},,,9 = Diaphragm {9},,,,,,I = Diaphragm {9},,,,,,,,,I = Diaphragme {2},,I = Diafragma {8},,9 = Diaphragm {4},I = Diaphragm {11},I = What methods are you using to delay or avoid getting pregnant: I - Diaphragm {NA},I = Diaphragm {NA},I = Diaphragm {7},I = Diaphragm {NA},,I = Diafragma {3},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I = Diaphragm {NA},,9 = Diaphragme {1},,,I = Diaphragm {19},I = Diaphragm {16},,,,,,I = Diafragma {21},,,,,9 = Diaphragm {1},I = Diaphragm {4},,I = Diaphragm {2},,9 = Diafragma {1},,I = Diafragma {1},,,I = Diaphragm {13},I = Diaphragm {1},I = Diaphragm {1},,9 = Diaphragm {7},I = Diaphragm {3},I = Diaphragm {3},,,I = Diaphragm {NA},,,I = Diaphragm {1},,I = 1 {3},I = Diaphragm {5},,,I = Diaphragm {2},I = Diaphragm {1},9 = Diaphragm {NA},I = Diaphragm {NA},I = Diaphragm {1},,,9 = Diaphragm {2},I = Diaphragm {2},I = Diaphragm {4},,,I = Diaphragm {10},9 = Diaphragm {NA},I = Diaphragm {NA},,I = Diaphragm {64},I = {1},,I = Diaphragm {5},,,1 = Oui {4},I = Diaphragme {7},I = Diaphragme {2},1 = Yes {11},I = Diaphragm {8},,,,I = Diaphragme {2},,,I = Diaphragm {1},I = Diaphragm {NA},,I = Diaphragm {14},I = Diaphragm {5},,,,9 = Diaphragm {1},I = Diaphragm {4},I = Diaphragm {7},,,9 = Diaphragm {NA},,I = Diaphragm {NA},I = Diaphragm {1},,I = Diaphragm {1},,,I = {19},I = Diaphragm {15},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},,? = Missing {8},,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,,,,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,97 = Manquant {NA},? = Manquant {4},,97 = Missing {6},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {NA},,97 = Missing {NA},,,,97 = Missing {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},,,,,,,,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},,,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {1},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {25},? = Missing {NA},? = Missing {1},,,? = Missing {5},,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},? = Missing {59},97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},,? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,? = Missing {NA},? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {22033},NA = NA {5456},NA = 0 {5119},,,,NA = NA {41177},,NA = NA {7086},NA = NA {23769},NA = NA {4666},,,,NA = NA {59551},NA = 0 {1913},NA = NA {5905},NA = 0 {5909},NA = 0 {1674},NA = NA {4484},,,,,NA = NA {2941},NA = NA {6003},NA = 0 {4977},NA = 0 {4643},,,NA = 0 {8157},,NA = NA {4689},NA = 0 {9612},,NA = 0 {9407},NA = NA {10437},,NA = NA {13589},NA = 0 {12434},NA = 0 {12504},,NA = NA {5487},NA = 0 {18084},,NA = NA {4138},,NA = 0 {5728},,,,NA = 0 {13013},,,,NA = 0 {8674},NA = 0 {9432},NA = NA {9226},,,,NA = NA {8812},NA = 0 {13234},NA = 0 {7369},NA = NA {3044},NA = NA {30174},,NA = NA {12863},,NA = NA {4028},,,,NA = NA {4},,,,NA = 0 {10908},,NA = 0 {6239},NA = NA {10959},,,,NA = NA {7201},NA = 0 {9903},,NA = {10704},NA = NA {4792},NA = 0 {5223},NA = {5798},,,,,,,,,NA = NA {18613},NA = 0 {27533},NA = NA {56375},,,,NA = 0 {14717},NA = 0 {14226},NA = NA {12903},,,NA = NA {6973},NA = NA {6993},,,,NA = NA {23915},,,NA = NA {6005},,,,,,NA = 0 {27064},,,,,,,,,NA = 0 {13655},,NA = NA {12929},,NA = NA {4496},NA = NA {8046},NA = 0 {9599},NA = NA {13457},NA = 0 {2357},NA = NA {3605},,NA = NA {15057},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {14928},,NA = NA {4844},,,NA = 0 {27074},NA = NA {33681},,,,,,NA = NA {9824},,,,,NA = NA {4626},NA = 0 {6713},,NA = 0 {1339},,NA = NA {2628},,NA = NA {3099},,,NA = NA {7876},NA = 0 {5796},NA = NA {4995},,NA = NA {4590},NA = 0 {9254},NA = 0 {14062},,,NA = 0 {7272},,,NA = 0 {11560},,NA = 2 {12319},NA = NA {13359},,,NA = 0 {18612},NA = NA {20267},NA = NA {3204},NA = 0 {5958},NA = 0 {7235},,,NA = NA {4674},NA = 0 {4952},NA = {4996},,,NA = 0 {25553},NA = NA {4868},NA = 0 {10626},,NA = NA {7475},NA = {4022},,NA = NA {22251},,,NA = NA {3908},NA = NA {6201},NA = 0 {7014},NA = NA {3126},NA = 0 {4818},,,,NA = 0 {10512},,,NA = 0 {7176},NA = NA {7693},,NA = 0 {6160},NA = 0 {8234},,,,NA = NA {4371},NA = NA {14201},NA = 0 {3252},,,NA = NA {9251},NA = {9471},NA = 0 {12115},NA = NA {10189},,NA = 0 {3911},,,NA = {12469},NA = NA {15358},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
