Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,,
,0,No,,0 = no {3396},,,,,,,0 = No {NA},,0 = No {2334},,,,,,,,,,,,,,0 = No {1447},0 = No {2716},,,,,,,,,,,,,0 = No {3333},,,,0 = Non {381},,,0 = No {1072},,,,,,,,,,,,,,,,0 = NA {3556},,,0 = No {465},,,,,0 = No {206},,,,0 = No {5963},,,,,,,,,,,0 = Não {752},,,,0 = No {10},,,,,,,,,,,0 = No {3812},,,,,,,,,,,,,,,,,,,0 = No {715},,,,,,,,,,,,,,,,,,,0 = No {3689},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {803},,,,,,,,,,,,,,,0 = No {3193},,,,,0 = Nao {231},,,,,,,,,0 = No {286},,,,,,,,,,,,,,,,0 = No {1068},,,,,0 = No {7},,,,,,0 = No {1330},,,,,,,,,2 = Non {748},,,0 = No {788},,,,,,,,,,,,,,,,0 = No {3349},,,,,0 = NA {NA},,,,,,,,,,,,,,,,,
,1,Yes,A = Female sterilization {89},1 = female sterilization {35},A = Female sterilization {33},,,,A = StÃ©rilisation fÃ©minine {92},,1 = Esterização feminina {4},A = Esterilización femenina {911},1 = Female sterilization {21},,,,A = Female sterilization {1856},A = Female sterilization {58},A = Female sterilization {110},A = Female sterilization {156},A = Female sterilization {147},A = Female sterilization {570},,A = Stérilisation féminine {26},A = Female sterilization {720},,1 = Female sterilization {121},1 = Female sterilization {7},A = Female sterilization {3},A = Female sterilization {7},,,A = Sterilisation feminine {5},,1 = {6},A = Sterilisation feminine {17},,A = Sterilisation feminine {32},A = Stérilisation féminine {22},,1 = Female sterilization {42},A = Sterilisation feminine {14},A = Stérilisation féminine {18},,1 = St‚rilisation f‚minine {37},A = Stérilisation féminine {11},,1 = Female sterilization {29},,A = Esterilización femenina {941},,,,A = Stérilisation féminine {20},,,,A = Esterilización femenina {1604},A = Esterilización femenina {1712},A = EsterilizaciÃ³n femenina {1629},,,,1 = Sterilisation feminine {41},A = Stérilisation féminine {63},A = Sterilisation feminine {9},1 = Esterilización femenina {1036},A = EsterilizaciÃ³n femenina {8286},,A = Esterilización femenina {3286},,1 = Female sterilization {12},,,,1 = Female sterilization {9},,,,A = Female sterilization {38},,A = Female sterilization {14},A = Female sterilization {65},,,,1 = Esterilização femenina {23},A = Sterilisation feminine {22},,A = Esterilização feminina {18},1 = Female sterilization {136},A = Female sterilization {52},A = Female sterilization {135},,,,,,,,,1 = Female sterilization {361},A = Female sterilization {422},A = Female sterilization {971},,,,A = Female sterilization {38},A = Female sterilization {112},A = Female sterilization {144},,,A = Female sterilization {63},A = Female sterilization {69},,,,A = Female sterilization {857},,,1 = Female sterilization {62},,,,,,A = Female sterilization {912},A = Female sterilization {1775},,,,A = Stérilisation féminine {22},A = Stérilisation féminine {57},,,A = Sterilisation feminine {11},,A = Esterilización femenina (OTB o ligadura de trompas) {2958},,1 = Female sterilization {70},A = Female sterilization {125},A = What methods are you using to delay or avoid getting pregnant: A - Female sterilization {191},A = Female sterilization {338},A = Female sterilization {3},A = Female sterilization {4},,A = Esterilização feminina {27},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A = Female sterilization {1514},,1 = St‚rilisation feminine {17},,,A = Female sterilization {34},A = Female sterilization {76},,,,,,A = Salpin/OperaciÃ³n o esterilizaciÃ³n femenina {1511},A = Esterilización femenina (ligadura) {459},,,,1 = Female sterilization {60},A = Female sterilization {179},,A = Female sterilization {62},,1 = Laquea+ao {7},,A = EsterilizaÃ§Ã£o feminina {1},,,A = Female sterilization {14},A = Female sterilization {10},A = Female sterilization {21},,1 = Female sterilization {12},A = Female sterilization {5},A = Female sterilization {71},,,,,,A = Female sterilization {4},,A = 1 {323},A = Female sterilization {145},,,A = Female sterilization {41},,1 = Female sterilization {283},A = Female sterilization {311},A = Female sterilization {400},,,1 = Female sterilization {150},A = Female sterilization {114},A = Female sterilization {83},,,A = Female sterilization {160},1 = Female sterilization {8},A = Female sterilization {17},,A = Female sterilization {38},A = {19},A = Female sterilization {7090},A = Female sterilization {4450},,,1 = Oui {18},A = Sterilisation feminine {10},A = Stérilisation féminine {12},1 = Yes {164},A = Female sterilization {219},,,,A = Stérilisation féminine {152},,,,A = Female Sterilization {11},,A = Female sterilization {98},A = Female sterilization {61},,,,1 = Female sterilization {71},A = Female sterilization {174},A = Female sterilization {121},,,1 = Female sterilization {372},A = {396},A = Female sterilization {349},A = Female sterilization {212},,A = Female sterilization {79},,,A = {49},A = Female sterilization {94},,,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},97 = missing {NA},? = Missing {8},,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,? = Non déclaré/Pas de réponse {},? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,97 = Manquant {NA},? = Manquant {4},,97 = Missing {6},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {0},,97 = Missing {NA},,,,97 = Missing {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},? = Missing {11},,,,? = Manquant {5},? = Manquant {1},,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},? = No reportado {},,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {12},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {26},? = Missing {NA},? = Missing {1},,,,,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},,97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},? = Missing {NA},? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {21964},NA = NA {2025},NA = 0 {5087},,,,NA = NA {41089},,NA = NA {7086},NA = NA {22867},NA = NA {4666},,,,NA = NA {57713},NA = 0 {1858},NA = NA {5795},NA = 0 {5755},NA = 0 {1528},NA = NA {3915},,NA = NA {16322},NA = 0 {16103},,NA = NA {2941},NA = NA {6003},NA = 0 {4974},NA = 0 {4638},,,NA = 0 {8154},,NA = NA {4684},NA = 0 {9597},,NA = 0 {9376},NA = NA {10421},,NA = NA {13586},NA = 0 {12422},NA = 0 {12489},,NA = NA {5487},NA = 0 {18073},,NA = NA {4135},,NA = 0 {4799},,,,NA = 0 {12995},,,,NA = 0 {7077},NA = 0 {7728},NA = NA {7603},,,,NA = NA {8812},NA = 0 {13172},NA = 0 {7362},NA = NA {2982},NA = NA {21902},,NA = NA {11579},,NA = NA {4023},,,,NA = NA {4},,,,NA = 0 {10870},,NA = 0 {6226},NA = NA {10898},,,,NA = NA {7195},NA = 0 {9882},,NA = {10726},NA = NA {4655},NA = 0 {5189},NA = {5667},,,,,,,,,NA = NA {18823},NA = 0 {27142},NA = NA {55474},,,,NA = 0 {14681},NA = 0 {14116},NA = NA {12765},,,NA = NA {6910},NA = NA {6924},,,,NA = NA {23058},,,NA = NA {5964},,,,,,NA = 0 {26161},NA = na {23644},,,,,,,,NA = 0 {13646},,NA = NA {9979},,NA = NA {4496},NA = NA {7932},NA = 0 {9408},NA = NA {13119},NA = 0 {2361},NA = NA {3601},,NA = NA {15033},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {13414},,NA = NA {4844},,,NA = 0 {27059},NA = NA {33621},,,,,,NA = NA {8334},NA = NA {7394},,,,NA = NA {4626},NA = 0 {6538},,NA = 0 {1279},,NA = NA {2636},,NA = NA {3088},,,NA = NA {7875},NA = 0 {5787},NA = NA {4975},,NA = NA {4582},NA = 0 {9252},NA = 0 {13994},,,,,,NA = 0 {11557},,NA = 2 {11999},NA = NA {13219},,,NA = 0 {18573},,NA = NA {3204},NA = 0 {5647},NA = 0 {6836},,,2 = NA {1485},NA = 0 {4840},NA = {4917},,,NA = 0 {25403},NA = NA {4868},NA = 0 {10609},,NA = NA {7501},NA = {4004},NA = 0 {30097},NA = NA {17806},,,NA = NA {3908},NA = NA {6198},NA = 0 {7004},NA = NA {3126},NA = 0 {4607},,,,NA = 0 {10362},,,,NA = NA {7682},,NA = 0 {6076},NA = 0 {8178},,,,NA = NA {4371},NA = NA {14031},NA = 0 {3138},,,NA = NA {8834},NA = {9075},NA = 0 {11766},NA = NA {9978},,NA = 0 {3833},,,NA = {12439},NA = NA {15279},,,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 = NA {541},,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101 = NA {62},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {3026},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
