Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,,,,,,,,0 = No {NA},,0 = No {2354},,,,,,,,,,,,,,0 = No {1568},0 = No {2717},,,,,,,,,,,,,0 = No {3366},,,,,,,0 = No {1070},,,,,,,,,,,,,,,,0 = NA {3593},,,0 = No {1431},,,,,0 = No {206},,,,0 = No {5964},,,,,,,,,,,0 = Não {767},,,,0 = No {4},,,,,,,,,,,0 = No {4383},,,,,,,,,,,,,,,,,,,0 = No {730},,,,,,,,,,,,,,,,,,,0 = No {1873},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = No {820},,,,,,,,,,,,,,,0 = No {3253},,,,,0 = Nao {245},,,,,,,,,0 = No {277},,,,,,,,,,,,,,,,0 = No {1350},,,,,0 = No {592},,,,,,0 = No {1338},,,,,,,,,2 = Non {736},,,0 = No {943},,,,,,,,,,,,,,,,0 = No {3420},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,E = Implants {138},,,,,,E = Implants {29},,6 = Transplanções {2},E = Implantes de hormonas {9},6 = Implants {1},,,,E = Implants {464},E = Implants {9},F = Implants {1},E = Implants {3},F = Implants {2},E = Implants {3},,,E = Implants {19},,6 = Implants/norplant {NA},6 = Implants {6},F = Implants {NA},E = Implants {1},,,F = Implants {94},,6 = Implants {1},F = Implants {3},,F = Implants {39},E = Implants {111},,6 = Implants {6},F = Implants {5},E = Implants {10},,,E = Implants {4},,6 = Implants {31},,E = Implantes {4},,,,F = Implants {9},,,,F = Implantes {8},E = Implantes {8},E = Implantes {8},,,,6 = Implants {4},E = Implants {31},F = Implants {2},6 = Implantes {9},E = Implantes {285},,E = Implantes (NORPLAT/ Barritas en el brazo {19},,6 = Implants {7},,,,6 = {8},,,,F = Implants {2},,F = Implants {21},E = Implants {139},,,,6 = Transplantação {6},F = Implants {12},,E = Implantes {607},6 = Implants {28},F = Implants {77},E = Implants {41},,,,,,,,,6 = Implants {NA},F = Implants {6},E = Implants {18},,,,F = Implants {2},E = Implants {1},E = Implants {1},,,F = Implants {3},E = Implants {NA},,,,E = Implants {13},,,6 = Implants {4},,,,,,F = Implants {141},E = Implants {1733},,,,,,,,E = Implants {12},,E = Implantes {460},,4 = IUD {19},D = Implants {42},E = What methods are you using to delay or avoid getting pregnant: E - Implants {33},E = Implants {54},F = Implants {1},E = Implants {NA},,F = Implantes {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E = Implants {162},,6 = Implants {NA},,,F = Implants {46},E = Implants {59},,,,,,E = Implantes {13},,,,,6 = Implants {NA},E = Implants {NA},,E = Implants {2},,6 = Implantes {1},,E = Implantes {53},,,F = Implants {3},E = Implants {NA},E = Implants {NA},,6 = Implants {14},F = Implants {10},E = Implants {188},,,,,,E = Implants {5},,,E = Implants {4},,,E = Implants {4},E = Implants {32},6 = Implants {1},F = Implants {1},E = Implants {4},,,6 = Implants {5},E = Implants {59},E = Implants {112},,,F = Implants {3},6 = Implants {NA},F = Implants {1},,F = Implants {2},,F = Implants {187},E = Implants {130},,,1 = Oui {30},F = Implants {50},E = Implants {95},1 = Yes {9},F = Implants {7},,,,E = Implants {18},,,F = Implants {7},E = Implants {1},,F = Implants {6},E = Implants {6},,,,6 = Implants {NA},F = Implants {8},F = Implants {3},,,6 = Implants {1},F = {3},E = Implants {22},E = Implants {12},,F = Implants {5},,,F = {163},E = Implants {1042},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},,,,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,,? = Manquant {4},,97 = Missing {6},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {NA},,97 = Missing {NA},,,,97 = Missing {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},? = Missing {11},,,,,,,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},,,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {1},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {25},? = Missing {NA},? = Missing {1},,,,,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},? = Missing {59},97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},? = Missing {NA},? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,? = Missing {NA},? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {21915},NA = NA {5456},,,,,NA = NA {41152},,NA = NA {7088},NA = NA {23769},NA = NA {4666},,,,NA = NA {59105},NA = 0 {1907},NA = NA {5904},NA = 0 {5908},NA = 0 {1673},NA = NA {4482},,,NA = 0 {16804},,NA = NA {2941},NA = NA {6003},NA = 0 {4977},NA = 0 {4644},,,NA = 0 {8065},,NA = NA {4689},NA = 0 {9611},,NA = 0 {9369},NA = NA {10332},,NA = NA {13589},NA = 0 {12431},NA = 0 {12497},,,NA = 0 {18080},,NA = NA {4135},,NA = 0 {5736},,,,NA = 0 {13006},,,,NA = 0 {8673},NA = 0 {9432},NA = NA {9224},,,,NA = NA {8812},NA = 0 {13204},NA = 0 {7369},NA = NA {3043},NA = NA {29903},,NA = NA {14846},,NA = NA {4028},,,,NA = NA {4},,,,NA = 0 {10906},,NA = 0 {6219},NA = NA {10824},,,,NA = NA {7197},NA = 0 {9892},,NA =  {10137},NA = NA {4769},NA = 0 {5164},NA = {5761},,,,,,,,,NA = NA {18613},NA = 0 {27558},NA = NA {56427},,,,NA = 0 {14717},NA = 0 {14227},NA = NA {12908},,,NA = NA {6970},NA = NA {6993},,,,NA = NA {23902},,,NA = NA {6007},,,,,,NA = 0 {26932},NA = NA {23686},,,,,,,,NA = 0 {13645},,NA = NA {12477},,NA = NA {4496},NA = NA {8015},NA = 0 {9566},NA = NA {13403},NA = 0 {2363},NA = NA {3605},,NA = NA {15059},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {14766},,NA = NA {4844},,,NA = 0 {27047},NA = NA {33638},,,,,,NA = NA {9832},,,,,NA = NA {4626},NA = 0 {6717},,NA = 0 {1339},,NA = NA {2628},,NA = NA {3047},,,NA = NA {7886},NA = 0 {5797},NA = NA {4996},,NA = NA {4590},NA = 0 {9247},NA = 0 {13877},,,,,,NA = 0 {11556},,,NA = NA {13361},,,NA = 0 {18610},NA = NA {20236},NA = NA {3204},NA = 0 {5957},NA = 0 {7232},,,NA = NA {4674},NA = 0 {4895},NA = {4888},,,NA = 0 {25560},NA = NA {4868},NA = 0 {10625},,NA = NA {7537},NA = {4023},NA = 0 {37000},NA = NA {22126},,,NA = NA {3908},NA = NA {6158},NA = 0 {6921},NA = NA {3126},NA = 0 {4819},,,,NA = 0 {10496},,,NA = 0 {7170},NA = NA {7692},,NA = 0 {6168},NA = 0 {8233},,,,NA = NA {4371},NA = NA {14197},NA = 0 {3256},,,NA = NA {9250},NA = {9468},NA = 0 {12093},NA = NA {10178},,NA = 0 {3907},,,NA = {12325},NA = NA {14331},,,,,,,
,9,NIU (not in universe),,VALUE LABELS MISSING = VALUE LABELS MISSING {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
