Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,,,,,,,,0 = No {NA},,0 = No {1952},,,,,,,,,,,,,,0 = No {1215},0 = No {2250},,,,,,,,,,,,,0 = No {3353},,,,0 = Non {410},,,0 = No {1081},,,,,,,,,,,,,,,,0 = NA {3578},,,0 = No {1400},,,,,0 = No {195},,,,0 = No {5902},,,,,,,,,,,0 = Não {495},,,,0 = No {4},,,,,,,,,,,0 = No {3460},,,,,,,,,,,,,,,,,,,0 = No {676},,,,,,,,,,,,,,,,,,,0 = No {3740},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {804},,,,,,,,,,,,,,,0 = No {1425},,,,,0 = Nao {230},,,,,,,,,0 = No {253},,,,,,,,,,BLANKCELL = 2 {9467},,,,,,0 = No {1302},,,,,0 = No {565},,,,,,0 = No {349},,,,,,,,,2 = Non {758},,,0 = No {901},,,,,,,,,,,,,,,,0 = No {551},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,C = IUD {204},,,,,,C = DIU {372},,4 = IUD {28},C = DIU {1525},4 = IUD {403},,,,C = IUD {249},C = IUD {42},D = IUD {1116},C = IUD {692},D = IUD {33},C = IUD {39},,C = DIU (Dispositif Intra Utérin) {127},C = IUD {358},,4 = IUD {353},4 = IUD {473},D = IUD {119},C = IUD {92},,,D = DIU {14},,4 = DIU {23},D = DIU {14},,D = DIU {15},C = DIU {35},,4 = IUD {20},D = DIU {5},C = DIU {3},,4 = DIU {8},C = DIU {3},,4 = IUD {20},,C = DIU {94},,,,D = DIU {2},,,,D = DIU {2912},C = DIU {2146},C = DIU {2185},,,,4 = DUI {19},C = DIU {13},D = DIU {15},4 = DIU {39},C = DIU {673},,C = DIU {257},,4 = IUD {21},,,,4 = {70},,,,D = IUD {531},,D = IUD {15},C = IUD {31},,,,4 = DIU {279},D = DIU {492},,C = DIU {701},4 = IUD {191},D = IUD {168},C = IUD {222},,,,,,,,,4 = IUD {1065},D = IUD {1865},C = IUD {3255},,,,D = IUD {3505},C = IUD {3170},C = IUD {2852},,,D = IUD {1487},C = IUD {1247},,,,C = IUD {288},,,4 = IUD {136},,,,,,D = IUD {53},C = IUD {167},,,,C = DIU {28},C = DIU {45},,,C = DIU {109},,C = DIU {1560},,6 = Implants {1886},F = IUD {1524},C = What methods are you using to delay or avoid getting pregnant: C - IUD {1575},C = IUD {2350},D = Spiral {133},C = IUD {104},,D = diu {38},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C = IUD {194},,4 = DIU {16},,,D = IUD {100},C = IUD {191},,,,,,C = DIU {184},C = DIU (espiral o T de cobre) {358},,,,4 = IUD {1828},C = IUD {793},,C = IUD {30},,4 = DIU {26},,C = DIU {34},,,D = Spiral {246},C = IUD {127},C = IUD {68},,4 = IUD {38},D = IUD {10},C = IUD {21},,,D = IUD {3},,,C = IUD {1},,C = 1 {2855},C = IUD {2082},,,C = IUD {48},C = IUD {43},4 = IUD {49},D = IUD {51},C = IUD {64},,,4 = IUD {37},C = IUD {25},C = IUD {13},,,D = IUD {3547},4 = IUD {989},D = IUD {1677},,D = IUD {15},C = {51},D = IUD {310},C = IUD {113},,,1 = Oui {8},D = DIU {18},C = DIU {13},1 = Yes {51},D = IUD {66},,,,C = DIU {1091},,,D = IUD {1697},C = IUD {2184},,D = IUD {1069},C = IUD {760},,,,4 = IUD {2869},D = IUD {4396},D = IUD {76},,,4 = IUD {2220},D = {2226},C = IUD {2466},C = IUD {1876},,D = IUD {146},,,D = {28},C = IUD {43},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},,,,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,? = Non déclaré/Pas de réponse {},? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,97 = Manquant {NA},? = Manquant {4},,97 = Missing {6},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {NA},,97 = Missing {NA},,,,97 = Missing {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},? = Missing {11},,,,? = Manquant {5},? = Manquant {1},,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},? = No reportado {},,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {1},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {25},? = Missing {NA},? = Missing {1},,,? = Missing {5},,,? = Missing {7},,,? = Missing {23},,,? = Missing {NA},? = Missing {59},97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},? = Missing {NA},? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,? = Missing {NA},? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {21849},NA = NA {5456},,,,,NA = NA {40809},,NA = NA {7062},NA = NA {22253},NA = NA {4666},,,,NA = NA {59320},NA = 0 {1874},NA = NA {4789},NA = 0 {5219},NA = 0 {1642},NA = NA {4446},,NA = NA {16221},NA = 0 {16465},,NA = NA {2941},NA = NA {6003},NA = 0 {4858},NA = 0 {4553},,,NA = 0 {8145},,NA = NA {4667},NA = 0 {9600},,NA = 0 {9393},NA = NA {10408},,NA = NA {13588},NA = 0 {12431},NA = 0 {12504},,NA = NA {5487},NA = 0 {18081},,NA = NA {4135},,NA = 0 {5646},,,,NA = 0 {13013},,,,NA = 0 {5769},NA = 0 {7294},NA = NA {7047},,,,NA = NA {8812},NA = 0 {13222},NA = 0 {7356},NA = NA {3044},NA = NA {29515},,NA = NA {14608},,NA = NA {4025},,,,NA = NA {4},,,,NA = 0 {10377},,NA = 0 {6225},NA = NA {10932},,,,NA = NA {7196},NA = 0 {9412},,NA = {10043},NA = NA {4606},NA = 0 {5073},NA = {5580},,,,,,,,,NA = NA {18471},NA = 0 {25699},NA = NA {53190},,,,NA = 0 {11214},NA = 0 {11058},NA = NA {10057},,,NA = NA {5486},NA = NA {5746},,,,NA = NA {23627},,,NA = NA {5929},,,,,,NA = 0 {27020},NA = NA {25252},,,,NA = NA {28813},NA = NA {19392},,,NA = 0 {13548},,NA = NA {11377},,NA = NA {4496},NA = NA {6533},NA = 0 {8024},NA = NA {11107},NA = 0 {2231},NA = NA {3501},,NA = NA {15022},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {14734},,NA = NA {4844},,,NA = 0 {26993},NA = NA {33506},,,,,,NA = NA {9661},NA = NA {7495},,,,NA = NA {4626},NA = 0 {5924},,NA = 0 {1311},,NA = NA {2618},,NA = NA {3066},,,NA = NA {7643},NA = 0 {5670},NA = NA {4928},,NA = NA {4590},NA = 0 {9247},NA = 0 {14044},,,NA = 0 {7269},,,NA = 0 {11560},,,NA = NA {11282},,,NA = 0 {18566},NA = NA {20225},NA = NA {3204},NA = 0 {5907},NA = 0 {7172},,,NA = NA {4669},NA = 0 {4929},NA = {4987},,,NA = 0 {22016},NA = NA {4868},NA = 0 {8949},,NA = NA {7524},NA = {3972},NA = 0 {36877},NA = NA {22143},,,NA = NA {3908},NA = NA {6190},NA = 0 {7003},NA = NA {3126},NA = 0 {4760},,,,NA = 0 {9423},,,NA = 0 {5480},NA = NA {5509},,NA = 0 {5105},NA = 0 {7479},,,,NA = NA {4371},NA = NA {9809},NA = 0 {3183},,,NA = NA {7031},NA = {7245},NA = 0 {9649},NA = NA {8314},,NA = 0 {3766},,,NA = {12460},NA = NA {15330},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
