Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,0 = no {3326},,,,,,,0 = No {NA},,0 = No {2315},,,,,,,,,,,,,,0 = No {1445},0 = No {2691},,,,,,,,,,,,,0 = No {2851},,,,0 = Non {229},,,0 = No {1032},,,,,,,,,,,,,,,,0 = NA {3098},,,0 = No {1432},,,,,0 = No {181},,,,0 = No {5962},,,,,,,,,,,0 = Não {698},,,,0 = No {3},,,,,,,,,,,0 = No {3229},,,,,,,,,,,,,,,,,,,0 = No {728},,,,,,,,,,,,,,,,,,,0 = No {3500},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {557},,,,,,,,,,,,,,,0 = No {3202},,,,,0 = Nao {241},,,,,,,,,0 = No {291},,,,,,,,,,,,,,,,0 = No {1346},,,,,0 = No {594},,,,,,0 = No {1300},,,,,,,,,2 = Non {662},,,0 = No {951},,,,,,,,,,,,,,,,0 = No {3359},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,K = Lactational amenorrhoea method (LAM) {202},11 = lactational {105},K = Lactational amenorrhoea (LAM) {88},,,,,,11 = Met. de amenorreia lactante {16},K = Amenorrea por lactancia {32},11 = Lactational amenorrhoea method {40},,,,K = Lactational amenorrhoea method (LAM) {100},K = Lactational amenorrhoea method (LAM) {1},K = Lactational amenorrhoea (LAM) {50},K = Lactational amenorrhoea method (LAM) {80},K = Lactational amenorrhoea (LAM) {5},K = Lactational amenorrhoea method (LAM) {8},,K = Méthode de l'Allaitement Maternel et de l'Aménorrhée (MAMA) {119},K = Lactational amenorrhoea method (LAM) {4},,11 = Lactational amenorrhea method (MELA) {123},11 = Lactational amenorrhea method {32},K = Lactational amenorrhoea (LAM) {10},K = Lactational amenorrhoea method (LAM) {9},,,K = Methode de l'allaitement maternel et de lamerorhee (MAMA) {68},,,K = Methode de l'allaitement maternel et de lamerorhee (MAMA) {24},,K = Methode de allaitement maternel et de lamerorhee (MAMA) {218},K = Méthode de l'Allaitement Maternel et de l'Aménorrhée (MAMA) {338},,11 = Lactational amenorrhoea method {551},K = Methode de l'allaitement maternel et de lamerorhee (MAMA) {278},K = Méthode de l'Allaitement Maternel et de l'Aménorrhée (MAMA) {306},,11 = M‚thode d'allaitment (lam) {189},K = Méthode de l'Allaitement Maternel et de l'Aménorrhée (MAMA) {425},,11 = Lactational amenorrhoea method {73},,K = Amenorrea por Lactancia {1},,,,K = Méthode de l'allaitement maternel et de l'aménorrhée (MAMA) {154},,,,K = Amenorrea por lactancia {21},K = Amenorrea por lactacia {11},K = MÃ©todo de amenorrea por lactancia (MELA) {8},,,,11 = Methode d'allaitement (LAM) {499},K = Méthode de l'Allaitement Maternel et de l'Aménorrhée (MAMA) {213},K = Methode allaitement maternel et de l'amenorrhee {23},11 = MELA {7},,,K = Lactancia(MELA) {20},,11 = Lactational amenorrhoea method {12},,,,11 = {10},,,,K = Lactational amenorrhoea (LAM) {118},,K = Lactational amenorrhoea (LAM) {13},K = Lactational amenorrhoea method (LAM) {131},,,,11 = Método amenorreia e lactante {75},K = Methode de l'allaitement maternel et de lamerorhee (MAMA) {230},,K = Metodo de aleitamento maternal e de amenorreia(MAMA) {214},11 = Lactational amenorrhoea method {11},K = Lactational amenorrhoea (LAM) {10},,,,,,,,,,11 = Lactational amenorrhoea method {1181},K = Lactational amenorrhoea (LAM) {1138},K = Lactational amenorrhoea method (LAM) {836},,,,K = Lactational amenorrhoea (LAM) {54},K = Lactational amenorrhoea method (LAM) {22},K = Lactational amenorrhoea method (LAM) {82},,,K = Lactational amenorrhoea method (LAM) {14},K = Lactational amenorrhoea method (LAM) {80},,,,K = Lactational amenorrhoea method (LAM) {115},,,11 = Lactational amenorrhoea method {6},,,,,,K = Lactational amenorrhoea (LAM) {51},,,,,K = Methode de l'Allaitement Maternel et de l'Amenorrhee (MAMA) {181},K = Methode de l'Allaitement Maternel et de l'Amenorrhee (MAMA) {5},,,K = Methode de l'Allaitement Maternel et de l'Amenorrhee (MAMA) {6},,,,11 = Lactational amenorrhea method {259},K = Lactational amenorrhoea method {31},K = What methods are you using to delay or avoid getting pregnant: K - Lactational amenorrhoea method {13},,K = Lactational amenorrhoea (LAM) {6},K = Lactational amenorrhoea method (LAM) {1},,K = Método de amenorreia lactacional (LAM) {273},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 = M‚thode d'allaitement {263},,,K = Lactational amenorrhoea (LAM) {179},K = Lactational amenorrhoea method (LAM) {340},,,,,,K = Amenorrea por lactancia (MELA) {41},K = Método de amenorrea por lactancia (MELA) {32},,,,11 = Lactational amenorrhoea method {51},K = Lactational amenorrhoea method (LAM) {34},,K = Lactational amenorrhoea method (LAM) {2},,11 = Amenorreia lactante {10},,,,,K = Lactational amenorrhoea (LAM) {37},K = Lactational amenorrhoea method (LAM) {75},,,11 = Lactational amenorrhoea method {NA},K = Lactational amenorrhoea (LAM) {43},K = Lactational amenorrhoea method (LAM) {17},,,K = Lactational amenorrhoea (LAM) {561},,,K = Lactational amenorrhoea method (LAM) {43},,,K = Lactational amenorrhoea method (LAM) {131},,,K = Lactational amenorrhoea method (LAM) {50},K = Lactational amenorrhoea method (LAM) {63},11 = Lactational amenorrhoea method {5},K = Lactational amenorrhoea (LAM) {NA},K = Lactational amenorrhoea method (LAM) {5},,,11 = Lactational amenorrhoea method {3},K = Lactational amenorrhoea method (LAM) {3},,,,K = Lactational amenorrhoea (LAM) {594},11 = Lactational amenorrhea method {38},K = Lactational amenorrhoea (LAM) {134},,K = Lactational amenorrhoea (LAM) {10},K = {9},K = Lactational amenorrhoea (LAM) {87},K = Lactational amenorrhoea method (LAM) {16},,,1 = Oui {104},K = Methode de l'allaitement maternel et de lamerorhee (MAMA) {23},K = Méthode de l'Allaitement Maternel et de l'Aménorrhée (MAMA) {26},1 = Yes {1},K = Lactational amenorrhoea (LAM) {9},,,,K = Méthode de l'Allaitement Maternel et de l'Aménorrhée (MAMA) {51},,,K = Lactational amenorrhoea (LAM) {33},,,K = Lactational amenorrhoea (LAM) {79},K = Lactational amenorrhoea method (LAM) {128},,,,11 = Lactational amenorrhea method {61},K = Lactational amenorrhoea (LAM) {264},K = Lactational amenorrhoea (LAM) {2},,,11 = Lactational amenorrhoea method {34},K = {34},K = Lactational amenorrhoea method (LAM) {22},,,K = Lactational amenorrhoea (LAM) {223},,,K = {83},K = Lactational amenorrhoea method (LAM) {17},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},97 = missing {NA},? = Missing {8},,,,,,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,? = Non déclaré/Pas de réponse {},? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,97 = Manquant {NA},? = Manquant {4},,97 = Missing {6},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},,,? = Omitido {NA},,97 = Missing {NA},,,,97 = Missing {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},,,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},,,,,? = Manquant {5},? = Manquant {1},,,? = Manquant {NA},,,,97 = Missing {1},,? = Missing {NA},,? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},? = No reportado {},,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,,,,? = Missing {6},? = Missing {NA},,,97 = Missing {25},? = Missing {NA},? = Missing {1},,,? = Missing {5},,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},? = Missing {59},97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},,,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},? = Missing {NA},? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,? = Missing {NA},,,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},,,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {21851},NA = NA {2025},NA = 0 {5032},,,,,,NA = NA {7074},NA = NA {23746},NA = NA {4666},,,,NA = NA {59469},NA = 0 {1915},NA = NA {5855},NA = 0 {5831},NA = 0 {1670},NA = NA {4477},,NA = NA {16229},NA = 0 {16819},,NA = NA {2941},NA = NA {6003},NA = 0 {4967},NA = 0 {4636},,,NA = 0 {8091},,,NA = 0 {9590},,NA = 0 {9190},NA = NA {10105},,NA = NA {13559},NA = 0 {12158},NA = 0 {12201},,NA = NA {5487},NA = 0 {17659},,NA = NA {4131},,NA = 0 {5739},,,,NA = 0 {12861},,,,NA = 0 {8660},NA = 0 {9429},NA = NA {9224},,,,NA = NA {8812},NA = 0 {13022},NA = 0 {7348},NA = NA {3044},,,NA = NA {14845},,NA = NA {4048},,,,NA = NA {4},,,,NA = 0 {10790},,NA = 0 {6227},NA = NA {10832},,,,NA = NA {7197},NA = 0 {9674},,NA = {10530},NA = NA {4787},NA = 0 {5231},,,,,,,,,,NA = NA {18586},NA = 0 {26426},NA = NA {55609},,,,NA = 0 {14665},NA = 0 {14206},NA = NA {12827},,,NA = NA {6959},NA = NA {6913},,,,NA = NA {23800},,,NA = NA {6007},,,,,,NA = 0 {27022},,,,,NA = NA {28660},NA = NA {19432},,,NA = 0 {13651},,,,NA = NA {4496},NA = NA {8026},NA = 0 {9586},,NA = 0 {2358},NA = NA {3604},,NA = NA {14787},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {4844},,,NA = 0 {26914},NA = NA {33357},,,,,,NA = NA {9804},NA = NA {7821},,,,NA = NA {4626},NA = 0 {6683},,NA = 0 {1339},,NA = NA {2623},,,,,NA = NA {7852},NA = 0 {5722},,,NA = NA {4590},NA = 0 {9214},NA = 0 {14048},,,NA = 0 {6711},,,NA = 0 {11518},,,NA = NA {13233},,,NA = 0 {18564},NA = NA {20205},NA = NA {3204},NA = 0 {5958},NA = 0 {7231},,,NA = NA {4674},NA = 0 {4951},,,,NA = 0 {24969},NA = NA {4868},NA = 0 {10492},,NA = NA {7529},NA = {4014},NA = 0 {37100},NA = NA {22240},,,NA = NA {3908},NA = NA {6185},NA = 0 {6990},NA = NA {3126},NA = 0 {4817},,,,NA = 0 {10463},,,NA = 0 {7144},,,NA = 0 {6095},NA = 0 {8111},,,,NA = NA {4371},NA = NA {13941},NA = 0 {3257},,,NA = NA {9217},NA = {9437},NA = 0 {12093},,,NA = 0 {3689},,,NA = {12405},NA = NA {15356},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
