Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,0 = no {3420},,,,,,,0 = No {NA},,0 = No {2352},,,,,,,,,,,,,,0 = No {1568},0 = No {2721},,,,,,,,,,,,,0 = No {3371},,,,0 = Non {418},,,0 = No {1097},,,,,,,,,,,,,,,,0 = NA {3591},,,0 = No {1439},,,,,0 = No {211},,,,,,,,,,,,,,,0 = Não {767},,,,0 = No {6},,,,,,,,,,,0 = No {4384},,,,,,,,,,,,,,,,,,,0 = No {734},,,,,,,,,,,,,,,,,,,0 = No {3749},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {819},,,,,,,,,,,,,,,0 = No {3253},,,,,0 = Nao {233},,,,,,,,,0 = No {290},,,,,,,,,,,,,,,,0 = No {1349},,,,,0 = No {594},,,,,,0 = No {1332},,,,,,,,,2 = Non {763},,,0 = No {948},,,,,,,,,,,,,,,,0 = No {3416},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,B = Male sterilization {38},2 = male sterilization {11},B = Male sterilization {5},,,,B = StÃ©rilisation masculine {1},,2 = Esterilização masculino {6},B = Esterilización masculina {17},2 = Male sterilization {3},,,,B = Male sterilization {293},B = Male sterilization {1},B = Male sterilization {2},B = Male sterilization {NA},B = Male sterilization {2},B = Male sterilization {2},,B = Stérilisation masculine {13},B = Male sterilization {1287},,2 = Male sterilization {NA},2 = Male sterilization {2},B = Male sterilization {NA},B = Male sterilization {NA},,,B = Sterilisation masculine {NA},,2 = Stérilisation masculine {3},B = Sterilisation masculine {1},,B = Sterilisation masculine {1},B = Stérilisation masculine {},,2 = Male sterilization {2},B = Sterilisation masculine {6},B = Stérilisation masculine {2},,2 = St‚rilisation masculine {NA},B = Stérilisation masculine {3},,2 = Male sterilization {1},,B = Esterilización masculina {97},,,,B = Stérilisation masculine {NA},,,,B = Esterilización masculina {2},B = Esterilización masculina {6},B = EsterilizaciÃ³n masculina {8},,,,2 = Sterilisation masculine {6},B = Stérilisation masculine {1},B = Sterilisation masculine {1},2 = Esterilización masculina {1},B = EsterilizaciÃ³n masculina {16},,B = Esterilización masculina {19},,2 = Male sterilization {6},,,,,,,,B = Male sterilization {1},,B = Male sterilization {NA},B = Male sterilization {2},,,,2 = Esterelização masculina {5},B = Sterilisation masculine {4},,B = Esterilização masculina {1},2 = Male sterilization {2},B = Male sterilization {2},B = Male sterilization {2},,,,,,,,,2 = Male sterilization {4},B = Male sterilization {9},,,,,B = Male sterilization {2},B = Male sterilization {3},B = Male sterilization {2},,,B = Male sterilization {39},B = Male sterilization {1},,,,B = Male sterilization {2},,,2 = Male sterilization {2},,,,,,B = Male sterilization {13},B = Male sterilization {23},,,,B = Stérilisation masculine {2},B = Stérilisation masculine {1},,,B = Sterilisation masculine {10},,B = Esterilización masculina (vasectomía) {51},,2 = Male sterilization {10},B = Male sterilization {3},B = What methods are you using to delay or avoid getting pregnant: B - Male sterilization {19},B = Male sterilization {1},B = Male sterilization {NA},B = Male sterilization {NA},,B = Esterilização masculina {9},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B = Male sterilization {660},,2 = St‚rilisation masculine {1},,,B = Male sterilization {6},B = Male sterilization {2},,,,,,B = OperaciÃ³n masculina {32},B = Esterilización masculina (vasectomía) {3},,,,2 = Male sterilization {NA},B = Male sterilization {NA},,B = Male sterilization {1},,2 = Esteriliza+ao masculina {1},,B = EsterilizaÃ§Ã£o masculina {2},,,B = Male sterilization {1},B = Male sterilization {NA},B = Male sterilization {NA},,2 = Male sterilization {1},B = Male sterilization {4},B = Male sterilization {2},,,,,,B = Male sterilization {2},,B = 1 {1},B = Male sterilization {1},,,B = Male sterilization {NA},,2 = Male sterilization {2},B = Male sterilization {3},B = Male sterilization {9},,,2 = Male sterilization {1},B = Male sterilization {4},B = Male sterilization {0},,,B = Male sterilization {6},2 = Male sterilization {6},B = Male sterilization {14},,B = Male sterilization {NA},,B = Male sterilization {286},B = Male sterilization {60},,,1 = Oui {3},B = Sterilisation masculine {5},B = Stérilisation masculine {1},1 = Yes {4},B = Male sterilization {3},,,,B = Stérilisation masculine {1},,,,B = Male sterilization {4},,B = Male sterilization {46},B = Male sterilization {NA},,,,2 = Male sterilization {4},B = Male sterilization {10},B = Male sterilization {12},,,2 = Male sterilization {34},B = {26},B = Male sterilization {10},B = Male sterilization {6},,B = Male sterilization {4},,,B = {6},B = Male sterilization {3},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},97 = missing {NA},? = Missing {8},,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,? = Non déclaré/Pas de réponse {},? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,97 = Manquant {NA},? = Manquant {4},,97 = Missing {6},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {NA},,97 = Missing {NA},,,,,,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},,,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},? = Missing {11},,,,? = Manquant {5},? = Manquant {1},,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},? = No reportado {},,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {1},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {26},? = Missing {NA},? = Missing {1},,,,,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},,97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},? = Missing {NA},? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {22015},NA = NA {2025},NA = 0 {5115},,,,NA = NA {41180},,NA = NA {7084},NA = NA {23761},NA = NA {4666},,,,NA = NA {59276},NA = 0 {1915},NA = NA {5903},NA = 0 {5911},NA = 0 {1673},NA = NA {4483},,NA = NA {16335},NA = 0 {15536},,NA = NA {2941},NA = NA {6003},NA = 0 {4977},NA = 0 {4645},,,NA = 0 {8159},,NA = NA {4687},NA = 0 {9613},,NA = 0 {9407},NA = NA {10443},,NA = NA {13588},NA = 0 {12430},NA = 0 {12505},,NA = NA {5487},NA = 0 {18081},,NA = NA {4138},,NA = 0 {5643},,,,NA = 0 {13015},,,,NA = 0 {8679},NA = 0 {9434},NA = NA {9224},,,,NA = NA {8812},NA = 0 {13234},NA = 0 {7370},NA = NA {3043},NA = NA {30172},,NA = NA {14846},,NA = NA {4024},,,,,,,,NA = 0 {10907},,NA = 0 {6240},NA = NA {10961},,,,NA = NA {7198},NA = 0 {9900},,NA = {10743},NA = NA {4793},NA = 0 {5239},NA = {5800},,,,,,,,,NA = NA {18608},NA = 0 {27555},,,,,NA = 0 {14717},NA = 0 {14225},NA = NA {12907},,,NA = NA {6934},NA = NA {6992},,,,NA = NA {23913},,,NA = NA {6005},,,,,,NA = 0 {27060},NA = NA {25396},,,,,,,,NA = 0 {13647},,NA = NA {12886},,NA = NA {4496},NA = NA {8054},NA = 0 {9580},NA = NA {13456},NA = 0 {2364},NA = NA {3605},,NA = NA {15051},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {14268},,NA = NA {4844},,,NA = 0 {27087},NA = NA {33695},,,,,,NA = NA {9813},NA = NA {7850},,,,NA = NA {4626},NA = 0 {6717},,NA = 0 {1340},,NA = NA {2640},,NA = NA {3098},,,NA = NA {7888},NA = 0 {5797},NA = NA {4996},,NA = NA {4589},NA = 0 {9253},NA = 0 {14063},,,,,,NA = 0 {11559},,NA = 2 {12321},NA = NA {13363},,,NA = 0 {18614},,NA = NA {3204},NA = 0 {5955},NA = 0 {7227},,,NA = NA {4676},NA = 0 {4950},NA = {5000},,,NA = 0 {25557},NA = NA {4868},NA = 0 {10612},,NA = NA {7539},NA = {4023},NA = 0 {36901},NA = NA {22196},,,NA = NA {3908},NA = NA {6203},NA = 0 {7015},NA = NA {3126},NA = 0 {4823},,,,NA = 0 {10513},,,,NA = NA {7689},,NA = 0 {6128},NA = 0 {8239},,,,NA = NA {4371},NA = NA {14195},NA = 0 {3247},,,1 = NA {1},NA = {9445},NA = 0 {12105},NA = NA {10184},,NA = 0 {3908},,,NA = {12482},NA = NA {15370},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,NA = NA {9216},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
