Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,0 = no {3415},,,,,,,0 = No {NA},,0 = No {2155},,,,,,,,,,,,,,0 = No {1514},0 = No {2714},,,,,,,,,,,,,0 = No {3268},,,,0 = Non {414},,,0 = No {1056},,,,,,,,,,,,,,,,0 = NA {3404},,,0 = No {1431},,,,,0 = No {165},,,,0 = No {5949},,,,,,,,,,,0 = Não {668},,,,0 = No {3},,,,,,,,,,,0 = No {4335},,,,,,,,,,,,,,,,,,,0 = No {721},,,,,,,,,,,,,,,,,,,0 = No {3741},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {698},,,,,,,,,,,,,,,0 = No {3220},,,,,0 = Nao {242},,,,,,,,,0 = No {277},,,,,,,,,,,,,,,,0 = No {1337},,,,,0 = No {584},,,,,,0 = No {1333},,,,,,,,,2 = Non {756},,,0 = No {857},,,,,,,,,,,,,,,,0 = No {3380},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,X = Other {22},14 = other {36},X = Other {8},,,,X = Autre {16},,14 = Outros {5},X = Otro {297},14 = Other {200},,,,X = Other {174},X = Other {23},X = Other {51},X = Other {17},X = Other {17},X = Other {12},,X = Autre {71},X = Other {9},,14 = Other {54},14 = Other {9},X = Other {7},X = Other {12},,,X = Autre {2},,14 = Autre {13},X = Autre {4},,X = Autre {49},X = Autre {187},,14 = Other {113},X = Autre {117},X = Autre {36},,14 = Autre {4},X = Autre {10},,14 = Other {34},,X = Otro {9},,,,X = Autre {67},,,,X = Otro {18},X = Otro {43},X = Otro {41},,,,14 = Autres {193},X = Autre {162},X = Autre {2},14 = Otro {9},X = Otro {110},,X = Otro (especifique) {12},,14 = Other {24},,,,14 = {23},,,,X = Other {18},,X = Other {12},X = Other {34},,,,14 = Outor {33},X = Autre {60},,X = Outros {55},14 = Other {9},X = Other {24},X = Other {28},,,,,,,,,14 = Other {53},X = Other {73},X = Other {31},,,,X = Other {41},X = Other {35},X = Other {47},,,X = Other {25},X = Other {8},,,,X = Other {14},,,14 = Other {21},,,,,,X = Other {208},X = Other {75},,,,X = Autre {38},X = Autre {38},,,X = Autre {8},,X = Otro {31},,14 = Other {18},X = Other {14},X = What methods are you using to delay or avoid getting pregnant: X - Other {10},X = Other {17},X = Other {18},X = Other {3},,X = Outro {58},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X = Other {4},,14 = Autre {122},,,X = Other {164},X = Other {285},,,,,,X = Otro {72},X = Otro {57},,,,14 = Other {33},X = Other {55},,X = Other {8},,14 = Outro {12},,X = Outro {23},,,X = Other {23},X = Other {16},X = Other {6},,14 = Other {14},X = Other {29},X = Other {104},,,X = Other {2},,,X = Other {19},,X = 1 {18},X = Other {16},,,X = Other {26},X = Other {65},14 = Other {14},X = Other {8},X = Other {8},,,14 = Other {11},X = Other {31},X = Other {3},,,X = Other {113},14 = Other {5},X = Other {8},,X = Other {81},X = {7},X = Other {52},X = Other {18},,,1 = Oui {10},X = Autre {NA},X = Autre {20},1 = Yes {95},X = Other {85},,,,X = Autre {16},,,X = Other {7},X = Other {2},,X = Other {42},X = Other {22},,,,14 = Other {40},X = Other {28},X = Other {11},,,14 = Other {18},X = {18},X = Other {7},X = Other {1},,X = Other {29},,,X = {26},X = Other {15},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},97 = missing {NA},? = Missing {8},,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,? = Non déclaré/Pas de réponse {},? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,97 = Manquant {NA},? = Manquant {4},,97 = Missing {9},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {NA},,97 = Missing {NA},,,,97 = Missing {},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},? = Missing {11},,,,? = Manquant {5},? = Manquant {1},,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},? = No reportado {},,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {1},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {25},? = Missing {NA},? = Missing {1},,,? = Missing {5},,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},? = Missing {59},97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},? = Missing {NA},? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,? = Missing {NA},? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {22031},NA = NA {2005},NA = 0 {5112},,,,NA = NA {41165},,NA = NA {7085},NA = NA {23481},NA = NA {4666},,,,NA = NA {59395},NA = 0 {1893},NA = NA {5854},NA = 0 {5894},NA = 0 {1658},NA = NA {4473},,NA = NA {16277},NA = 0 {16814},,NA = NA {2941},NA = NA {6003},NA = 0 {4970},NA = 0 {4633},,,NA = 0 {8157},,NA = NA {4677},NA = 0 {9610},,NA = 0 {9359},NA = NA {10256},,NA = NA {13580},NA = 0 {12319},NA = 0 {12471},,NA = NA {5487},NA = 0 {18074},,NA = NA {4143},,NA = 0 {5731},,,,NA = 0 {12948},,,,NA = 0 {8663},NA = 0 {9397},NA = NA {9191},,,,NA = NA {8812},NA = 0 {13073},NA = 0 {7369},NA = NA {3043},NA = NA {30078},,NA = NA {14853},,NA = NA {4052},,,,NA = NA {4},,,,NA = 0 {10890},,NA = 0 {6228},NA = NA {10929},,,,NA = NA {7269},NA = 0 {9844},,NA = {10689},NA = NA {4789},NA = 0 {5217},NA = {5774},,,,,,,,,NA = NA {18608},NA = 0 {27491},NA = NA {56414},,,,NA = 0 {14678},NA = 0 {14193},NA = NA {12862},,,NA = NA {6948},NA = NA {6985},,,,NA = NA {23901},,,NA = NA {5999},,,,,,NA = 0 {26865},NA = NA {25344},,,,NA = NA {28803},NA = NA {19399},,,NA = 0 {13649},,NA = NA {12906},,NA = NA {4496},NA = NA {8043},NA = 0 {9589},NA = NA {13440},NA = 0 {2346},NA = NA {3602},,NA = NA {15002},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {14924},,NA = NA {4844},,,NA = 0 {26929},NA = NA {33412},,,,,,NA = NA {9773},NA = NA {7796},,,,NA = NA {4626},NA = 0 {6662},,NA = 0 {1333},,NA = NA {2620},,NA = NA {3077},,,NA = NA {7866},NA = 0 {5781},NA = NA {4990},,NA = NA {4590},NA = 0 {9228},NA = 0 {13961},,,NA = 0 {7270},,,NA = 0 {11542},,NA = 2 {12304},NA = NA {13348},,,NA = 0 {18588},NA = NA {20203},NA = NA {3204},NA = 0 {5950},NA = 0 {7228},,,NA = NA {4676},NA = 0 {4923},NA = {4997},,,NA = 0 {25450},NA = NA {4868},NA = 0 {10618},,NA = NA {7458},NA = {4016},NA = 0 {37135},NA = NA {22238},,,NA = NA {3908},NA = NA {6205},NA = 0 {6996},NA = NA {3126},NA = 0 {4741},,,,NA = 0 {10498},,,NA = 0 {7170},NA = NA {7691},,NA = 0 {6132},NA = 0 {8217},,,,NA = NA {4371},NA = NA {14177},NA = 0 {3248},,,NA = NA {9231},NA = {9453},NA = 0 {12108},NA = NA {10189},,NA = 0 {3883},,,NA = {12462},NA = NA {15358},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},NA = NA {0},,,,,,,,,,,,,,,,,,,,,,,12 = NA {1},,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N = NA {3},,,,,,,,,,,,,,,,,,,,,,,1 = NA {1},,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
