Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,0 = no {3025},,,,,,,0 = No {NA},,0 = No {2139},,,,,,,,,,,,,,0 = No {926},0 = No {2472},,,,,,,,,,,,,0 = No {1470},,,,0 = Non {343},,,0 = No {946},,,,,,,,,,,,,,,,0 = NA {1116},,,0 = No {1416},,,,,0 = No {148},,,,0 = No {5960},,,,,,,,,,,0 = Não {604},,,,0 = No {3},,,,,,,,,,,0 = No {4169},,,,,,,,,,,,,,,,,,,0 = No {729},,,,,,,,,,,,,,,,,,,0 = No {3304},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {814},,,,,,,,,,,,,,,0 = No {3000},,,,,0 = Nao {242},,,,,,,,,0 = No {282},,,,,,,,,,,,,,,,0 = No {1334},,,,,0 = No {583},,,,,,0 = No {1241},,,,,,,,,2 = Non {513},,,0 = No {924},,,,,,,,,,,,,,,,0 = No {3339},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,L = Periodic abstinence / Rhythm {118},12 = periodic abstinence {406},L = Periodic abstinence {332},,,,L = Abstinence pÃ©riodique / Rythme {626},,12 = Abstinência periodica {104},L = Abstinencia periódica / Ritmo {162},12 = Periodic abstinence {216},,,,L = Periodic abstinence / Rhythm {1078},L = Periodic abstinence / Rhythm {21},L = Periodic abstinence {395},L = Periodic abstinence / Rhythm {275},L = Periodic abstinence {27},L = Periodic abstinence / Rhythm {70},,L = Abstinence périodique / Rythme {318},L = Periodic abstinence / Rhythm {11},,12 = Ritmo {642},12 = Periodic abstinence {251},L = Periodic abstinence {122},L = Periodic abstinence / Rhythm {131},,,L = Abstinence periodique {184},,12 = Abstinence {124},L = Abstinence periodique {64},,L = Abstinence periodique {1558},L = Abstinence périodique / Rythme {1916},,12 = Periodic abstinence {1974},L = Abstinence periodique {809},L = Abstinence périodique / Rythme {409},,12 = Abstinence p‚riodique {75},L = Abstinence périodique / Rythme {84},,12 = Periodic abstinence {158},,L = Abstinencia periódica / Ritmo {45},,,,L = Abstinence périodique {480},,,,L = Abstinencia periodica {51},L = Ritmo/Abstinencia periodica {49},L = Abstinencia periÃ³dica / Ritmo {44},,,,12 = Abstinence periodique {2481},L = Abstinence périodique / Rythme {1327},L = Abstinence periodique {4},12 = Abstinencia periódica {25},L = Abstinencia periÃ³dica / Ritmo {210},,L = Abstinencia periódica / Ritmo {219},,12 = Periodic abstinence {49},,,,12 = Periodic abstinence {12},,,,L = Periodic abstinence {537},,L = Periodic abstinence {105},L = Periodic abstinence / Rhythm {646},,,,12 = Abstinência periódica {167},L = Abstinence periodique {77},,L = Abstinência periodica/Tabelas {195},12 = Periodic abstinence {20},L = Periodic abstinence {15},L = Periodic abstinence / Rhythm {23},,,,,,,,,12 = Periodic abstinence {224},L = Periodic abstinence {400},L = Periodic abstinence / Rhythm {414},,,,L = Periodic abstinence {47},L = Periodic abstinence / Rhythm {48},L = Periodic abstinence / Rhythm {140},,,L = Periodic abstitnence {31},L = Periodic abstinence / Rhythm {52},,,,L = Periodic abstinence / Rhythm {824},,,12 = Periodic abstinence {2},,,,,,L = Periodic abstinence {142},L = Periodic abstinence / Rhythm {52},,,,L = Abstinence periodique / Rythme {40},L = Abstinence periodique / Rythme {19},,,L = Abstinence periodique / Rythme {4},,L = Abstinencia periódica / Ritmo {65},,12 = Periodic abstinence {455},L = Periodic abstinence {323},"L = What methods are you using to delay or avoid getting pregnant: L - Periodic abstinence, rhythm {272}",L = Periodic abstinence / Rhythm {620},L = Periodic abstinence {82},L = Periodic abstinence / Rhythm {14},,L = Abstinência periódica {140},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L = Periodic abstinence / Rhythm {24},,12 = Abstinence p‚riodique {6},,,L = Periodic abstinence {458},L = Periodic abstinence / Rhythm {1363},,,,,,L = Abstinencia periÃ³dica (Ritmo) {166},L = Abstinencia periódica / Ritmo (calendario o control de la temperatura) {58},,,,12 = Periodic abstinence {253},L = Periodic abstinence / Rhythm {173},,L = Periodic abstinence / Rhythm {15},,12 = Abstinencia periodica {10},,L = AbstinÃªncia periÃ³dica /Tabelas {34},,,L = Periodic abstinence {502},L = Periodic abstinence / Rhythm {411},L = Periodic abstinence / Rhythm {220},,12 = Periodic abstinence {9},L = Periodic abstinence {15},L = Periodic abstinence / Rhythm {33},,,L = Periodic abstinence {23},,,L = Periodic abstinence / Rhythm {138},,L = 1 {216},L = Periodic abstinence / Rhythm {301},,,L = Periodic abstinence / Rhythm {45},L = Periodic abstinence / Rhythm {29},12 = Periodic abstinence {17},L = Periodic abstinence {10},L = Periodic abstinence / Rhythm {8},,,12 = Periodic abstinence {16},L = Periodic abstinence / Rhythm {10},L = Periodic abstinence / Rhythm {4},,,L = Periodic abstinence {1425},12 = Periodic abstinence {97},L = Periodic abstinence {18},,L = Periodic abstinence {35},L = {76},L = Periodic abstinence {210},L = Periodic abstinence / Rhythm {159},,,1 = Oui {253},L = Abstinence periodique {352},L = Abstinence périodique / Rythme {85},1 = Yes {28},L = Periodic abstinence {71},,,,L = Abstinence périodique / Rythme {463},,,L = Periodic abstinence {18},L = Periodic abstinence / Rhythm {32},,L = Periodic abstinence {312},L = Periodic abstinence / Rhythm {393},,,,12 = Periodic abstinence {81},L = Periodic abstinence {160},L = Periodic abstinence {16},,,12 = Periodic abstinence {559},L = {720},L = Periodic abstinence / Rhythm {1192},L = Periodic abstinence / Rhythm {1117},,L = Periodic abstinence {43},,,L = {29},L = Periodic abstinence / Rhythm {13},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},97 = missing {NA},? = Missing {8},,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,? = Non déclaré/Pas de réponse {},? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,97 = Manquant {NA},? = Manquant {4},,97 = Missing {6},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {NA},,97 = Missing {NA},,,,97 = Missing {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},? = Missing {11},,,,? = Manquant {5},? = Manquant {1},,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},? = No reportado {},,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {1},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {25},? = Missing {NA},? = Missing {1},,,? = Missing {5},,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},? = Missing {59},97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},? = Missing {NA},? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,? = Missing {NA},? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {21935},NA = NA {2025},NA = 0 {4788},,,,NA = NA {40555},,NA = NA {6986},NA = NA {23616},NA = NA {4666},,,,NA = NA {58491},NA = 0 {1895},NA = NA {5510},NA = 0 {5636},NA = 0 {1648},NA = NA {4415},,NA= NA {15730},NA = 0 {16812},,NA = NA {2941},NA = NA {6003},NA = 0 {4855},NA = 0 {4514},,,NA = 0 {7975},,NA = NA {4566},NA = 0 {9550},,NA = 0 {7850},NA = NA {8527},,NA = NA {13517},NA = 0 {11627},NA = 0 {12098},,NA = NA {5487},NA = 0 {18000},,NA = NA {4132},,NA = 0 {5695},,,,NA = 0 {12535},,,,NA = 0 {8630},NA = 0 {9391},NA = NA {9188},,,,NA = NA {8812},NA = 0 {11908},NA = 0 {7367},NA = NA {3042},NA = NA {29978},,NA = NA {14646},,NA = NA {4044},,,,NA = NA {4},,,,NA = 0 {10371},,NA = 0 {6135},NA = NA {10317},,,,NA = NA {7199},NA = 0 {9827},,NA = {10549},NA = NA {4778},NA = 0 {5226},NA = {5779},,,,,,,,,NA = NA {18603},NA = 0 {27164},NA = NA {56031},,,,NA = 0 {14672},NA = 0 {14180},NA = NA {12769},,,NA = NA {6942},NA = NA {6941},,,,NA = NA {23091},,,NA = NA {6010},,,,,,NA = 0 {26931},NA = NA {25367},,,,NA = NA {28801},NA = NA {19418},,,NA = 0 {13653},,NA = NA {12872},,NA = NA {4496},NA = NA {7734},NA = 0 {9327},NA = NA {12837},NA = 0 {2282},NA = NA {3591},,NA = NA {14920},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {14904},,NA = NA {4844},,,NA = 0 {26635},NA = NA {32334},,,,,,NA = NA {9679},NA = NA {7795},,,,NA = NA {4626},NA = 0 {6544},,NA = 0 {1326},,NA = NA {2622},,NA = NA {3066},,,NA = NA {7387},NA = 0 {5386},NA = NA {4776},,NA = NA {4590},NA = 0 {9242},NA = 0 {14032},,,NA = 0 {7249},,,NA = 0 {11423},,NA = 2 {12106},NA = NA {13063},,,NA = 0 {18569},NA = NA {20239},NA = NA {3204},NA = 0 {5948},NA = 0 {7228},,,NA = NA {4672},NA = 0 {4944},NA = {4996},,,NA = 0 {24138},NA = NA {4868},NA = 0 {10608},,NA = NA {7504},NA = {3947},NA = 0 {36977},NA = NA {22097},,,NA = NA {3908},NA = NA {5856},NA = 0 {6931},NA = NA {3126},NA = 0 {4755},,,,NA = 0 {10051},,,NA = 0 {7159},NA = NA {7661},,NA = 0 {5862},NA = 0 {7846},,,,NA = NA {4371},NA = NA {14045},NA = 0 {3243},,,NA = NA {8692},NA = {8751},NA = 0 {10923},NA = NA {9073},,NA = 0 {3869},,,NA = {12459},NA = NA {15360},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
