Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,0,No,,0 = no {1743},,,,,,,0 = No {NA},,0 = No {971},,,,,,,,,,,,,,0 = No {1547},0 = No {1063},,,,,,,,,,,,,0 = No {3252},,,,0 = Non {416},,,0 = No {1008},,,,,,,,,,,,,,,,0 = NA {2834},,,0 = No {1435},,,,,0 = No {171},,,,0 = No {5959},,,,,,,,,,,0 = Não {745},,,,0 = No {3},,,,,,,,,,,0 = No {3744},,,,,,,,,,,,,,,,,,,0 = No {724},,,,,,,,,,,,,,,,,,,0 = No {3749},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 = Non {819},,,,,,,,,,,,,,,0 = No {2410},,,,,0 = Nao {246},,,,,,,,,0 = No {286},,,,,,,,,,,,,,,,0 = No {1337},,,,,0 = No {569},,,,,,0 = No {1214},,,,,,,,,2 = Non {754},,,0 = No {925},,,,,,,,,,,,,,,,0 = No {3353},,,,,0 = No {1},,,,,,,,,,,,,,,,
,1,Yes,M = Withdrawal {108},13 = withdrawal {1688},M = Withdrawal {1695},,,,M = Retrait {736},,13 = Coito interrompido {12},M = Retiro / Coitus interruptus {69},13 = Withdrawal {1384},,,,M = Withdrawal {248},M = Withdrawal {29},M = Withdrawal {779},M = Withdrawal {670},M = Withdrawal {12},M = Withdrawal {30},,M = Retrait {211},M = Withdrawal {10},,13 = Retiro {21},13 = Withdrawal {1660},M = Withdrawal {1037},M = Withdrawal {1213},,,M = Retrait {4},,13 = Retrait {8},M = Retrait {8},,M = Retrait {99},M = Retrait {256},,13 = Withdrawal {126},M = Retrait {66},M = Retrait {51},,13 = Retrait {2},M = Retrait {9},,13 = Withdrawal {97},,M = Retiro {24},,,,M = Retrait {19},,,,M = Retiro {26},M = Retiro {19},M = Retiro {18},,,,13 = Retrait {763},M = Retrait {252},M = Retrait {1},13 = Retiro {4},M = Retiro {99},,M = Retiro {233},,13 = Withdrawal {21},,,,13 = Withdrawal {13},,,,M = Withdrawal {253},,M = Withdrawal {10},M = Withdrawal {141},,,,13 = Coito interrompido {17},M = Retrait {6},,M = Coito interrompido {1},13 = Withdrawal {10},M = Withdrawal {23},M = Withdrawal {16},,,,,,,,,13 = Withdrawal {758},M = Withdrawal {1374},M = Withdrawal {4912},,,,M = Withdrawal {55},M = Withdrawal {67},M = Withdrawal {216},,,M = Withdrawal {34},M = Withdrawal {82},,,,M = Withdrawal {527},,,13 = Withdrawal {15},,,,,,M = Withdrawal {328},M = Withdrawal {46},,,,M = Retrait {2},M = Retrait {15},,,M = Retrait {99},,M = Retiro (coito interrumpido) {48},,13 = Withdrawal {10},M = Withdrawal {9},M = What methods are you using to delay or avoid getting pregnant: M - Withdrawal {4},M = Withdrawal {69},M = Withdrawal {344},M = Withdrawal {190},,M = Coito interrompido {8},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M = Withdrawal {290},,13 = Retrait {1},,,M = Withdrawal {266},M = Withdrawal {771},,,,,,M = Retiro {206},M = Retiro {29},,,,13 = Withdrawal {843},M = Withdrawal {718},,M = Withdrawal {10},,13 = Coito interrompido {1},,M = Coito interrompido {2},,,M = Withdrawal {1259},M = Withdrawal {1726},M = Withdrawal {1565},,13 = Withdrawal {5},M = Withdrawal {10},M = Withdrawal {7},,,M = Withdrawal {18},,,M = Withdrawal {35},,M = 1 {663},M = Withdrawal {755},,,M = Withdrawal {7},M = Withdrawal {11},13 = Withdrawal {14},M = Withdrawal {4},M = Withdrawal {6},,,13 = Withdrawal {33},M = Withdrawal {30},M = Withdrawal {22},,,M = Withdrawal {450},13 = Withdrawal {124},M = Withdrawal {73},,M = Withdrawal {64},M = {899},M = Withdrawal {153},M = Withdrawal {324},,,1 = Oui {12},M = Retrait {15},M = Retrait {11},1 = Yes {27},M = Withdrawal {55},,,,M = Retrait {40},,,M = Withdrawal {31},M = Withdrawal {145},,M = Withdrawal {642},M = Withdrawal {1564},,,,13 = Withdrawal {67},M = Withdrawal {165},M = Withdrawal {10},,,13 = Withdrawal {365},M = {597},M = Withdrawal {1336},M = Withdrawal {1137},,M = Withdrawal {26},,,M = {40},M = Withdrawal {31},,,,,,,
,8,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = NSP {NA},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Missing,? = Missing {NA},97 = missing {NA},? = Missing {8},,,,? = Manquant {3},,97 = Missing {NA},? = Missing {NA},97 = Missing {NA},,,,? = Missing {30},? = Missing {NA},? = Missing {1},? = Missing {NA},? = Missing {NA},? = Missing {NA},,? = Non déclaré/Pas de réponse {},? = Missing {NA},,97 = Missing {NA},97 = Missing {NA},? = Missing {NA},? = Missing {NA},,,? = Manquant {NA},,,? = Manquant {NA},,? = Manquant {NA},? = Manquant {4},,97 = Missing {3},? = Manquant {NA},? = Manquant {NA},,97 = Manquant {NA},? = Manquant {4},,97 = Missing {7},,? = Missing {NA},,,,? = Manquant {5},,,,? = Missing {NA},? = Omitido {NA},? = Omitido {NA},,,,,? = Manquant {NA},? = Manquant {NA},97 = Missing {1},? = Omitido {44},,? = Omitido {NA},,97 = Missing {NA},,,,97 = Missing {NA},,,,? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {2},? = Manquant {NA},,? = Missing {0},97 = Missing {NA},? = Missing {12},? = Missing {7},,,,,,,,,97 = Missing {1},? = Missing {NA},? = Missing {NA},,,,? = Missing {NA},? = Missing {NA},? = Missing {1},,,? = Missing {NA},? = Missing {2},,,,? = Missing {22},,,97 = Missing {NA},,,,,,? = Missing {NA},? = Missing {11},,,,? = Manquant {5},? = Manquant {1},,,? = Manquant {NA},,? = No responde {NA},,97 = Missing {1},,? = Missing {NA},? = Missing {NA},? = Missing {21},? = Missing {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,? = Missing {8},,97 = Missing {NA},,,? = Missing {NA},? = Missing {2},,,,,,? = Missing {NA},? = No reportado {},,,,97 = Missing {NA},? = Missing {1},,? = Missing {NA},,97 = Missing {NA},,? = Em falta {1},,,? = Missing {6},? = Missing {NA},? = Missing {1},,97 = Missing {25},? = Missing {NA},? = Missing {1},,,? = Missing {5},,,? = Missing {7},,,? = Missing {3},,,? = Missing {NA},? = Missing {59},97 = Missing {NA},? = Missing {1},? = Missing {1},,,97 = Missing {NA},? = Missing {2},? = Missing {1},,,? = Missing {NA},97 = Missing {NA},? = Missing {NA},,? = Missing {NA},? = {1},? = Missing {NA},? = Missing {NA},,,7 = Missing {NA},? = Manquant {2},? = Manquant {NA},,? = Missing {NA},,,,? = Manquant {NA},,,? = Missing {NA},? = Missing {NA},,? = Missing {NA},? = Missing {NA},,,,97 = Missing {NA},? = Missing {NA},? = Missing {2},,,97 = Missing {NA},,? = Missing {NA},? = Missing {NA},,? = Missing {NA},,,,? = Missing {3},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),NA = 0 {21945},NA = NA {2025},NA = 0 {3425},,,,NA = NA {40445},,NA = NA {7078},NA = NA {23709},NA = NA {4666},,,,NA = NA {59321},NA = 0 {1887},NA = NA {5126},NA = 0 {5241},NA = 0 {1663},NA = NA {4455},,NA = NA {16137},NA = 0 {16813},,NA = NA {2941},NA = NA {6003},NA = 0 {3940},NA = 0 {3432},,,NA = 0 {8155},,NA = NA {4682},NA = 0 {9606},,NA = 0 {9309},NA = NA {10187},,NA = NA {13583},NA = 0 {12370},NA = 0 {12456},,NA = NA {5487},NA = 0 {18075},,NA = NA {4130},,NA = 0 {5716},,,,NA = 0 {12996},,,,NA = 0 {8655},NA = 0 {9421},NA = NA {9214},,,,NA = NA {8812},NA = 0 {12983},NA = 0 {7370},NA = NA {3044},NA = NA {30089},,NA = NA {14632},,NA = NA {4049},,,,NA = NA {4},,,,NA = 0 {10655},,NA = 0 {6230},NA = NA {10822},,,,NA = NA {7208},NA = 0 {9898},,NA = {10743},NA = NA {4788},NA = 0 {5218},NA = {5786},,,,,,,,,NA = NA {18494},NA = 0 {26190},NA = NA {51533},,,,NA = 0 {14664},NA = 0 {14161},NA = NA {12693},,,NA = NA {6939},NA = NA {6911},,,,NA = NA {23388},,,NA = NA {6002},,,,,,NA = 0 {26745},NA = NA {25373},,,,NA = NA {28839},NA = NA {19422},,,NA = 0 {13558},,NA = NA {12889},,NA = NA {4496},NA = NA {8048},NA = 0 {9595},NA = NA {13388},NA = 0 {2020},NA = NA {3415},,NA = NA {15052},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {14638},,NA = NA {4844},,,NA = 0 {26827},NA = NA {32926},,,,,,NA = NA {9639},NA = NA {7824},,,,NA = NA {4626},NA = 0 {5999},,NA = 0 {1331},,NA = NA {2627},,NA = NA {3098},,,NA = NA {6630},NA = 0 {4071},NA = NA {3431},,NA = NA {4590},NA = 0 {9247},NA = 0 {14058},,,NA = 0 {7254},,,NA = 0 {11526},,NA = 2 {11659},NA = NA {12603},,,NA = 0 {18607},NA = NA {20257},NA = NA {3204},NA = 0 {5954},NA = 0 {7230},,,NA = NA {4669},NA = 0 {4924},NA = {4978},,,NA = 0 {25113},NA = NA {4868},NA = 0 {10553},,NA = NA {7475},NA = {3124},NA = 0 {37034},NA = NA {21932},,,NA = NA {3908},NA = NA {6193},NA = 0 {7005},NA = NA {3126},NA = 0 {4771},,,,NA = 0 {10474},,,NA = 0 {7146},NA = NA {7548},,NA = 0 {5532},NA = 0 {6675},,,,NA = NA {4371},NA = NA {14040},NA = 0 {3249},,,NA = NA {8883},NA = {8874},NA = 0 {10779},NA = NA {9053},,NA = 0 {3886},,,NA = {12448},NA = NA {15342},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 = Sans objet {NA},,,,,,,,,,,,,,,,,,,,,,,,1 = NA {1},,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = NA {1},,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 = NA {1},,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
