Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,1,Month,,,,,,,1 = Mois {426},,,,,,,,1 = Months {368},1 = Months {10},1 = Months {14},1 = Months {8},1 = Months {13},1 = Months {17},,,1 = Months {81},,,,1 = Months {21},1 = Months {25},,,1 = Mois {46},,,,,,1 = Mois {81},,,1 = Mois {483},1 = Mois {364},,,1 = Mois {274},,,,1 = Meses {68},,,,1 = Mois {118},,,,1 = Meses {90},1 = Meses {77},1 = Meses {101},,,,,1 = Mois {182},1 = Mois {191},,1 = Meses {479},,1 = Meses {93},,,,,,,,,,,,1 = Months {11},1 = Months {70},,,,,1 = Mois {187},,1 = MÃªs {90},,1 = Months {67},1 = Months {104},,,,,,,,,,1 = Months {481},1 = Months {1000},,,,,1 = Months {132},1 = Months {128},,,1 = Months {102},1 = Months {68},,,,1 = Months {81},,,,,,,,,,1 = Months {194},,,,,,,,1 = Mois {287},,1 = Meses {191},,,2 = Months {18},1 = Months {28},1 = Months {143},1 = Months {15},1 = Months {51},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Months {47},,,,,,,,,,,1 = Months {28},,,,,1 = Months {573},1 = Months {845},,,,,,1 = Meses {108},,,,,,1 = Months {85},,1 = Months {10},,,,1 = MÃƒÂªs {62},,,1 = Months {34},1 = Months {43},1 = Months {45},,,,1 = Months {175},,,1 = Months {466},,,1 = Months {493},,1 = Months {179},1 = Months {162},,,1 = Months {807},1 = Months {679},,1 = Months {67},1 = Months {44},,,,1 = Months {29},1 = Months {21},,,1 = Months {444},,1 = Months {106},,1 = Months {77},1 = Months {64},,1 = Months {80},,,,1 = Mois {52},1 = Mois {44},,1 = Months {55},,,,1 = Mois {70},,,1 = Months {51},1 = Months {238},,1 = Months {30},1 = Months {47},,,,,1 = Months {225},,,,,,1 = Months {90},1 = Months {26},,1 = Months {73},,,,1 = Months {221},,,,,,,
,2,Year,,,,,,,2 = AnnÃ©es {5919},,,,,,,,2 = Years {7940},2 = Years {375},2 = Years {998},2 = Years {1354},2 = Years {362},2 = Years {1047},,,2 = Years {2420},,,,2 = Years {503},2 = Years {794},,,2 = Annee {3153},,,,,,2 = Anees {4253},,,2 = Annee {3268},2 = Années {4820},,,2 = Années {6250},,,,2 = Años {1611},,,,2 = Année {4564},,,,2 = Años {2018},2 = Años {2317},2 = AÃ±os {1678},,,,,2 = AnnÃ©es {5008},2 = Annee {667},,2 = AÃ±os {10915},,2 = AÃ±os {5384},,,,,,,,,,,,2 = Years {484},2 = Years {4855},,,,,2 = Annee {2536},,2 = Anos {3711},,2 = Years {1045},2 = Years {1732},,,,,,,,,,2 = Years {4429},2 = Years {8999},,,,,2 = Years {2901},2 = Years {3611},,,2 = Years {1501},2 = Years {2224},,,,2 = Years {4201},,,,,,,,,,2 = Years {11260},,,,,,,,2 = Annees {3080},,2 = AÃ±os {3941},,,1 = Years {865},2 = Years {2289},2 = Years {4921},2 = Years {311},2 = Years {980},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Years {2123},,,,,,,,,,,2 = Years {2572},,,,,2 = Years {5515},2 = Years {10455},,,,,,2 = AÃ±os {2442},,,,,,2 = Years {2065},,2 = Years {367},,,,2 = Ano {1278},,,2 = Years {933},2 = Years {1391},2 = Years {926},,,,2 = Years {4468},,,2 = Years {2351},,,2 = Years {2838},,2 = Years {3396},2 = Years {2531},,,2 = Years {4596},2 = Years {5001},,2 = Years {1179},2 = Years {2175},,,,2 = Years {1510},2 = Years {1589},,,2 = Years {2355},,2 = Years {1344},,2 = Years {703},2 = Years {763},,2 = Years {1838},,,,2 = Annee {2449},2 = Années {2878},,2 = Years {911},,,,2 = Années {805},,,2 = Years {726},2 = Years {1619},,2 = Years {1164},2 = Years {1273},,,,,2 = Years {2364},,,,,,2 = Years {2295},2 = Years {1828},,2 = Years {1008},,,,2 = Years {6574},,,,,,,
,990,Special,,,,,,,9 = SpÃ©cial(e) {2944},,,,,,,,9 = Special {3440},9 = Special {152},9 = Special {1215},9 = Special {1159},9 = Special {170},9 = Special {424},,,9 = Special {1528},,,,9 = Special {1237},9 = Special {923},,,9 = Special {2084},,,,,,9 = Special(e) {2897},,,9 = Special {2046},9 = Spécial(e) {2534},,,9 = Spécial(e) {5764},,,,9 = Otras respuestas {207},,,,9 = Spécial {4938},,,,9 = Special {630},9 = Special {422},9 = Special {409},,,,,9 = SpÃ©cial(e) {3613},9 = Special {366},,9 = Especial {1568},,9 = Especial {670},,,,,,,,,,,,9 = Special {146},9 = Special {2350},,,,,9 = Special {2138},,9 = Especial {3583},,9 = Special {790},9 = Special {421},,,,,,,,,,9 = Special {2216},9 = Special {4955},,,,,9 = Special {3441},9 = Special {2683},,,9 = Special {2152},9 = Special {1665},,,,9 = Special {3845},,,,,,,,,,9 = Special {2234},,,,,,,,9 = Special(e) {1425},,9 = Special {138},,,9 = Particularities {306},9 = Special {1197},9 = Special {1396},9 = Special {690},9 = Special {860},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Special {859},,,,,,,,,,,9 = Special {2481},,,,,9 = Special {8245},9 = Special {9391},,,,,,,,,,,,9 = Special {1040},,9 = Special {116},,,,9 = Special {198},,,9 = Special {1774},9 = Special {890},9 = Special {1065},,,,9 = Special {3844},,,9 = Special {909},,,9 = Other {1441},,,9 = Special {952},,,9 = Other {2439},9 = Special {2415},,9 = Special {1258},9 = Special {967},,,,,9 = Special {779},,,9 = Special {1174},,9 = Special {3773},,9 = Special {399},9 = Special {896},,,,,,9 = Special {1352},9 = Spécial(e) {1299},,9 = Special {1002},,,,9 = Spécial(e) {327},,,9 = Special {450},9 = Special {281},,9 = Special {794},9 = Special {1192},,,,,9 = Special {3915},,,,,,9 = Special {1373},9 = Special {1215},,9 = Special {341},,,,9 = Special {1978},,,,,,,
,993,Soon/Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993 = Special {834},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,994,Says she cannot get pregnant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994 =  {16},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,996,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996 =  {65},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,998,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998 =  {213},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,NIU (not in universe),,,,,,,NA = NA {31895},,,,,,,,NA = NA {47851},NA = NA {1379},NA = NA {3679},NA = NA {3390},NA = NA {1130},NA = NA {2997},,,NA = NA {12794},,,,NA = NA {3216},NA = NA {2903},,,NA = NA {2876},,,,,,NA = NA {3216},,,NA = NA {6639},NA = NA {4789},,,NA = NA {5800},,,,NA = NA {3854},,,,NA = NA {3400},,,,NA = NA {5943},NA = NA {6624},NA = NA {7044},,,,,NA = NA {4432},NA = NA {6147},,NA = NA {17270},,NA = NA {8718},,,,,,,,,,,,NA = NA {5599},NA = NA {3688},,,,,NA = NA {5043},,NA = NA {3360},,NA = NA {3351},NA = NA {3552},,,,,,,,,,NA = NA {20438},NA = NA {41491},,,,,NA = NA {7754},NA = NA {6488},,,NA = NA {3218},NA = NA {3038},,,,NA = NA {15810},,,,,,,,,,NA = NA {11742},,,,,,,,NA = NA {8865},,NA = NA {8667},,,NA = NA {6868},NA = NA {6085},NA = NA {6997},NA = NA {1369},NA = NA {1715},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {2886},,,,,,,,,,,NA = NA {9855},,,,,NA = NA {12760},NA = NA {13008},,,,,,NA = NA {6896},,,,,,NA = NA {3528},,NA = NA {848},,,,NA = NA {1563},,,NA = NA {5154},NA = NA {3473},NA = NA {2961},,,,NA = NA {5579},,,NA = NA {3551},,,NA = NA {6796},,NA = NA {7619},NA = NA {10319},,,NA = NA {10772},NA = NA {12232},,NA = NA {3455},NA = NA {4051},,,,NA = NA {2695},NA = NA {2612},,,NA = NA {21590},,NA = NA {5403},,NA = NA {6360},NA = NA {2301},,NA = NA {18315},,,,NA = NA {2357},NA = NA {2795},,NA = NA {2858},,,,3 = NA {206},,,NA = NA {5950},NA = NA {5555},,NA = NA {4186},NA = NA {5727},,,,,NA = NA {7701},,,,,,NA = NA {8357},NA = NA {7121},,NA = NA {2490},,,,NA = NA {6603},,,,,,,
,9,NIU (not in universe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 = NA {6},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
