Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,1,Completed,1 = Completed {21290},,1 = Completed {5091},,,,,,,1 = Completa {21660},,,,1 = Completed {69860},1 = Completed {51791},1 = Completed {1543},1 = Completed {5895},1 = Completed {5745},1 = Completed {1675},1 = Completed {4096},,,1 = Completed {14018},,,,1 = Completed {4890},1 = Completed {4446},,,1 = Rempli {7316},,,,,1 = Rempli {9009},1 = Rempli {9861},,,,1 = Rempli {11510},,,1 = Rempli {15932},,,,,,,,1 = Rempli {12888},,,,1 = Completo {8448},1 =Completa {9073},1 =Completa {8995},,,,,1 = Rempli {12853},1 = Rempli {6020},,,,1 = Completada {13350},,,,,,,1 = Completed {9982},,,1 = Completed {9847},,1 = Completed {5889},1 = Completed {10627},,,,,1 = Rempli {8009},,1 = Completo {10234},,1 = Completed {5035},1 = Completed {5076},,,,,,,,,,1 = Completed {27186},,,1 = Completed {3647},1 = Completed {5032},1 = Completed {14560},,1 = Completed{12670},,,1 = Completed {6973},1 = Completed {12670},,,,1 = Completed {22476},,,,,,,,,1 = Completed {26259},1 = Completed {24230},,,,,,,,1 = Rempli {12754},,1 = Completada {12110},,,,1 = Completed {8762},1 = Completed {12830},1 = Completed {2239},1 = Completed {3493},,1 = Completo {14188},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Completed {14162},,,,,1 = Completed {},1 = Completed {30772},,,,,,1 = Completa {9431},,,,,,,,1 = Completed {1253},,,,1 = Preenchido {2935},,,1 = Completed {7468},1 = Completed {5385},1 = Completed {4713},,,1 = Completed {7654},1 = Completed {13359},,,,,,1 = Completed {9069},,1 = Completed {12005},1 = Completed {13367},,,1 = Completed {17174},1 = Completed {18302},,1 = Completed {5283},1 = Completed {6290},,,,1 = Completed {4688},1 = Completed {4762},,,1 = Completed {25026},,1 = Completed {10243},,1 = Completed {7397},1 = Completed {3831},1 = Completed {36960},1 = Completed {21981},,,,,1 = Rempli {6376},,,,,,1 = Rempli {10215},,,,1 = Completed {7618},,1 = Completed {6164},,,,,,1 = Completed {13919},1 = Completed {2692},,,,1 = {9471},1 = Completed {11663},1 = Completed {9827},,1 = Completed {3742},,,1 = completed {11339},1 = Completed {14409},,,,,,,
,2,Not at home,2 = Not at home {437},,2 = Not at home {11},,,,,,,2 = Ausente {1130},,,,2 = Not at home {8154},2 = Not at home {7263},2 = Not at home {218},2 = Not at home {2},2 = Not at home {93},2 = Not at home {},2 = Not at home {264},,,2 = Not at home {2504},,,,2 = Not at home {40},2 = Not at home {133},,,2 = Pas a la maison {377},,,,,2 = Pas a la maison/Absente {304},2 = Pas a la maison {381},,,,2 = Pas a la maison {780},,,2 = Pas a la maison {1144},,,,,,,,2 = Pas a la maison {119},,,,2 = No estaban en casa {181},2 = Ausente {255},2 = Ausente {161},,,,,2 = Pas a la maison {281},2 = Pas a la maison {803},,,,2 = Ausente {1051},,,,,,,2 = Not at home {139},,,2 = Not at home {916},,2 = Not at home {263},2 = Not at home {244},,,,,2 = Pas a la maison {1362},,2 = Ausente {373},,2 = Not at home {132},2 = Not at home {549},,,,,,,,,,2 = Not at home {266},,,2 = Not at home {54},2 = Not at home {29},2 = Not at home {90},,2 = Not at home {125},,,2 = Not at home {},2 = Not at home {125},,,,2 = Not at home {1163},,,,,,,,,2 = Not at home {573},2 = Not at home {968},,,,,,,,2 = Pas a la maison {505},,2 = Ausente {567},,,,2 = Not at home {671},2 = Not at home {342},2 = Not at home {106},2 = Not at home {49},,2 = Ausente {664},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Not at home {677},,,,,2 = Not at home {},2 = Not at home {2503},,,,,,2 = Ausente {141},,,,,,,,2 = Not at home {40},,,,2 = Ausente {90},,,2 = Not at home {289},2 = Not at home {316},2 = Not at home {209},,,2 = Not at home {907},2 = Not at home {609},,,,,,2 = Not at home {2143},,2 = Not at home / Unable to interview women {237},2 = Not at home {},,,2 = Not at home {1038},2 = Not at home {1711},,2 = Not at home {569},2 = Not at home {509},,,,2 = Not at home {194},2 = Not at home {170},,,2 = Not at home {487},,2 = Not at home {309},,2 = Not at home {70},2 = Not at home {122},2 = Not at home {126},2 = Not at home {124},,,,,2 = Pas a la maison {434},,,,,,2 = Pas a la maison {155},,,,2 = Not at home {51},,2 = Not at home {5},,,,,,2 = Not at home {185},2 = Not at home {509},,,,,2 = Not at home {370},2 = Not at home {282},,2 = Not at home {147},,,2 = not at home {879},2 = Not at home {787},,,,,,,
,3,Postponed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Rechazo {178},,,,,,,,,,,,3 = Recusa {43},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Refused,3 = Refused {218},,3 = Refused {10},,,,,,,3 = Rechazo {464},,,,3 = Refused {25},3 = Refused {62},3 = Refused {126},3 = Refused {8},3 = Refused {55},3 = Refused {},3 = Refused {53},,,3 = Refused {64},,,,3 = Refused {20},3 = Refused {40},,,3 = Refusee {37},,,,,3 = Refusee {47},3 = Refusé {39},,,,3 = Refusee {61},,,3 = Refusé {175},,,,,,,,3 = Refusée {3},,,,3 = Rehusado {6},3 = Rechazo {48},3 = Rechazo {41},,,,,3 = Refusé {},3 = Refusee {303},,,,3 = Rechazo {319},,,,,,,3 = Refused {23},,,3 = Refused {55},,3 = Refused {13},3 = Refused {17},,,,,3 = Refusee {23},,3 = Recusado {28},,3 = Refused {25},3 = Refused {96},,,,,,,,,,3 = Refused {23},,,3 = Refused {39},3 = Refused {39},3 = Refused {30},,3 = Refused {35},,,3 = Refused {},3 = Refused {35},,,,3 = Refused {64},,,,,,,,,3 = Refused {23},3 = Refused {45},,,,,,,,3 = Refuse {137},,3 = Rechazo {192},,,,3 = Refused {61},3 = Refused {91},3 = Refused {14},3 = Refused {46},,3 = Recusa Total {16},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Refused {17},,,,,3 = Refused {},3 = Refused {85},,,,,,,,,,,,,,3 = Refused {21},,,,,,,3 = Refused {53},3 = Refused {72},3 = Refused {55},,,3 = Refused {75},3 = Refused {15},,,,,,3 = Refused {279},,3 = Refused {47},3 = Refused {},,,3 = Refused {128},3 = Refused {136},,3 = Refused {44},3 = Refused {84},,,,3 = Refused {25},3 = Refused {19},,,3 = Refused {12},,3 = Refused {10},,3 = Refused {38},3 = Refused {34},3 = Refused {32},3 = Refused {32},,,,,3 = Refusé {21},,,,,,3 = Refusé {44},,,,3 = Refused {4},,3 = Refused {5},,,,,,3 = Refused {22},3 = Refused {34},,,,,3 = Refused {11},3 = Refused {12},,3 = Refused {9},,,3 = refused {10},3 = Refused {24},,,,,,,
,5,Partly completed,4 = Partly completed {6},,4 = Partly completed {9},,,,,,,4 = Incompleta {11},,,,4 = Partly completed {},4 = Partly completed {7},4 = Partly completed {5},4 = Partly completed {},4 = Partly completed {10},4 = Partly completed {},4 = Partly completed {4},,,4 = Partly completed {4},,,,4 = Partly completed {6},4 = Partly completed {4},,,4 = Rempli partiellement {3},,,,,4 = Rempli partiellement {5},4 = Remplie partiellement {9},,,,4 = Rempli partiellement {19},,,4 = Rempli partiellement {112},,,,,,,,4 = Rempli partiellement {1},,,,4 = Parcialmente completo {1},4 = Incompleta {8},4 = Incompleta {11},,,,,4 = Rempli partiellement {},4 = Rempli partiellement {22},,,,4 = Parcialmente completada {4},,,,,,,4 = Partly completed {2},,,4 = Partly completed {},,4 = Partly completed {3},4 = Partly completed {4},,,,,4 = Rempli partiellement {1},,4 = Parcialmente Completo {1},,4 = Partly completed {3},4 = Partly completed {19},,,,,,,,,,4 = Partly completed {12},,,4 = Partly completed {9},4 = Partly completed {},4 = Partly completed {10},,4 = Partly completed {5},,,4 = Partly completed {},4 = Partly completed {5},,,,4 = Partly completed {3},,,,,,,,,4 = Partly completed {6},4 = Partly completed {17},,,,,,,,4 = Rempli partiellement {40},,4 = Parcialmente completada {2},,,,4 = Partly completed {7},4 = Partly completed {},4 = Partly completed {19},4 = Partly completed {2},,4 = Recusa durante a entrevista/incompleta {9},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 = Partly completed {3},,,,,5 = Partly completed {},4 = Partly completed {27},,,,,,4 = Incompleta {13},,,,,,,,4 = Partly completed {7},,,,4 = Parcialmente preenchido {5},,,4 = Partly completed {48},4 = Partly completed {},4 = Partly completed {1},,,4 = Partly completed {12},4 = Partly completed {2},,,,,,,,,4 = Partly completed {},,,,4 = Partly completed {14},,4 = Partly completed {1},4 = Partly completed {9},,,,4 = Partly completed {7},4 = Partly completed {11},,,4 = Partly completed {4},,4 = Partly completed {},,4 = Partly completed {9},4 = Partly completed {},,4 = Partly completed {16},,,,,4 = Rempli partiellement {7},,,,,,4 = Rempli partiellement {10},,,,4 = Partly completed {0},,4 = Partly completed {},,,,,,4 = Partly completed {4},4 = Partly completed {12},,,,,4 = Partly completed {4},4 = Partly completed {},,4 = Partly completed {3},,,4 = Partly completed {},4 = Partly completed {18},,,,,,,
,6,Respondent Incapacitated,5 = Incapacitated {30},,5 = Incapacitated {3},,,,,,,5 = Incapacitada {78},,,,5 = Incapacitated {185},5 = Incapacitated {181},5 = Incapacitated {9},5 = Incapacitated {},5 = Incapacitated {3},5 = Incapacitated {},5 = Incapacitated {28},,,5 = Incapacitated {194},,,,5 = Incapacitated {11},5 = Incapacitated {16},,,5 = Incapacite {82},,,,,5 = Incapacite {33},5 = Incapacité {53},,,,5 = Incapacite {106},,,5 = Incapacitée {121},,,,,,,,5 = Incapacite {},,,,5 = Incapacitado {43},5 = Incapacitada {27},5 = Incapacitada {16},,,,,5 = Incapacitée {},5 = Incapacite {11},,,,5 = Incapacitada {95},,,,,,,5 = Incapacitated {48},,,5 = Incapacitated {32},,5 = Incapacitated {16},5 = Incapacitated {52},,,,,5 = Incapacite {27},,5 = Incapacitado {93},,5 = Incapacitated {11},5 = Incapacitated {39},,,,,,,,,,5 = Incapacitated {58},,,5 = Incapacitated {12},5 = Incapacitated {16},5 = Incapacitated {12},,5 = Incapacitated {71},,,5 = Incapacitated {},5 = Incapacitated {71},,,,5 = Incapacitated {211},,,,,,,,,5 = Incapacitated {137},5 = Incapacitated {131},,,,,,,,5 = Incapacitee {106},,5 = Incapacitada {62},,,,5 = Incapacitated {86},5 = Incapacitated {143},5 = Incapacitated {5},5 = Incapacitated {9},,5 = Incapacitada {41},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 = Incapacitated {56},,,,,4 = Incapacitated,5 = Incapacitated {55},,,,,,5 = Incapacitada {76},,,,,,,,5 = Incapacitated {11},,,,5 = Pessoa sem capacidade de responder {27},,,5 = Incapacitated {27},5 = Incapacitated {18},5 = Incapacitated {16},,,5 = Incapacitated {7},5 = Incapacitated {28},,,,,,5 = Incapacitated {35},,,5 = Incapacitated {},,,,5 = Incapacitated {72},,5 = Incapacitated {12},5 = Incapacitated {21},,,,5 = Incapacitated {36},5 = Incapacitated {37},,,,,5 = Incapacitated {35},,5 = Incapacitated {12},5 = Incapacitated {20},5 = Incapacitated {8},5 = Incapacitated {37},,,,,5 = Incapacitée {48},,,,,,5 = Incapacitée {81},,,,5 = Incapacitated {19},,5 = Incapacitated {},,,,,,5 = Incapacitated {27},5 = Incapacitated {9},,,,,5 = Incapacitated {62},5 = Incapacitated {69},,5 = Incapacitated {2},,,5 = incapacitated {106},5 = Incapacitated {90},,,,,,,
,7,Other,6 = Other {29},,6 = Other {4},,,,,,,96 = Otro {48},,,,6 = Other {36},96 = Other {295},96 = Other {15},6 = Other {1},96 = Other {5},6 = Other {},96 = Other {40},,,6 = Other {39},,,,6 = Other {10},96 = Other {6},,,6 = Autre {344},,,,,6 = Autre {10},6 = Autre {104},,,,6 = Autre {31},,,6 = Autre {604},,,,,,,,6 = Autre {4},,,,6 = Otro {2},96 = Otro {29},96 = Otro {8},,,,,6 = Autre {24},6 = Autre {212},,,,96 = Otros{46},,,,,,,6 = Other {58},,,6 = Other {58},,6 = Other {56},96 = Other {19},,,,,6 = Autre {482},,96 = Outros {15},,6 = Other {47},96 = Other {30},,,,,,,,,,6 = Other {19},,,6 = Other {16},96 = Other {27},6 = Other {17},,96 = Other {4},,,6 = Other {},96 = Other {4},,,,96 = Other {20},,,,,,,,,6 = Other {75},96 = Other {39},,,,,,,,96 = Autre {115},,96 = Otro {4},,,,96 = Other {12},96 = Other {51},6 = Other {2},96 = Other {7},,6 = Outro {142},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96 = Other {21},,,,,6 = Other {},96 = Other {257},,,,,,96 = Otro {6},,,,,,,,96 = Other {9},,,,96 = Otro (especificar) {1},,,6 = Other {10},96 = Other {6},96 = Other {3},,,6 = Other {602},96 = Other {53},,,,,,4 = HH not found/destroyed,,96 = Other,96 = Other {},,,4 = HH not found/destroyed. ,96 = Other {92},,6 = Other {50},96 = Other {324},,,,96 = Other {6},96 = Other {2},,,6 = Other {34},,6 = Other {29},,6 = Other {13},96 = Other {17},6 = Other (specify) {61},96 = Other {66},,,,,96 = Autre {130},,,,,,96 = Autre,,,,96 = Other {1},,6 = Other {},,,,,,6 = Other {48},6 = Other {5},,,,,96 = Other {5},96 = Other {},,6 = Other {9},,,6 = other {154},96 = Other {48},,,,,,,
,7,Other,8 = Missing,,9 = Missing,,,,,,,99 = Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 = Other,,5 = No eligible women,,,,6 = Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 = Pas d'information {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Other,9 = hhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 = Information not available,,,,5 = Not Qualified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
