Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,10,Never married,3 = Never married/in union {6412},3 = Never married {1495},3 = Never married/in union {1653},,,,3 = Never married/in union {18205},,3 = Never married {2013},,3 = Never married {2276},,,3 = Never married/in union {11110},3 = Never married {7468},3 = Never married/in union {277},3 = Never married/in union {924},3 = Never married/in union {821},,3 = Never married/in union {1219},,3 = Jamais marié / en union {4184},3 = Never married/in union {2925},,3 = Never married {1370},3 = Never married {2315},3 = Never married/In union {877},3 = Never married/in union {986},,,3 = Never married/in union {1422},,3 = Never married {1443},3 = Jamais mariée {3195},3 = Pas mariees {1474},3 = Jamais mariée ou en union {2604},3 = N'a jamais été mariée/en union {3114},,3 = Jamais marrié {1838},3 = N'a jamais été marié/En union {1036},,,3 = Never married {874},3 = Jamais mariée ou en union {2234},,3 = Jamais mariée {1365},,3 = Nunca se ha casado/unido {1377},,,5 = Jamais marié {3696},,,,,,3 = Nunca casada/unida {999},3 = Nunca casada/en uniÃ³n {1240},,,,3 = Never married {3378},3 = Never married/in union {3155},3 = Never married/in union {2968},3 = Nunca casada {1369},3 = Nunca casada o en uniÃ³n {5534},,3 = Nunca ha estado casada/unida {3527},,3 = Never married {1212},,,,3 = Never married {1282},3 = Never married/in union {2618},,,3 = Never married/in union {2993},,3 = Never married/in union {1689},3 = Never married/in union {2899},,,,3 = Never married divorced {2433},3 = N'a jamais été marié/En union {2352},,3 = Never married/in union {3670},3 = Never married {884},3 = Never married/in union {1567},3 = Never married/in union {877},,,,5 = Never married {3306},,,,,3 = Never married {9966},3 = Never married {10408},3 = Never married/in union {18861},,3 = Never married/In union {1683},3 = Never married/in union {2398},3 = Never married/in union {4333},3 = Never married/in union {3964},3 = Never married/in union {2770},,,3 = Wasn't married {2119},3 = Never married/in union {1399},,3 = Never married {58},,3 = Never married/in union {4864},,,1 = Never Married {2137},,,,3 = Never married {1479},,3 = Never married/in union {4176},3 = Never married/in union {4908},,,,3 = Never married/in union {5073},3 = Jamais marié / en union {3525},,4 = Celibataire {3502},1 = Jamais marie {3459},,3 = Nunca se ha casado / en unión {2829},,3 = Never married {2106},3 = Never married/in union {2127},3 = Never married/in union {2070},3 = Never married/in union {2899},3 = Never married/in union {668},3 = Never married/in union {1153},,3 = Nunca casada/união {2488},,3 = Never married {14999},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Never married/in union {},3 = Never married/in union {1877},,,,,,,,,,,3 = Never married/in union {3152},,3 = Celibataire {962},,,3 = Never married/in union {6008},3 = Never married/in union {7292},,,,,,3 = Nunca se ha casado/unido {2059},3 = Nunca se ha casado / en unión {1868},,1 = Never married {3828},,3 = Never married {1731},3 = Never married/in union {1328},5 = Celibataire {23},3 = Never married/in union {331},,3 = Nunca casou {552},,3 = Never married/in union {733},,3 = Jamais marie {2847},3 = Never married/in union {1576},3 = Never married/in union {1028},3 = Never married/in union {975},,3 = Never married {842},3 = Never married/in union {1152},3 = Never married/in union {3351},,,3 = Never married {1722},,3 = Never married {2},3 = Never married/in union {1018},,,3 = Never married/ in union {5155},,3 = Never married {NA},3 = Never married/in union {5001},3 = Never married {5359},,3 = Never married/in union {1632},3 = Never married/in union {1825},,,3 = Never married {2315},3 = Never married/in union {2393},3 = Never married/in union {2411},,,3 = Never married {10973},3 = Never married {1879},3 = Never married/in union {3672},,3 = Never married/In union {1981},3 = Never married/In union {1053},3 = Never married/in union {9976},3 = Never married/in union {4532},,,3 = Célibataire {994},,3 = Never married/in union {1587},3 = Never married {1883},3 = Never married/in union {1899},,,,3 = N'a jamais été mariée {5195},,,3 = Never married/in union {2700},3 = Never married/in union [2230},,3 = Never married/in union {1183},3 = Never married/in union {1271},,,3 = Nunca se ha casado/unido {534},3 = Never married {2192},3 = Never married/in union {4275},3 = Never married/in union {680},3 = Never married {1780},,3 = Never married {2858},3 = Never married/in union {2896},3 = Never married/in union {2959},3 = Never married/in union {2348},,,,5 = Never Married {3060},3 = never married/in union {3018},3 = Never married/in union {3366},,,,,,,
,11,Unconsummated marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,Married or living together,1 = Currently married/in union {14521},,1 = Currently married/in union {3335},,,,1 = Currently married/in union {18907},,,,,,,1 = Currently married/in union {54830},,1 = Currently married/in union {999},1 = Currently married/in union {4173},1 = Currently married/in union {4302},,1 = Currently married/in union {2394},,1 = Actuellement marié / en union {10732},1 = Currently married/in union {10051},,,,1 = Currently married /In union {3793},1 = Currently married/in union {3237},,,1 = Currently married/en union {5619},,,,,1 = Actuellement mariée ou en union {5421},1 = Actuellement mariée/en union {5631},,,1 = Marié /En union {9220},,,,1 = Actuellement mariée ou en union {12450},,1 = Marié(e)/en union {3395},,1 = Acualmente casada/en unión {2942},,,1 = Marié/Union {7033},,,,,,1 = Actualmente casada/unida {6342},1 = Actualmente cadada/en uniÃ³n {5851},,,,,1 = Currently married/in union {8386},1 = Currently married/in union {2730},,1 = Actualmente casada o en uniÃ³n {16891},,,,,,,,,1 = Currently married/in union {6904},,,1 = Currently married/in union {6183},,1 = Currently married/in union {3627},1 = Currently married/in union {6926},,,,,1 = Marié /En union {5155},,,,1 = Currently married/in union {3042},1 = Currently married/in union {3758},,,,,,,,,,,1 = Currently married/in union {34222},,1 = Currently married /In union {1427},1 = Currently married/in union {1741},1 = Currently married/in union {8370},1 = Currently married/in union {8426},1 = Currently married/in union{8297},,,,1 = Currently married/in union {4889},,,,1 = Currently married/in union {16550},,,2 = Married/in union {3779},,,,,,1 = Currently married/in union {18762},1 = Currently married/in union {15998},,,,1 = Currently married/in union {20759},1 = Actuellement marié / en union {15393},,,,,,,,1 = Currently married/in union {4535},1 = Currently married/in union {5872},1 = Currently married/in union {8775},1 = Currently married/in union {1492},1 = Currently married/in union {2167},,1 = Casada/união agora {9467},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Currently married/in union {5544},1 = Currently married/in union {3220},,,,,,,,,,,1 = Currently married/in union {10688},,1 = Actuellement en union {4329},,,1 = Currently married/in union {17654},1 = Currently married/in union {22141},,,,,,1 = Actualmente casada/en uniÃ³n {6115},1 = Actualmente casado / en unión {4624},,2 = Married/in union {5446},,,1 = Currently married/in union {4009},1 = Marie(e)/en Union {650},1 = Currently married/in union {724},,,,1 = Currently married/in union {1671},,,1 = Currently married/in union {5492},1 = Currently married/in union {4055},1 = Currently married/in union {3436},,,1 = Currently married/in union {6049},1 = Currently married/in union {8912},,,,,,1 = Currently married/in union {7340},,1 = Currently married/in union {11447},1 = Currently married/in union {7900},,,1 = Currently married/in union {11182},,,1 = Currently married/in union {2899},1 = Currently married/in union {3470},,,,1 = Currently married/in union {1851},1 = Currently married/in union {1919},,,,,1 = Currently married/in union {6007},,1 = Currently married /In union {5173},1 = Currently married /In union {2675},1 = Currently married/in union {24383},1 = Currently married/in union {15841},,,1 = En Union {3298},,1 = Currently married/in union {4310},,1 = Currently married/in union {2236},,,,,,,1 = Currently married/in union {3933},1 = Currently married/in union {4861},,1 = Currently married/in union {4169},1 = Currently married/in union {5547},,,1 = Actualmente casada/en uniÃ³n {1766},,1 = Currently married/in union {8855},1 = Currently married/in union {1921},,,,1 = Currently married/in union {6208},1 = Currently married/in union {8194},1 = Currently married/in union {6972},,,,,1 = currently married/in union {6635},1 = Currently married/in union {9129},,,,,,,
,21,Married,,1 = Currently married {3595},,,,,,,1 = Currently married {4098},,1 = Currently married {4276},,,,1 = Currently married {42389},,,,,,,,,,1 = Currently married {2841},1 = Currently married {5738},,,,,,,1 = Currently married {2550},1 = Actuellement mariée {5201},1 = Mriees act. {3122},,,,,,1 = Actuellement mariée {8923},,1 = Currently married {4379},,,,,,,,,"1 = Oui, actuellement mariée {5462}",,,,,,,,,,1 = Currently married {7754},,,1 = Actualmente casada {2321},,,1=Actualmente casada/unida{7672},,1 = Currently married {2577},,,,1 = Currently married {4256},,,,,,,,,,,1 = Currently married {4811},,,1 = Currently married/in union {5902},1 = Currently married {3453},,,,,,1 = Currently married {7399},,,,,1 = Currently married {11924},1 = Currently married {15797},,,,,,,,,,1 = Now I am married {4156},,,1 = Currently married {3406},,,,,,,,,1 = Currently married {4600},,,,,,,,,,1 = Actuellement mariee {7424},2 = Actuellement marie {7687},,1 = Actualmente casado / en unión {7887},,1 = Currently married {4989},,,,,,,,,1 = Currently married {19966},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Currently married {5223},,,,,1 = Casada actualmente {1771},,,,1 = Avtuiellement mariée {8289},,,,,1 = Currently married {3770},,,,,1 = Currently married {4400},,1 = Currently married {1358},,,,,,1 = Currently married {21103},,1 = Currently married {12023},1 = Currently married {2669},,,,,1 = Currently married {2516},,,,,1 = Currently married {13617},1 = Currently married {3945},,,,,,,,,,1 = Actuellement mariée {4290},,1 = Currently married {1844},,,,,1 = actuellement mariée {4777},,,,,,,,,,,1 = Currently married {5087},,,1 = Currently married {2569},,1 = Currently married {5929},,,,,1 = Currently married {3519},,1 = Currently married {4833},,,,,,,,,
,22,Living together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Actuellement en union {12584},,2 = Vit avec un homme {1391},,,,,,,,,,,"2 = Oui, vit en union avec un homme {2682}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Vit avec un homme {481},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,Formerly in union,2 = Formerly married/in union {350},2 = Formerly married {211},2 = Formerly married/in union {103},,,,2 = Formerly married/in union {1431},,2 = Formerly married {979},,2 = Formerly married {469},,,2 = Formerly married/in union {3920},2 = Formerly married {1934},2 = Formerly married/in union {267},2 = Formerly married/in union {798},2 = Formerly married/in union {622},,2 = Formerly married/in union {482},,2 = Anciennement marié / en union {899},2 = Formerly married/in union {1042},,2 = Formerly married {298},2 = Formerly married {673},2 = Formerly married/In union {220},2 = Formerly married/in union {222},,,2 = Formerly married/in union {275},,2 = Formerly married {626},2 = Autrefois mariée {907},"2 = Veuves, Divorcees, separees {473}",2 = Précédemment mariée ou en union {978},2 = A été mariée/en union {1107},,2 = Pas en union {2516},2 = A été marrié/En union {1336},,,2 = Formerly married {652},2 = Précédemment mariée ou en union {1248},,2 = Etait mariée {476},,2 = Anteriormente casada/en unión {764},,,,,,,,,2 = Anteriormente casada/unida {1732},2 = Anteriormente casada/en uniÃ³n {1903},,,,2 = Formerly married {1277},2 = Formerly married/in union {1312},2 = Formerly married/in union {322},2 = Viuda/divorciada/separada {794},2 = Anteriormente casada o en uniÃ³n {6723},,2 = Anteriormente casada/unida {2151},,2 = Formerly married {452},,,,2 = Formerly married {432},2 = Formerly married/in union {447},,,2 = Formerly married/in union {671},,2 = Formerly married/in union {573},2 = Formerly married/in union {802},,,,2 = Formerly married {728},2 = A été marrié/En union {502},,2 = Formerly married/in union {662},2 = Formerly married {464},2 = Formerly married/in union {426},2 = Formerly married/in union {441},,,,,,,,,2 = Formerly married {1107},2 = Formerly married {981},2 = Formerly married/in union {2111},,2 = Formerly married/In union {537},2 = Formerly married/in union {893},2 = Formerly married/in union {1857},2 = Formerly married/in union {1624},2 = Formerly married/in union{1603},,,2 = Was married {698},2 = Formerly married/in union {566},,2 = Formerly married {169},,2 = Formerly married/in union {1062},,,,,,,2 = Formerly married {1018},,2 = Formerly married/in union {3321},2 = Formerly married/in union {3316},,,,2 = Formerly married/in union {922},2 = Anciennement marié / en union {520},,,,,2 = Anteriormente casado / en unión {1388},,2 = Formerly married {1161},2 = Formerly married/in union {797},2 = Formerly married/in union {820},2 = Formerly married/in union {1156},2 = Formerly married/in union {98},2 = Formerly married/in union {173},,2 = Casada/união anteriormente {2223},,2 = Formerly married {2157},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Formerly married/in union {303},2 = Formerly married/in union {154},,,,,,,,,,,2 = Formerly married/in union {322},,2 = En rupture d'union {373},,,2 = Formerly married/in union {903},2 = Formerly married/in union {1339},,,,,,2 = Anteriomente casada/en uniÃ³n {1257},2 = Anteriormente casado / en unión {819},,,,2 = Formerly married {925},2 = Formerly married/in union {663},,2 = Formerly married/in union {197},,2 = Casada formalmente {551},,2 = Formerly married/in union {531},,"2 = Veuf,divorcée séparée etc... {550}",2 = Formerly married/in union {448},2 = Formerly married/in union {302},2 = Formerly married/in union {302},,2 = Formerly married {294},2 = Formerly married/in union {453},2 = Formerly married/in union {1090},,,2 = Formerly married {642},,2 = Formerly married {226},2 = Formerly married/in union {711},,2 = Formerly married/in union {558},2 = Formerly married/ in union {312},,2 = Formerly married {1843},2 = Formerly married/in union {991},2 = Formerly married {919},,2 = Formerly married/in union {752},2 = Formerly married/in union {982},,,2 = Formerly married {440},2 = Formerly married/in union {444},2 = Formerly married/in union {432},,,2 = NOT married {436},2 = Formerly married {382},2 = Formerly married/in union {564},,2 = Formerly married/In union {252},2 = Formerly married/In union {103},2 = Formerly married/in union {2601},2 = Formerly married/in union {1608},,,2 = Plus en union {382},,2 = Formerly married/in union {476},2 = Formerly married {351},2 = Formerly married/in union {470},,,,2 = A été mariée au moins une fois {243},,,2 = Formerly married/in union {527},2 = Formerly married/in union {527},,2 = Formerly married/in union {812},2 = Formerly married/in union {1188},,,2 = Anteriomente casada/en uniÃ³n {453},2 = Formerly married {512},2 = Formerly married/in union {789},2 = Formerly married/in union {91},2 = Formerly married {544},,2 = Formerly married {451},2 = Formerly married/in union {367},2 = Formerly married/in union {510},2 = Formerly married/in union {507},,2 = Formerly married {223},,,2 = formerly married/in union {1675},2 = Formerly married/in union {1909},,,,,,,
,31,Widowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Veuf {298},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Widowed {253},,,,,,,,,,,,,,,,,,,,,,,,5 = Widowed {423},,,,,,,,,,,,,,2 = A ete mariee (veuve) {238},4 = Veuf(ve) {215},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Widowed {177},,,,2 = Veuf(ve) {47},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Widowed {413},,,,,,,,,
,32,Divorced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Divorcé {164},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Divorced {225},,,,,,,,,,,,,,,,,,,,,,,,4 = Divorced {72},,,,,,,,,,,,,,3 = A ete mariee (divorcee) {1385},3 = Divorce(e) {1391},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 = Divorced {5},,,,3 = Divorce(e) {13},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Divorced {525},,,,,,,,,
,33,Separated/not living together,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 = Séparé {131},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 = Separated {NA},,,,,,,,,,,,,,,,,,,,,,,,3 = Separated {330},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 = Separed {147},,,,4 = Separe(e) {15},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 = Separated {247},,,,,,,,,
,40,Not married or in union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Pas en union {1188},,,,,,,,,,,"3 = Non, ni mariée ni en union {4740}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Not currently married {1886},,,,,,,,,,,,,,,,,,,,,3 = Jamais mariée {1439},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
