Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,,,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
,1,Days ,,,,,,,1 = Jours {8847},,,,,,,,1 = Days ago {8669},1 = Days ago {357},,1 = Days ago {1714},,1 = Days ago {744},,,1 = Days ago {3409},,,,,1 = Days ago {2506},,,,,,,,,1 = Jours {3186},,,,1 = Jours {2637},,,1 = Jours {5197},,,,1 = Hace d�as {1830},,,,,,,,,1 = Hace (d�as) {2712},1 = Hace días {3474},,,,,1 = Jours {2296},,,1 = Hace días {11470},,1 = Hace días {4283},,,,,,,,,,,,,1 = Days ago {2569},,,,,,,1 = Há dias {2418},,,1 = Days ago {1036},,,,,,,,,,,1 = Days ago {6953},,,,,1 = Days ago {4305},1 = Days ago {3446},,,,1 = Days ago {1705},,,,1 = Days ago {6869},,,,,,,,,,1 = Days ago {4939},,,,,,,,1 = Jours {2057},,1 = Hace días {4145},,,,1 = Days ago {2706},1 = Days ago {3183},,1 = Days ago {1781},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 = Days ago {1730},,,,,,,,,,,1 = Days ago {5659},,,,,,1 = Days ago {5162},,,,,,1 = Hace días {1856},,,,,,1 = Days ago {1853},,1 = Days ago {259},,,,1 = Dias {717},,,,1 = Days ago {1315},1 = Days ago {2474},,,,1 = Days ago {2777},,,,,,1 = Days ago {960},,1 = Days ago {2586},1 = Days ago {1505},,,1 = Days ago {2116},1 = Days ago {2473},,,1 = Days ago {1133},,,,1 = Days ago {1005},1 = Days ago {1150},,,,,,,,1 = Days ago {1298},,1 = Days ago {6581},,,,,1 = Jours {2357},,,,,,1 = Jours {1636},,,,1 = Days ago {1935},,,1 = Days ago {1560},,,,,,,,,,,1 = Days ago {6059},1 = Days ago {4424},,,,,,1 = Days ago {2914},,,,,,,
,2,Weeks,,,,,,,2 = Semaines {4511},,,,,,,,2 = Weeks ago {15528},2 = Weeks ago {703},,2 = Weeks ago {3009},,2 = Weeks ago {1697},,,2 = Weeks ago {5412},,,,,2 = Weeks ago {1232},,,,,,,,,2 = Semaines {3601},,,,2 = Semaines {3224},,,2 = Semaines {2061},,,,2 = Hace semanas {1172},,,,,,,,,2 = Hace (semanas) {4132},2 = Hace semanas {3823},,,,,2 = Semaines {4819},,,2 = Hace semanas. {8565},,2 = Hace semanas {3886},,,,,,,,,,,,,2 = Weeks ago {4145},,,,,,,2 = Há semanas {4156},,,2 = Weeks ago {2141},,,,,,,,,,,2 = Weeks ago {14884},,,,,2 = Weeks ago {6369},2 = Weeks ago {6029},,,,2 = Weeks ago {2953},,,,2 = Weeks ago {8149},,,,,,,,,,2 = Weeks ago {8403},,,,,,,,2 = Semaines {1496},,2 = Hace semanas {4020},,,,2 = Weeks ago {3591},2 = Weeks ago {5428},,2 = Weeks ago {1019},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 = Weeks ago {2182},,,,,,,,,,,2 = Weeks ago {4077},,,,,,2 = Weeks ago {12342},,,,,,2 = Hace semanas {3798},,,,,,2 = Weeks ago {2760},,2 = Weeks ago {614},,,,2 = Semana {1063},,,,2 = Weeks ago {2975},2 = Weeks ago {1286},,,,2 = Weeks ago {5202},,,,,,2 = Weeks ago {1824},,2 = Weeks ago {4161},2 = Weeks ago {3253},,,2 = Weeks ago {2703},2 = Weeks ago {2222},,,2 = Weeks ago {2763},,,,2 = Weeks ago {2184},2 = Weeks ago {1926},,,,,,,,2 = Weeks ago {1721},,2 = Weeks ago {8210},,,,,2 = Semaines {1549},,,,,,2 = Semaines {1665},,,,2 = Weeks ago {2045},,,2 = Weeks ago {4108},,,,,,,,,,,2 = Weeks ago {3319},2 = Weeks ago {3169},,,,,,2 = Weeks ago {5280},,,,,,,
,3,Months,,,,,,,3 = Mois {3099},,,,,,,,3 = Months ago {12661},3 = Months ago {355},,3 = Months ago {646},,3 = Months ago {1283},,,3 = Months ago {3439},,,,,3 = Months ago {569},,,,,,,,,3 = Mois {1250},,,,3 = Mois {2211},,,3 = Mois {3329},,,,3 = Hace meses {1643},,,,,,,,,3 = Hace (meses) {1412},3 = Hace meses {1111},,,,,3 = Mois {2403},,,3 = Hace meses {6840},,3 = Hacemeses {3625},,,,,,,,,,,,,3 = Months ago {1999},,,,,,,3 = Há meses {1715},,,3 = Months ago {1448},,,,,,,,,,,3 = Months ago {8939},,,,,3 = Months ago {2125},3 = Months ago {2131},,,,3 = Months ago {1486},,,,3 = Months ago {3916},,,,,,,,,,3 = Months ago {6003},,,,,,,,3 = Mois {2333},,3 = Hace meses {2978},,,,3 = Months ago {1650},3 = Months ago {2921},,3 = Months ago {571},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 = Months ago {1109},,,,,,,,,,,3 = Months ago {3003},,,,,,3 = Months ago {6863},,,,,,3 = Hace meses {2794},,,,,,3 = Months ago {954},,3 = Months ago {291},,,,3 = MÃªs {767},,,,3 = Months ago {822},3 = Months ago {696},,,,3 = Months ago {3206},,,,,,3 = Months ago {2056},,3 = Months ago {3015},3 = Months ago {2255},,,3 = Months ago {3469},3 = Months ago {4485},,,3 = Months ago {1796},,,,3 = Months ago {985},3 = Months ago {1103},,,,,,,,3 = Months ago {625},,3 = Months ago {5127},,,,,3 = Mois {1063},,,,,,3 = Mois {1049},,,,3 = Months ago {946},,,3 = Months ago {563},,,,,,,,,,,3 = Months ago {1567},3 = Months ago {1429},,,,,,3 = Months ago {4097},,,,,,,
,4,Year,,,,,,,4 = Années {96},,,,,,,,4 = Years ago {3465},4 = Years ago {64},,4 = Years ago {122},,4 = Years ago {156},,,4 = Years ago {1113},,,,,4 = Years ago {55},,,,,,,,,4 = Annees {138},,,,4 = Ann�es {498},,,4 = Ann�es {739},,,,4 = Hace a�os {361},,,,,,,,,4 = Hace (a�os) {327},4 = Hace años {294},,,,,4 = Ann�es {313},,,4 = Hace años {980},,4 = Haceaños {805},,,,,,,,,,,,,4 = Years ago {229},,,,,,,4 = Há anos {344},,,4 = Years ago {151},,,,,,,,,,,4 = Years ago {586},,,,,4 = Years ago {470},4 = Years ago {247},,,,4 = Years ago {205},,,,4 = Years ago {1853},,,,,,,,,,4 = Years ago {1267},,,,,,,,4 = Annees {418},,4 = Hace años {707},,,,4 = Years ago {778},4 = Years ago {903},,4 = Years ago {64},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 = Years ago {102},,,,,,,,,,,4 = Years ago {485},,,,,,4 = Years ago {1498},,,,,,4 = Hace años {515},,,,,,4 = Years ago {146},,4 = Years ago {27},,,,4 = Ano {82},,,,4 = Years ago {112},4 = Years ago {75},,,,4 = Years ago {845},,,,,,4 = Years ago {475},,4 = Years ago {271},4 = Years ago {112},,,4 = Years ago {649},4 = Years ago {1212},,,4 = Years ago {335},,,,4 = Years ago {261},4 = Years ago {207},,,,,,,,4 = Years ago {91},,4 = Years ago {926},,,,,4 = Ann�es {218},,,,,,4 = Ann�es {294},,,,4 = Years ago {316},,,4 = Years ago {113},,,,,,,,,,,4 = Years ago {289},4 = Years ago {233},,,,,,4 = Years ago {716},,,,,,,
,900,Special,,,,,,,9 = Manquant {981},,,,,,,,9 = Special {2054},9 = Special {62},,9 = Special {251},,9 = Special {203},,,9 = Special {549},,,,,9 = Special {83},,,,,,,,,9 = Special(e) {1675},,,,9 = Sp�cial(e) {2782},,,9 = Sp�cial(e) {4516},,,,9 = Otras respuestas {76},,,,,,,,,9 = Special {483},9 = Special {288},,,,,9 = Sp�cial(e) {2769},,,9 = Especial {1327},,9 = Special {744},,,,,,,,,,,,,9 = Special {1610},,,,9 = Especial {1549},,,,,,9 = Special {297},,,,,,,,,,,9 = Special {2766},,,,,9 = Special {735},9 = Special {812},,,,9 = Special {501},,,,9 = Special {1623},,,,,,,,,,9 = Special {3448},,,,,,,,9 = Special(e) {1247},,9 = Special {258},,,,,9 = Special {375},,9 = Special {54},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Special {126},,,,,,,,,,,9 = Special {901},,,,,,9 = Special {4633},,,,,,9 = Otros / Missing {463},,,,,,9 = Special {285},,9 = Special {60},,,,9 = Special {300},,,,9 = Special {159},9 = Special {182},,,,9 = Special {1214},,,,,,9 = Other {1798},,,9 = Special {775},,,9 = Other {2280},9 = Special {1608},,,9 = Special {258},,,,9 = Missing {229},9 = Special {356},,,,,,,,9 = Special {95},,9 = Missing {1113},,,,,9 = Sp�cial(e) {1132},,,,,,9 = Sp�cial(e) {17},,,,9 = Special {142},,,9 = Special {478},,,,,,,,,,,9 = Special {417},9 = Special {554},,,,,,9 = Special {1301},,,,,,,
,994,In menopause/had hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994 = In menopause/had hysterectomy {565} ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,995,Before Last Birth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995 = Before last birth {826},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 = Avant la derni�re naissance {111},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,996,Never menstruated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 = Jamais {1},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,999,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 = Missing {27},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,NIU (not in universe),,,,,,,NA = NA {23650},,,,,,,,NA = NA {17222},NA = NA {375},,NA = NA {169},,NA = NA {402},,,NA = NA {2901},,,,,NA = NA {200},,,,,,,,,NA = NA {597},,,,NA = NA {1155},,,NA = NA {2246},,,,NA = NA {658},,,,,,,,,NA = NA {374},NA = NA {242},,,,,NA = NA {635},,,NA = NA {1050},,NA = NA {1522},,,,,,,,,,,,,NA = NA {411},,,,,,,NA = NA {562},,,NA = NA {736},,,,,,,,,,,NA = NA {22317},,,,,NA = NA {224},NA = NA {245},,,,NA = NA {145},,,,NA = NA {1527},,,,,,,,,,NA = NA {1370},,,,,,,,NA = NA {6106},,NA = NA {829},,,,NA = NA {847},NA = NA {647},,NA = NA {117},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {666},,,,,,,,,,,NA = NA {811},,,,,,NA = NA {3201},,,,,,NA = NA {419},,,,,,NA = NA {720},,NA = NA {90},,,,NA = NA {172},,,,NA = NA {414},NA = NA {284},,,,NA = NA {822},,,,,,NA = NA {4455},,NA = NA {898},NA = NA {6064},,,NA = NA {7397},NA = NA {8327},,,NA = NA {952},,,,NA = NA {292},NA = NA {259},,,,,,,,NA = NA {194},,NA = NA {299},,,,,NA = NA {697},,,,,,NA = NA {5741},,,,NA = NA {2309},,,NA = NA {1417},,,,,,,,,,,NA = NA {464},NA = NA {381},,,,,,NA = NA {1068},,,,,,,
