Hybrid,Code,Label,afwm4,alwm2,alwm3,,,,agwm4,,aowm2,arwm4,azwm2,,,bdwm3,bdwm5,bbwm4,blwm3,blwm4,bzwm3,bzwm4,,bjwm5,btwm4,,bowm2,bhwm2,bhwm3,bhwm4,bswm2,,bfwm3,,buwm2,buwm3,cmwm2,cmwm3,cmwm5,,cfwm2,cfwm3,cfwm4,,tdwm2,tdwm4,,kmwm2,,crwm4,,,ciwm2,ciwm3,,,,cuwm3,cuwm4,cuwm5,,,,cdwm2,cdwm4,djwm3,drwm2,drwm5,,eswm5,,eqwm2,,,,gmwm2,gmwm3,,,gewm3,,ghwm3,ghwm4,,,,gbwm2,gbwm3,,gbwm5,gywm2,gywm3,gywm5,,,,idwm2,,,,,irwm2,irwm3,irwm4,,jawm3,jawm4,kkwm3,kkwm4,kkwm5,kewm2,,kywm3,kywm5,,lawm2,lawm3,lawm4,,,lswm2,,,,mdwm2,,mwwm3,mwwm5,,,,mlwm4,mlwm5,,mrwm3,mrwm4,,mxwm5,,mowm2,mowm3,mowm4,mowm5,mtwm3,mtwm5,,mzwm3,,mywm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,egwm4,kowm5,,,,,,,,,,,npwm5,,niwm2,,,ngwm3,ngwm4,,,,,,pnwm5,pywm5,,phwm2,,mbwm2,mbwm4,rwwm2,sawm4,,stwm2,,stwm5,,snwm2,sbwm3,sbwm4,sbwm5,,slwm2,slwm3,slwm4,,,smwm3,,sdwm2s,sswm4,,pswm4,pswm5,,sdwm2n,sdwm4,sdwm5,suwm2,suwm3,suwm4,,,szwm2,szwm4,szwm5,,,sywm3,tjwm2,tjwm3,,mcwm3,mcwm4,thwm3,thwm4,,,tgwm2,tgwm3,tgwm4,ttwm2,ttwm3,,,,tnwm4,,,tmwm3,tmwm5,,uawm3,uawm4,,,urwm4,uzwm2,uzwm3,vawm3,vzwm2,,vnwm2,vnwm3,vnwm4,vnwm5,,yewm3,,zmwm2,zwwm3,zwwm5,,,,,,,
TRUE,98,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 = Incohérent {},,,,,,,,,,98 = DK {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,Missing,,,,,,,,,,,,,,,,99 = 99 {20},,99 = 99 {2},99 = 99 {1},99 = 99 {53},,99 = Non déclaré/Pas de réponse {71},99 = 99 {5},,,,99 = 99 {2},99 = 99 {16},,,99 = 99 {17},,,99 = 99 {11},,99 = 99 {7},99 = Manquant {21},,,99 = 99 {28},99 = 99 {42},,,99 = 99 {164},,,,99 = 99 {134},,,,,,,,,99 = 99 {13},99 = 99 {2},,,,,99 = 99 {3},,,99 = 99 {84},,99 = 99 {26},,,,,,,99 = 99 {10},,,,,99 = 99 {4},,,,,,99 = 99 {40},,99 = 99 {1},,,99 = 99 {35},,,,,,,,,,,,,,,,,99 = 99 {8},,,,,,,,99 = 99 {46},,,,,,,,,99 = 99 {20},99 = 99 {31},,,,99 = Manquant {63},99 = Manquant {635},,,,,99 = 99 {251},,,,99 = Missing {7},99 = 99 {121},99 = 99 {42},99 = 99 {39},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99 = 99 {19},,,,,,,,,,,,,,,,,99 = 99 {29},,,,,,99 = 99 {75},99 = No reportado{27},,,,,99 = 99 {45},,99 = 99 {24},,,,99 = 99 {4},,,99 = 99 {66},99 = 99 {19},,,,99 = 99 {5},99 = 99 {32},,,,,,99 = 99 {403},,,,,,,,,99 = 99 {50},99 = 99 {131},,,,99 = 99 {1},99 = 99 {2},,,,,,,99 = 99 {128},,,,,,,99 = 99 {1},99 = 99 {6},,99 = 99 {10},,,,,,,,,,,99 = 99 {11},,,99 = 99 {143},,99 = 99 {2},,,,,,99 = 99 {3},,,,,,,99 = 99 {9},,,,,,,
,97,Inconsistent,,,,,,,,,,,,,,,,97 = 97 {1},,,,,,97 = Incohérent {10},,,,,,,,,,,,,,,97 = Incohérent {},,,,,,,,,,,,,,,,,,,,,,,,,,97 = 97 {2},,,,,97 = 97 {7},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 = 97 {1},97 = 97 {1},,,,,,,,,,,,,,97 = Inconsistent {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 = 97 {2},,,,,,,,,,,,,,,,,,,,,,,,97 = Inconsistente {},,,,,97 = 97 {4},,,,,,97 = 97 {3},,,,,,,,,,,,,,,,,,,,,,,,,97 = 97 {1},,,,,97 = 97 {3},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97 = 97 {7},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA ,NIU (not in universe),,,,,,,,,,,,,,,,NA = NA {524},,NA = NA {556},,NA = NA {1163},,NA = NA {2435},NA = NA {5531},,,,,NA = NA {873},,,,,,,,,NA = NA {1819},,,,NA = NA {1712},,,NA = NA {3977},,,,NA = NA {1227},,,,,,,,,NA = NA {592},NA = NA {508},,,,,NA = NA {1959},,,NA = NA {4181},,NA = NA {3564},,,,,,,,,,,,,NA = NA {1870},,,,,,,NA = NA {1295},,,NA = NA {1391},,,,,,,,,,,,,,,,NA = NA {12714},NA = NA {2417},,,,,,,,NA = NA {6133},,,,,,,,,,NA = NA {4130},,,,NA = NA {5204},NA = NA {3239},,,,,NA = NA {2288},,,,NA = NA {2104},NA = NA {2333},,NA = NA {753},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = NA {2324},,,,,,,,,,,,,,,,,NA = NA {6996},,,,,,NA = NA {1512},NA = NA {1225},,,,,NA = NA {1592},,NA = NA {247},,,,NA = NA {571},,,,NA = NA {765},,,,,NA = NA {1737},,,,,,NA = NA {3328},,,,,,,,,,NA = NA {1738},,,,NA = NA {1195},NA = NA {1219},,,,,,,,,,,,,,,NA = NA {1290},,,,,,,,,,,,,NA = NA {836},,,NA = NA {543},,,,,,,,NA = NA {3322},,,,,,,NA = NA {3421},,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
